method,rej,seed
KSDAGG,0,66
KSD,0,67
pKSD mc,0,67
KSDAGG,0,67
KSD,0,68
pKSD mc,0,68
KSDAGG,0,68
KSD,0,69
pKSD mc,0,69
KSDAGG,0,69
KSD,0,70
pKSD mc,0,70
KSDAGG,0,70
KSD,0,71
pKSD mc,0,71
KSDAGG,0,71
KSD,0,72
pKSD mc,0,72
KSDAGG,0,72
KSD,1,73
pKSD mc,1,73
KSDAGG,1,73
KSD,0,74
pKSD mc,0,74
KSDAGG,0,74
KSD,0,75
pKSD mc,0,75
KSDAGG,0,75
KSD,0,76
pKSD mc,0,76
KSDAGG,0,76
KSD,0,77
pKSD mc,0,77
KSDAGG,0,77
KSD,0,78
pKSD mc,0,78
KSDAGG,0,78
KSD,0,79
pKSD mc,0,79
KSDAGG,0,79
KSD,0,80
pKSD mc,0,80
KSDAGG,0,80
KSD,0,81
pKSD mc,0,81
KSDAGG,0,81
KSD,0,82
pKSD mc,0,82
KSDAGG,0,82
KSD,0,83
pKSD mc,0,83
KSDAGG,0,83
KSD,0,84
pKSD mc,0,84
KSDAGG,0,84
KSD,0,85
pKSD mc,0,85
KSDAGG,0,85
KSD,0,86
pKSD mc,0,86
KSDAGG,0,86
KSD,0,87
pKSD mc,0,87
KSDAGG,0,87
KSD,0,88
pKSD mc,0,88
KSDAGG,0,88
KSD,0,89
pKSD mc,0,89
KSDAGG,0,89
KSD,0,90
pKSD mc,1,90
KSDAGG,0,90
KSD,0,91
pKSD mc,0,91
KSDAGG,0,91
KSD,0,92
pKSD mc,0,92
KSDAGG,0,92
KSD,0,93
pKSD mc,1,93
KSDAGG,0,93
KSD,0,94
pKSD mc,0,94
KSDAGG,0,94
KSD,0,95
pKSD mc,1,95
KSDAGG,0,95
KSD,0,96
pKSD mc,0,96
KSDAGG,0,96
KSD,0,97
pKSD mc,0,97
KSDAGG,0,97
KSD,0,98
pKSD mc,0,98
KSDAGG,0,98
KSD,0,99
pKSD mc,0,99
KSDAGG,0,99
