t,ksd,seed,type
26,0.017155368,2,off-target
26,0.010933152,2,target
27,0.016650371,2,off-target
27,0.011248902,2,target
28,0.015295707,2,off-target
28,0.016035547,2,target
29,0.022346843,2,off-target
29,0.009309633,2,target
30,0.020168116,2,off-target
30,0.012363648,2,target
31,0.024499653,2,off-target
31,0.015418621,2,target
32,0.02011877,2,off-target
32,0.017578019,2,target
33,0.02391877,2,off-target
33,0.024182329,2,target
34,0.021404633,2,off-target
34,0.03171888,2,target
35,0.022072759,2,off-target
35,0.03060888,2,target
36,0.021009125,2,off-target
36,0.026435696,2,target
37,0.016651176,2,off-target
37,0.022764597,2,target
38,0.016379671,2,off-target
38,0.012903328,2,target
39,0.021185992,2,off-target
39,0.012947742,2,target
0,0.0043994687,3,off-target
0,0.0046448205,3,target
1,0.0064263283,3,off-target
1,0.0060980236,3,target
2,0.0139047345,3,off-target
2,0.008860418,3,target
3,0.017483594,3,off-target
3,0.0068000546,3,target
4,0.015579969,3,off-target
4,0.008838555,3,target
5,0.01179282,3,off-target
5,0.008075847,3,target
6,0.0126567185,3,off-target
6,0.008010371,3,target
7,0.011078406,3,off-target
7,0.006876652,3,target
8,0.012892859,3,off-target
8,0.0049011717,3,target
9,0.012514711,3,off-target
9,0.0039947657,3,target
10,0.008646273,3,off-target
10,0.0043596756,3,target
11,0.01086636,3,off-target
11,0.0057614804,3,target
12,0.009576242,3,off-target
12,0.005918125,3,target
13,0.0069243205,3,off-target
13,0.0052553983,3,target
14,0.0076763127,3,off-target
14,0.009219945,3,target
15,0.005266883,3,off-target
15,0.009186352,3,target
16,0.0036359376,3,off-target
16,0.008913914,3,target
17,0.0050863205,3,off-target
17,0.0067005623,3,target
18,0.0038863125,3,off-target
18,0.0073702424,3,target
19,0.004442703,3,off-target
19,0.012822422,3,target
20,0.0042529376,3,off-target
20,0.010336891,3,target
21,0.006227211,3,off-target
21,0.015171754,3,target
22,0.008960891,3,off-target
22,0.010063281,3,target
23,0.010597707,3,off-target
23,0.011031617,3,target
24,0.006536758,3,off-target
24,0.008860555,3,target
25,0.009965234,3,off-target
25,0.007847609,3,target
26,0.01000584,3,off-target
26,0.0050024064,3,target
27,0.01065884,3,off-target
27,0.006114457,3,target
28,0.011542512,3,off-target
28,0.0077575273,3,target
29,0.009215,3,off-target
29,0.0076143397,3,target
30,0.009470164,3,off-target
30,0.00850461,3,target
31,0.009651293,3,off-target
31,0.010144074,3,target
32,0.010958078,3,off-target
32,0.010933722,3,target
33,0.017701859,3,off-target
33,0.011559039,3,target
34,0.018577876,3,off-target
34,0.004579082,3,target
35,0.022072239,3,off-target
35,0.0043664337,3,target
36,0.022449296,3,off-target
36,0.0041646482,3,target
37,0.027864613,3,off-target
37,0.005363488,3,target
38,0.023710946,3,off-target
38,0.007965688,3,target
39,0.020525422,3,off-target
39,0.006395445,3,target
0,0.014940953,4,off-target
0,0.01092107,4,target
1,0.014140843,4,off-target
1,0.007870793,4,target
2,0.012402391,4,off-target
2,0.004910754,4,target
3,0.01273293,4,off-target
3,0.006736973,4,target
4,0.017219095,4,off-target
4,0.005012543,4,target
5,0.01672425,4,off-target
5,0.004011762,4,target
6,0.0135560315,4,off-target
6,0.0057295314,4,target
7,0.012553477,4,off-target
7,0.004428586,4,target
8,0.011937039,4,off-target
8,0.004592504,4,target
9,0.012266797,4,off-target
9,0.0055877264,4,target
10,0.014499711,4,off-target
10,0.008654379,4,target
11,0.015183,4,off-target
11,0.007237625,4,target
12,0.019095484,4,off-target
12,0.006297457,4,target
13,0.011109125,4,off-target
13,0.007246863,4,target
14,0.013979187,4,off-target
14,0.006764367,4,target
15,0.010090117,4,off-target
15,0.008704105,4,target
16,0.01121757,4,off-target
16,0.012339758,4,target
17,0.012362446,4,off-target
17,0.013948344,4,target
18,0.01206584,4,off-target
18,0.009773157,4,target
19,0.011022832,4,off-target
19,0.011601184,4,target
20,0.0074290666,4,off-target
20,0.010405871,4,target
21,0.007941125,4,off-target
21,0.011962734,4,target
22,0.008548484,4,off-target
22,0.00963575,4,target
23,0.009883715,4,off-target
23,0.01642247,4,target
24,0.011185871,4,off-target
24,0.016360655,4,target
25,0.009255676,4,off-target
25,0.013361473,4,target
26,0.007335633,4,off-target
26,0.014119266,4,target
27,0.005721578,4,off-target
27,0.010431719,4,target
28,0.0069121798,4,off-target
28,0.009225043,4,target
29,0.0070700897,4,off-target
29,0.013309707,4,target
30,0.00812941,4,off-target
30,0.012160012,4,target
31,0.00810941,4,off-target
31,0.011851731,4,target
32,0.011067969,4,off-target
32,0.010978875,4,target
33,0.00890609,4,off-target
33,0.008556871,4,target
34,0.007776828,4,off-target
34,0.0075986916,4,target
35,0.011344621,4,off-target
35,0.005968258,4,target
36,0.011822664,4,off-target
36,0.0077900393,4,target
37,0.011268047,4,off-target
37,0.0063993596,4,target
38,0.010262433,4,off-target
38,0.009848063,4,target
39,0.010613657,4,off-target
39,0.010069543,4,target
