t,ksd,seed,type
0,0.008573203,0,off-target
0,0.013200391,0,target
1,0.01057089,0,off-target
1,0.013926789,0,target
2,0.010103797,0,off-target
2,0.013153082,0,target
3,0.010232781,0,off-target
3,0.015217453,0,target
4,0.011596578,0,off-target
4,0.017118735,0,target
5,0.012601625,0,off-target
5,0.014508816,0,target
6,0.011587063,0,off-target
6,0.018185882,0,target
7,0.009280547,0,off-target
7,0.017818758,0,target
8,0.012630562,0,off-target
8,0.014365227,0,target
9,0.0131680155,0,off-target
9,0.012464317,0,target
10,0.012324062,0,off-target
10,0.01321336,0,target
11,0.012532,0,off-target
11,0.017820792,0,target
12,0.009089813,0,off-target
12,0.01235639,0,target
13,0.00941525,0,off-target
13,0.011605988,0,target
14,0.008640719,0,off-target
14,0.009721238,0,target
15,0.009008281,0,off-target
15,0.008869832,0,target
16,0.010347391,0,off-target
16,0.0062205116,0,target
17,0.008620625,0,off-target
17,0.0070902463,0,target
18,0.009008547,0,off-target
18,0.008328356,0,target
19,0.015370422,0,off-target
19,0.008026246,0,target
20,0.013776625,0,off-target
20,0.006883578,0,target
21,0.011777359,0,off-target
21,0.007973414,0,target
22,0.011017672,0,off-target
22,0.007650906,0,target
23,0.009405719,0,off-target
23,0.007118426,0,target
24,0.011249782,0,off-target
24,0.005439473,0,target
25,0.013563453,0,off-target
25,0.0068897735,0,target
26,0.015590484,0,off-target
26,0.007086219,0,target
27,0.014393703,0,off-target
27,0.005752008,0,target
28,0.020180937,0,off-target
28,0.0045246677,0,target
29,0.018870562,0,off-target
29,0.0032488946,0,target
30,0.021970171,0,off-target
30,0.003627047,0,target
31,0.023925813,0,off-target
31,0.0042032814,0,target
32,0.022770343,0,off-target
32,0.0047977385,0,target
33,0.021999095,0,off-target
33,0.0032096524,0,target
34,0.018559376,0,off-target
34,0.0037819375,0,target
35,0.01942775,0,off-target
35,0.0036802774,0,target
36,0.022418609,0,off-target
36,0.0037518945,0,target
37,0.018664906,0,off-target
37,0.0036541952,0,target
38,0.020017046,0,off-target
38,0.00400543,0,target
39,0.017086048,0,off-target
39,0.004081301,0,target
40,0.014466922,0,off-target
40,0.004732473,0,target
41,0.01350114,0,off-target
41,0.005784375,0,target
42,0.011116032,0,off-target
42,0.004967129,0,target
