t,ksd,seed,type
106,0.008117047,0,target
107,0.029877298,0,off-target
107,0.007833141,0,target
108,0.030557625,0,off-target
108,0.008992109,0,target
109,0.028049469,0,off-target
109,0.009109368,0,target
110,0.02878861,0,off-target
110,0.009254266,0,target
111,0.029972594,0,off-target
111,0.008973953,0,target
112,0.03081314,0,off-target
112,0.009138851,0,target
113,0.032370687,0,off-target
113,0.008392891,0,target
114,0.034937296,0,off-target
114,0.008746938,0,target
115,0.032150313,0,off-target
115,0.008345414,0,target
116,0.032811046,0,off-target
116,0.008210195,0,target
117,0.033348124,0,off-target
117,0.008404343,0,target
118,0.03031436,0,off-target
118,0.0072329217,0,target
119,0.0291825,0,off-target
119,0.0072596953,0,target
120,0.02936089,0,off-target
120,0.0068869377,0,target
121,0.029491093,0,off-target
121,0.006847125,0,target
122,0.027365422,0,off-target
122,0.0059024217,0,target
123,0.028365234,0,off-target
123,0.0065040314,0,target
124,0.030978125,0,off-target
124,0.0076188906,0,target
125,0.03078386,0,off-target
125,0.0077792034,0,target
126,0.03085164,0,off-target
126,0.0067883437,0,target
127,0.03067836,0,off-target
127,0.0061570155,0,target
128,0.02812914,0,off-target
128,0.0053533516,0,target
129,0.02692364,0,off-target
129,0.0050915,0,target
130,0.02589439,0,off-target
130,0.0062121563,0,target
131,0.025020625,0,off-target
131,0.005913797,0,target
132,0.024360126,0,off-target
132,0.005281914,0,target
133,0.025449157,0,off-target
133,0.0048221955,0,target
134,0.027048735,0,off-target
134,0.0048779533,0,target
135,0.025803437,0,off-target
135,0.004727625,0,target
136,0.029054329,0,off-target
136,0.005331945,0,target
137,0.029397203,0,off-target
137,0.005643484,0,target
138,0.03169006,0,off-target
138,0.0051943674,0,target
139,0.029724626,0,off-target
139,0.0051373127,0,target
140,0.031788874,0,off-target
140,0.004766617,0,target
141,0.031205656,0,off-target
141,0.004945875,0,target
142,0.0305605,0,off-target
142,0.0049761096,0,target
143,0.030497843,0,off-target
143,0.0055953045,0,target
144,0.029705422,0,off-target
144,0.0057545155,0,target
145,0.031103032,0,off-target
145,0.0056692576,0,target
146,0.032937314,0,off-target
146,0.0053378595,0,target
147,0.033090953,0,off-target
147,0.0060888906,0,target
148,0.032662906,0,off-target
148,0.0067352266,0,target
149,0.032836188,0,off-target
149,0.006343203,0,target
150,0.032967687,0,off-target
150,0.0062303515,0,target
151,0.034165062,0,off-target
151,0.006830055,0,target
152,0.0329485,0,off-target
152,0.0078059062,0,target
153,0.03691931,0,off-target
153,0.00773375,0,target
154,0.035164405,0,off-target
154,0.0058565782,0,target
155,0.038217906,0,off-target
155,0.0062867813,0,target
156,0.036996875,0,off-target
156,0.006191586,0,target
157,0.03510189,0,off-target
157,0.0061360234,0,target
158,0.03632883,0,off-target
158,0.0063994923,0,target
159,0.036368266,0,off-target
159,0.0063443515,0,target
160,0.03684072,0,off-target
160,0.005882117,0,target
161,0.035357375,0,off-target
161,0.0054802187,0,target
162,0.036352955,0,off-target
162,0.0057514454,0,target
163,0.03397414,0,off-target
163,0.005715289,0,target
164,0.03377922,0,off-target
164,0.0055939374,0,target
165,0.034486342,0,off-target
165,0.0051085623,0,target
166,0.034002375,0,off-target
166,0.0048920545,0,target
167,0.03364211,0,off-target
167,0.0049780235,0,target
168,0.034673296,0,off-target
168,0.0051328205,0,target
169,0.034155298,0,off-target
169,0.0048126015,0,target
170,0.033018094,0,off-target
170,0.004723078,0,target
171,0.035087124,0,off-target
171,0.004424125,0,target
172,0.03285439,0,off-target
172,0.004051734,0,target
173,0.03453172,0,off-target
173,0.0037401484,0,target
174,0.034835,0,off-target
174,0.0043101874,0,target
175,0.035874985,0,off-target
175,0.00423593,0,target
176,0.03775,0,off-target
176,0.0046401564,0,target
177,0.03854731,0,off-target
177,0.0053805313,0,target
178,0.036897406,0,off-target
178,0.0045871018,0,target
179,0.037010953,0,off-target
179,0.004614414,0,target
180,0.038474686,0,off-target
180,0.0047581014,0,target
181,0.037727892,0,off-target
181,0.005131086,0,target
182,0.04144111,0,off-target
182,0.004831555,0,target
183,0.043083236,0,off-target
183,0.0050347107,0,target
184,0.045130983,0,off-target
184,0.004753797,0,target
185,0.042846344,0,off-target
185,0.0055610077,0,target
186,0.04101228,0,off-target
186,0.0052456018,0,target
187,0.03797395,0,off-target
187,0.005174797,0,target
188,0.038142405,0,off-target
188,0.005538953,0,target
189,0.03674542,0,off-target
189,0.005943758,0,target
190,0.03500747,0,off-target
190,0.006595406,0,target
191,0.03351872,0,off-target
191,0.0068656327,0,target
192,0.03186986,0,off-target
192,0.006429578,0,target
193,0.029224204,0,off-target
193,0.0057316953,0,target
194,0.031211063,0,off-target
194,0.0061245156,0,target
195,0.030391188,0,off-target
195,0.007680328,0,target
196,0.0325445,0,off-target
196,0.008182469,0,target
197,0.034362547,0,off-target
197,0.0088451095,0,target
198,0.034991108,0,off-target
198,0.009311906,0,target
199,0.032399017,0,off-target
199,0.009896429,0,target
200,0.031761687,0,off-target
200,0.009836321,0,target
201,0.029149376,0,off-target
201,0.00937836,0,target
202,0.026057,0,off-target
202,0.009126422,0,target
203,0.025037453,0,off-target
203,0.008739422,0,target
204,0.024204344,0,off-target
204,0.007881078,0,target
205,0.021716297,0,off-target
205,0.0079730395,0,target
206,0.023480844,0,off-target
206,0.008235235,0,target
207,0.022056656,0,off-target
207,0.008414047,0,target
208,0.021298235,0,off-target
208,0.008547101,0,target
209,0.025402548,0,off-target
209,0.007160844,0,target
210,0.025871828,0,off-target
210,0.007798594,0,target
211,0.025125079,0,off-target
211,0.0077539687,0,target
212,0.02456578,0,off-target
212,0.0065844143,0,target
213,0.022183515,0,off-target
213,0.0074012107,0,target
214,0.020129297,0,off-target
214,0.0074063987,0,target
215,0.020490626,0,off-target
215,0.0077028046,0,target
216,0.021008812,0,off-target
216,0.008009938,0,target
217,0.020131562,0,off-target
217,0.008265226,0,target
218,0.019395547,0,off-target
218,0.0076195314,0,target
219,0.020001547,0,off-target
219,0.0077885156,0,target
220,0.02298786,0,off-target
220,0.0077411095,0,target
221,0.021205438,0,off-target
221,0.007987711,0,target
222,0.023079328,0,off-target
222,0.0078712655,0,target
223,0.023779063,0,off-target
223,0.008094414,0,target
224,0.023103312,0,off-target
224,0.00827125,0,target
225,0.024932126,0,off-target
225,0.008443133,0,target
226,0.025633438,0,off-target
226,0.0069554686,0,target
227,0.028177563,0,off-target
227,0.0069496017,0,target
228,0.029413156,0,off-target
228,0.0074441405,0,target
229,0.030911297,0,off-target
229,0.0064763827,0,target
230,0.03124661,0,off-target
230,0.0065731485,0,target
231,0.031870812,0,off-target
231,0.0063512656,0,target
232,0.030390438,0,off-target
232,0.0066973595,0,target
233,0.03146283,0,off-target
233,0.0067984923,0,target
234,0.03143185,0,off-target
234,0.0070791487,0,target
235,0.02915143,0,off-target
235,0.007105305,0,target
236,0.03177071,0,off-target
236,0.006425297,0,target
237,0.031769205,0,off-target
237,0.0062084687,0,target
238,0.031762805,0,off-target
238,0.006181781,0,target
239,0.030141477,0,off-target
239,0.0061619454,0,target
240,0.029875187,0,off-target
240,0.006223586,0,target
241,0.02916543,0,off-target
241,0.0065385858,0,target
242,0.02812628,0,off-target
242,0.006854008,0,target
243,0.026378086,0,off-target
243,0.006181367,0,target
244,0.025137758,0,off-target
244,0.0057634064,0,target
245,0.02718253,0,off-target
245,0.006247992,0,target
246,0.027617235,0,off-target
246,0.0075205625,0,target
247,0.026990188,0,off-target
247,0.007285711,0,target
248,0.02947511,0,off-target
248,0.007328375,0,target
249,0.027680328,0,off-target
249,0.0074205236,0,target
250,0.029260008,0,off-target
250,0.007861891,0,target
251,0.029497242,0,off-target
251,0.007534883,0,target
252,0.030166484,0,off-target
252,0.008880078,0,target
253,0.031718906,0,off-target
253,0.009593539,0,target
254,0.030336937,0,off-target
254,0.011126907,0,target
255,0.027141094,0,off-target
255,0.009996508,0,target
256,0.027066281,0,off-target
256,0.009974851,0,target
257,0.02704171,0,off-target
257,0.009878297,0,target
258,0.026704477,0,off-target
258,0.009956937,0,target
259,0.026046094,0,off-target
259,0.009610344,0,target
260,0.024933297,0,off-target
260,0.009118375,0,target
261,0.023466235,0,off-target
261,0.009955719,0,target
262,0.022418024,0,off-target
262,0.009789859,0,target
263,0.022083266,0,off-target
263,0.009818297,0,target
264,0.01983136,0,off-target
264,0.009796821,0,target
265,0.020367945,0,off-target
265,0.010218992,0,target
266,0.01953036,0,off-target
266,0.009547852,0,target
267,0.018600203,0,off-target
267,0.00944368,0,target
268,0.01766771,0,off-target
268,0.009357929,0,target
269,0.018327657,0,off-target
269,0.00937182,0,target
270,0.020005118,0,off-target
270,0.009932344,0,target
271,0.018163454,0,off-target
271,0.009733828,0,target
272,0.019046672,0,off-target
272,0.0090962425,0,target
273,0.019356593,0,off-target
273,0.007822188,0,target
274,0.020670624,0,off-target
274,0.0077988124,0,target
275,0.02215886,0,off-target
275,0.006815234,0,target
276,0.023380578,0,off-target
276,0.007150297,0,target
277,0.022718,0,off-target
277,0.0076976484,0,target
278,0.021801265,0,off-target
278,0.007462375,0,target
279,0.022784993,0,off-target
279,0.006796008,0,target
280,0.020063743,0,off-target
280,0.0068133594,0,target
281,0.022405218,0,off-target
