Tue Dec  6 22:24:17 2022    profile.o

         146142480 function calls (141306574 primitive calls) in 213.205 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 pywrap_tf_session.py:15(<module>)
        1    0.000    0.000    0.003    0.003 ElementTree.py:6(<module>)
     1501    0.002    0.000    0.003    0.000 context.py:1256(function_call_options)
      562    0.001    0.000    0.003    0.000 fromnumeric.py:51(_wrapfunc)
     1497    0.003    0.000    0.003    0.000 def_function.py:162(called_without_tracing)
        1    0.000    0.000    0.003    0.003 socket.py:4(<module>)
        3    0.001    0.000    0.003    0.001 more.py:1(<module>)
        4    0.000    0.000    0.003    0.001 _docscrape.py:371(_parse)
2662/1675    0.002    0.000    0.003    0.000 typing.py:720(__hash__)
        2    0.000    0.000    0.003    0.001 pickle.py:1(<module>)
     3000    0.003    0.000    0.003    0.000 tf_should_use.py:98(_new__setattr__)
       24    0.000    0.000    0.003    0.000 pyparsing.py:2653(__init__)
      190    0.000    0.000    0.003    0.000 tensor_util.py:306(_AssertCompatible)
     1535    0.001    0.000    0.003    0.000 tensor_shape.py:287(assert_is_compatible_with)
        1    0.000    0.000    0.003    0.003 linear_operator_circulant.py:15(<module>)
     8345    0.003    0.000    0.003    0.000 {method 'bit_length' of 'int' objects}
      322    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(reshape)
      797    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
        1    0.000    0.000    0.003    0.003 name.py:5(<module>)
       67    0.001    0.000    0.003    0.000 tokenize.py:295(detect_encoding)
        1    0.000    0.000    0.003    0.003 matern.py:15(<module>)
        1    0.000    0.000    0.003    0.003 sets_impl.py:15(<module>)
       80    0.000    0.000    0.003    0.000 array_ops.py:303(expand_dims)
        2    0.000    0.000    0.003    0.001 bernoulli.py:15(<module>)
        1    0.000    0.000    0.003    0.003 defmatrix.py:1(<module>)
    335/7    0.001    0.000    0.003    0.000 pyparsing.py:1370(_parseNoCache)
       52    0.000    0.000    0.003    0.000 hager_zhang.py:611(_very_close)
        1    0.000    0.000    0.003    0.003 stateful_random_ops.py:411(__init__)
        2    0.000    0.000    0.003    0.001 losses.py:15(<module>)
        1    0.000    0.000    0.003    0.003 reflection.py:33(<module>)
      448    0.000    0.000    0.003    0.000 colors.py:152(to_rgba)
     54/7    0.000    0.000    0.003    0.000 pyparsing.py:3397(parseImpl)
        4    0.002    0.000    0.003    0.001 _codata.py:1498(parse_constants_2002to2014)
        1    0.000    0.000    0.003    0.003 _parser.py:2(<module>)
      134    0.000    0.000    0.003    0.000 prefer_static.py:107(_get_static_value)
        2    0.000    0.000    0.002    0.001 functools.py:1(<module>)
        1    0.000    0.000    0.002    0.002 wishart.py:15(<module>)
        1    0.000    0.000    0.002    0.002 structured_array_ops.py:15(<module>)
      445    0.001    0.000    0.002    0.000 enum.py:938(__and__)
       40    0.000    0.000    0.002    0.000 numpy_boxes.py:31(__truediv__)
    16967    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
      248    0.001    0.000    0.002    0.000 pathlib.py:658(_parse_args)
        1    0.000    0.000    0.002    0.002 subprocess.py:368(check_output)
        1    0.000    0.000    0.002    0.002 tpu_embedding_for_serving.py:15(<module>)
   222/10    0.001    0.000    0.002    0.000 pyparsing.py:3319(streamline)
        1    0.000    0.000    0.002    0.002 changepoint.py:15(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:452(run)
      613    0.001    0.000    0.002    0.000 op_callbacks.py:114(should_invoke_op_callbacks)
       26    0.000    0.000    0.002    0.000 function_spec.py:38(from_function_and_signature)
      134    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(round_)
     1616    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
        6    0.001    0.000    0.002    0.000 bootstrap.py:68(_test_once)
     1320    0.001    0.000    0.002    0.000 tf_export.py:138(get_canonical_name)
        1    0.000    0.000    0.002    0.002 binding.py:82(build_conditional_library)
        8    0.000    0.000    0.002    0.000 core.py:2678(__init__)
        1    0.000    0.000    0.002    0.002 defchararray.py:1(<module>)
        2    0.000    0.000    0.002    0.001 version.py:10(<module>)
     7558    0.002    0.000    0.002    0.000 sre_parse.py:160(__len__)
       11    0.002    0.000    0.002    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_FunctionToFunctionDef}
        1    0.000    0.000    0.002    0.002 gradients_util.py:467(_GradientsHelper)
      614    0.001    0.000    0.002    0.000 ops.py:2153(_control_flow_post_processing)
        1    0.000    0.000    0.002    0.002 logging_ops.py:15(<module>)
      156    0.000    0.000    0.002    0.000 distribution.py:225(<listcomp>)
        1    0.000    0.000    0.002    0.002 random_generators.py:15(<module>)
       62    0.000    0.000    0.002    0.000 core.py:1352(__add__)
        1    0.000    0.000    0.002    0.002 tensor_tracer.py:15(<module>)
        1    0.000    0.000    0.002    0.002 std.py:1536(trange)
        1    0.000    0.000    0.002    0.002 tz.py:2(<module>)
        1    0.000    0.000    0.002    0.002 ast_util.py:15(<module>)
      717    0.002    0.000    0.002    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_AddInput}
        1    0.000    0.000    0.002    0.002 __init__.py:332(Version)
        1    0.000    0.000    0.002    0.002 autoregressive.py:15(<module>)
        1    0.000    0.000    0.002    0.002 ciphers.py:5(<module>)
        1    0.000    0.000    0.002    0.002 hmc.py:15(<module>)
       56    0.000    0.000    0.002    0.000 deprecation.py:321(delete_parameter)
     6639    0.002    0.000    0.002    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.002    0.002 file_io.py:15(<module>)
      109    0.000    0.000    0.002    0.000 typing.py:496(__init__)
        1    0.000    0.000    0.002    0.002 chi.py:15(<module>)
       19    0.000    0.000    0.002    0.000 distribution.py:140(__new__)
       28    0.001    0.000    0.002    0.000 util.py:182(_collapse_string_to_ranges)
       19    0.000    0.000    0.002    0.000 _distn_infrastructure.py:3032(_attach_methods)
    21590    0.002    0.000    0.002    0.000 inspect.py:2857(parameters)
        1    0.000    0.000    0.002    0.002 extension_type.py:15(<module>)
      206    0.000    0.000    0.002    0.000 np_utils.py:203(_np_doc_helper)
        1    0.000    0.000    0.002    0.002 rnn_grad.py:15(<module>)
      134    0.001    0.000    0.002    0.000 arraypad.py:86(_pad_simple)
     1510    0.001    0.000    0.002    0.000 auto_composite_tensor.py:41(is_deferred_assertion_context)
        1    0.000    0.000    0.002    0.002 kernel_builder.py:15(<module>)
     1228    0.001    0.000    0.002    0.000 auto_control_deps.py:645(update)
      618    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
       18    0.000    0.000    0.002    0.000 dataclasses.py:487(_init_fn)
       12    0.000    0.000    0.002    0.000 lazy_loader.py:57(__getattr__)
      371    0.002    0.000    0.002    0.000 op_def_library.py:394(_ExtractDefaultTypesAndAllowedTypes)
       52    0.000    0.000    0.002    0.000 math_ops.py:1624(div_no_nan)
        1    0.000    0.000    0.002    0.002 check_numerics_callback.py:15(<module>)
    11323    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.002    0.002 _csr.py:1(<module>)
        3    0.000    0.000    0.002    0.001 _version.py:7(<module>)
     4354    0.001    0.000    0.002    0.000 typing.py:646(_is_dunder)
     6547    0.002    0.000    0.002    0.000 utils.py:330(<genexpr>)
        2    0.000    0.000    0.002    0.001 input_lib.py:15(<module>)
        2    0.000    0.000    0.002    0.001 frame.py:587(__init__)
     55/8    0.000    0.000    0.002    0.000 core.py:3635(leave_whitespace)
      899    0.001    0.000    0.002    0.000 posixpath.py:117(splitext)
        1    0.000    0.000    0.002    0.002 cli.py:1(<module>)
        1    0.000    0.000    0.002    0.002 gen_cudnn_rnn_ops.py:1(<module>)
     5947    0.002    0.000    0.002    0.000 inspect.py:72(isclass)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:1(<module>)
        3    0.000    0.000    0.002    0.001 composite_tensor.py:15(<module>)
      183    0.000    0.000    0.002    0.000 inspect.py:2894(__eq__)
       16    0.000    0.000    0.002    0.000 rcsetup.py:618(cycler)
        1    0.000    0.000    0.002    0.002 dual_averaging_step_size_adaptation.py:15(<module>)
      985    0.001    0.000    0.002    0.000 op_def_registry.py:32(get)
        1    0.000    0.000    0.002    0.002 cluster.py:15(<module>)
        5    0.000    0.000    0.002    0.000 np_random.py:106(randint)
      842    0.000    0.000    0.002    0.000 typing.py:358(<genexpr>)
        1    0.000    0.000    0.002    0.002 multi_process_runner.py:15(<module>)
        1    0.000    0.000    0.002    0.002 dtensor_device.py:15(<module>)
      357    0.001    0.000    0.002    0.000 composite_tensor_gradient.py:198(<listcomp>)
      714    0.001    0.000    0.002    0.000 composite_tensor_gradient.py:159(get_flat_tensors_for_gradients)
        2    0.000    0.000    0.002    0.001 step_stats_pb2.py:5(<module>)
     1510    0.002    0.000    0.002    0.000 distribution.py:147(<dictcomp>)
      661    0.001    0.000    0.002    0.000 ops.py:6781(__exit__)
       63    0.001    0.000    0.002    0.000 core.py:3783(__init__)
        1    0.000    0.000    0.002    0.002 multi_head_attention.py:16(<module>)
    12371    0.002    0.000    0.002    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.002    0.002 accessor.py:143(StringMethods)
        3    0.000    0.000    0.002    0.001 patches.py:2165(pprint_styles)
       91    0.001    0.000    0.002    0.000 gradient.py:402(c2t)
        3    0.000    0.000    0.002    0.001 ops.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _minpack_py.py:1(<module>)
        1    0.000    0.000    0.002    0.002 function_cache.py:15(<module>)
  681/213    0.001    0.000    0.002    0.000 dispatch.py:399(contains_cls)
        1    0.000    0.000    0.002    0.002 gen_functional_ops.py:1(<module>)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
     3067    0.001    0.000    0.002    0.000 object_identity.py:203(<listcomp>)
        1    0.000    0.000    0.002    0.002 gen_lookup_ops.py:1(<module>)
        2    0.000    0.000    0.002    0.001 dirichlet_multinomial.py:15(<module>)
     2790    0.002    0.000    0.002    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetStopOnThread}
     3213    0.002    0.000    0.002    0.000 backprop.py:70(op_attr_type)
       64    0.000    0.000    0.002    0.000 numpy_vjps.py:452(dot_vjp_0)
        1    0.000    0.000    0.002    0.002 tracking.py:15(<module>)
        2    0.000    0.000    0.002    0.001 rsa.py:5(<module>)
        1    0.000    0.000    0.002    0.002 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.002    0.002 models_np.py:1(<module>)
        1    0.000    0.000    0.002    0.002 gen_parsing_ops.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _constraints.py:1(<module>)
        2    0.000    0.000    0.002    0.001 base.py:16(<module>)
        2    0.000    0.000    0.002    0.001 distribution.py:15(<module>)
      668    0.001    0.000    0.002    0.000 tf_logging.py:206(vlog)
       14    0.000    0.000    0.002    0.000 typing.py:1615(__new__)
        1    0.000    0.000    0.002    0.002 boolean.py:1(<module>)
        6    0.000    0.000    0.002    0.000 all_util.py:82(remove_undocumented)
       16    0.000    0.000    0.002    0.000 func_graph.py:131(<listcomp>)
        1    0.000    0.000    0.002    0.002 dataset.py:10(<module>)
        1    0.000    0.000    0.002    0.002 candidate_sampling_ops.py:16(<module>)
     2997    0.001    0.000    0.002    0.000 function.py:405(signature)
   112/55    0.000    0.000    0.002    0.000 core.py:3722(copy)
        1    0.000    0.000    0.002    0.002 _basic.py:7(<module>)
      169    0.000    0.000    0.002    0.000 tensor_util.py:260(inner)
       44    0.000    0.000    0.002    0.000 func_graph.py:83(encode_arg)
        1    0.000    0.000    0.002    0.002 saved_model_experimental.py:15(<module>)
        1    0.000    0.000    0.002    0.002 bitwise.py:15(<module>)
        1    0.000    0.000    0.002    0.002 thermodynamic_integrals.py:15(<module>)
        1    0.000    0.000    0.002    0.002 oid.py:5(<module>)
        1    0.000    0.000    0.002    0.002 sjisprober.py:28(<module>)
        2    0.000    0.000    0.002    0.001 linalg.py:1(<module>)
        1    0.000    0.000    0.002    0.002 configparser.py:1(<module>)
        1    0.000    0.000    0.002    0.002 deprecation.py:16(<module>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
      357    0.001    0.000    0.002    0.000 tape.py:43(push_new_tape)
        1    0.000    0.000    0.002    0.002 _argument_parser.py:15(<module>)
        1    0.000    0.000    0.002    0.002 tpu_embedding_base.py:15(<module>)
        1    0.000    0.000    0.002    0.002 convert_phase.py:15(<module>)
        9    0.000    0.000    0.002    0.000 utils.py:15(<module>)
      820    0.001    0.000    0.002    0.000 <__array_function__ internals>:177(shape)
     1228    0.001    0.000    0.002    0.000 tpu.py:264(replace_with_unreplicated_resources)
     2141    0.002    0.000    0.002    0.000 {built-in method sys.exc_info}
      291    0.000    0.000    0.002    0.000 ops.py:482(shape)
     3000    0.001    0.000    0.002    0.000 util.py:19(is_namedtuple)
       33    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(linspace)
        1    0.000    0.000    0.002    0.002 message_factory.py:31(<module>)
        1    0.000    0.000    0.002    0.002 axes3d.py:44(Axes3D)
        2    0.000    0.000    0.002    0.001 trace.py:15(<module>)
        1    0.000    0.000    0.002    0.002 rolling.py:1(<module>)
      610    0.001    0.000    0.002    0.000 decorators.py:202(_build)
  256/244    0.000    0.000    0.002    0.000 core.py:231(vspace)
        1    0.000    0.000    0.002    0.002 subprocess.py:736(__init__)
2279/2191    0.001    0.000    0.002    0.000 tracer.py:124(<lambda>)
      413    0.001    0.000    0.002    0.000 decorator.py:145(update)
        1    0.000    0.000    0.002    0.002 structured_function.py:15(<module>)
    20715    0.002    0.000    0.002    0.000 inspect.py:2547(annotation)
      615    0.001    0.000    0.002    0.000 threading.py:341(notify)
        1    0.000    0.000    0.002    0.002 pyplot.py:2046(_setup_pyplot_info_docstrings)
       13    0.000    0.000    0.002    0.000 typing.py:1591(_make_nmtuple)
     1044    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.002    0.002 ivp.py:1(<module>)
      721    0.001    0.000    0.002    0.000 posixpath.py:150(dirname)
     1506    0.001    0.000    0.002    0.000 nest.py:314(is_nested)
     4707    0.002    0.000    0.002    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.002    0.002 mel_ops.py:15(<module>)
        1    0.000    0.000    0.002    0.002 nn_grad.py:15(<module>)
        3    0.000    0.000    0.002    0.001 patches.py:2169(<listcomp>)
       22    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(fill_diagonal)
      614    0.001    0.000    0.002    0.000 lock_util.py:105(_another_group_active)
     4525    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:143(__init__)
      357    0.001    0.000    0.002    0.000 backprop.py:878(_pop_tape)
      166    0.000    0.000    0.002    0.000 pyparsing.py:1821(__add__)
        1    0.000    0.000    0.002    0.002 deterministic.py:15(<module>)
     3012    0.002    0.000    0.002    0.000 parameter_properties.py:320(instance_event_ndims)
     9076    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.002    0.002 joint_distribution_auto_batched.py:15(<module>)
       33    0.001    0.000    0.002    0.000 function_base.py:23(linspace)
        6    0.000    0.000    0.002    0.000 all_util.py:26(make_all)
    10495    0.002    0.000    0.002    0.000 function_spec.py:446(<genexpr>)
     3105    0.001    0.000    0.002    0.000 tensor_util.py:165(is_module)
        1    0.000    0.000    0.002    0.002 tf2.py:15(<module>)
        1    0.000    0.000    0.002    0.002 exponentially_modified_gaussian.py:15(<module>)
        1    0.000    0.000    0.002    0.002 function_context.py:15(<module>)
    12060    0.002    0.000    0.002    0.000 tf_decorator.py:255(decorated_target)
        2    0.000    0.000    0.002    0.001 pyparsing.py:4904(makeHTMLTags)
        1    0.000    0.000    0.002    0.002 common.py:601(get_handle)
        1    0.000    0.000    0.002    0.002 while_v2.py:15(<module>)
        2    0.000    0.000    0.002    0.001 pyparsing.py:4875(_makeTags)
        1    0.000    0.000    0.002    0.002 beta_binomial.py:15(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:1552(_execute_child)
      146    0.001    0.000    0.002    0.000 tensor_shape.py:938(num_elements)
        2    0.000    0.000    0.002    0.001 decoder.py:1(<module>)
        2    0.000    0.000    0.002    0.001 tensor_shape.py:15(<module>)
        1    0.000    0.000    0.002    0.002 text_format.py:1230(Tokenizer)
       99    0.000    0.000    0.002    0.000 enum.py:143(__prepare__)
        1    0.000    0.000    0.002    0.002 bessel.py:15(<module>)
        1    0.000    0.000    0.002    0.002 numpy_math.py:15(<module>)
        1    0.000    0.000    0.002    0.002 tpu_embedding.py:15(<module>)
        1    0.000    0.000    0.002    0.002 _mannwhitneyu.py:1(<module>)
       99    0.001    0.000    0.002    0.000 enum.py:200(<setcomp>)
      430    0.000    0.000    0.002    0.000 dispatch.py:402(<genexpr>)
     7542    0.002    0.000    0.002    0.000 data_structures.py:66(__init__)
   108/20    0.000    0.000    0.002    0.000 pyparsing.py:3762(streamline)
        4    0.000    0.000    0.002    0.000 pyparsing.py:4763(srange)
        2    0.000    0.000    0.002    0.001 server_lib.py:15(<module>)
        1    0.000    0.000    0.002    0.002 sparse_csr_matrix_ops.py:15(<module>)
        1    0.000    0.000    0.002    0.002 cookies.py:39(<module>)
        1    0.000    0.000    0.002    0.002 _linprog_ip.py:1(<module>)
      307    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.002    0.002 option_builder.py:15(<module>)
        3    0.000    0.000    0.002    0.001 std.py:1174(__iter__)
        1    0.000    0.000    0.002    0.002 mvn_linear_operator.py:15(<module>)
        1    0.000    0.000    0.002    0.002 std.py:560(__new__)
        1    0.000    0.000    0.002    0.002 gen_rnn_ops.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pdb.py:3(<module>)
      143    0.000    0.000    0.002    0.000 ops.py:505(_c_api_shape)
       27    0.000    0.000    0.002    0.000 positive_semidefinite_kernel.py:1118(__new__)
        8    0.000    0.000    0.002    0.000 math_ops.py:2042(range)
        5    0.000    0.000    0.002    0.000 data.py:25(__init__)
        1    0.000    0.000    0.002    0.002 conversion_metadata_schema_py_generated.py:1(<module>)
       14    0.000    0.000    0.002    0.000 __init__.py:411(flex_arith_method_FRAME)
       13    0.000    0.000    0.002    0.000 std.py:348(print_status)
        1    0.000    0.000    0.002    0.002 array_ops.py:1(<module>)
    11707    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
      980    0.001    0.000    0.002    0.000 imp.py:105(get_suffixes)
     1524    0.001    0.000    0.002    0.000 type_check.py:303(iscomplexobj)
        1    0.000    0.000    0.002    0.002 _utils.py:15(<module>)
        2    0.000    0.000    0.002    0.001 transforms.py:1(<module>)
        1    0.000    0.000    0.002    0.002 sbcsgroupprober.py:29(<module>)
     2674    0.002    0.000    0.002    0.000 functools.py:64(wraps)
        1    0.000    0.000    0.002    0.002 ragged_batch_gather_with_default_op.py:15(<module>)
        1    0.000    0.000    0.002    0.002 plistlib.py:1(<module>)
      251    0.001    0.000    0.002    0.000 pathlib.py:64(parse_parts)
       57    0.000    0.000    0.002    0.000 dispatch.py:691(_signature_from_annotations)
        1    0.000    0.000    0.002    0.002 contract.py:1(<module>)
        1    0.000    0.000    0.002    0.002 googletest.py:16(<module>)
      134    0.000    0.000    0.002    0.000 fromnumeric.py:3764(round_)
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
        1    0.000    0.000    0.002    0.002 _adapters.py:1(<module>)
       22    0.002    0.000    0.002    0.000 index_tricks.py:779(fill_diagonal)
        1    0.000    0.000    0.002    0.002 fft_ops.py:15(<module>)
        1    0.000    0.000    0.002    0.002 gen_state_ops.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:189(_check_versions)
        1    0.000    0.000    0.002    0.002 arrow_parser_wrapper.py:1(<module>)
      449    0.000    0.000    0.002    0.000 __init__.py:1315(safe_name)
        1    0.001    0.001    0.002    0.002 hlo_pb2.py:5(<module>)
    13341    0.002    0.000    0.002    0.000 {built-in method builtins.id}
      357    0.001    0.000    0.002    0.000 backprop.py:1090(<listcomp>)
        1    0.000    0.000    0.002    0.002 data_flow_grad.py:16(<module>)
      614    0.000    0.000    0.002    0.000 ops.py:5419(_mutation_lock)
        5    0.000    0.000    0.002    0.000 save.py:15(<module>)
     1501    0.002    0.000    0.002    0.000 function_spec.py:383(<dictcomp>)
        1    0.000    0.000    0.002    0.002 masked.py:1(<module>)
        2    0.000    0.000    0.002    0.001 gradient_descent.py:15(<module>)
      322    0.000    0.000    0.002    0.000 fromnumeric.py:198(reshape)
       63    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(any)
        1    0.000    0.000    0.002    0.002 number_types.py:15(<module>)
        1    0.000    0.000    0.002    0.002 c_api_util.py:16(<module>)
        1    0.000    0.000    0.002    0.002 xml_reporter.py:15(<module>)
        1    0.000    0.000    0.002    0.002 linear_operator.py:15(<module>)
      366    0.001    0.000    0.002    0.000 inspect.py:2880(_hash_basis)
       88    0.000    0.000    0.002    0.000 numpy_vjps.py:35(<lambda>)
        1    0.000    0.000    0.002    0.002 _mstats_basic.py:1(<module>)
        1    0.000    0.000    0.002    0.002 models.py:3(<module>)
        1    0.000    0.000    0.002    0.002 input.py:16(<module>)
       43    0.000    0.000    0.002    0.000 math_ops.py:5379(sqrt)
      100    0.000    0.000    0.002    0.000 numpy_vjps.py:32(<lambda>)
        1    0.000    0.000    0.002    0.002 _fitpack_py.py:1(<module>)
   112/55    0.000    0.000    0.002    0.000 core.py:3724(<listcomp>)
        1    0.000    0.000    0.002    0.002 module_wrapper.py:15(<module>)
        1    0.000    0.000    0.002    0.002 shape_ops.py:15(<module>)
     6772    0.001    0.000    0.002    0.000 version.py:81(__eq__)
        2    0.000    0.000    0.002    0.001 node.py:17(<module>)
       25    0.000    0.000    0.002    0.000 docstring_util.py:36(_fn_wrapped)
        1    0.000    0.000    0.002    0.002 functional_saver.py:15(<module>)
    11456    0.002    0.000    0.002    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.002    0.002 parser.py:15(<module>)
      305    0.000    0.000    0.002    0.000 decorators.py:176(decorator)
        1    0.000    0.000    0.002    0.002 script_ops.py:15(<module>)
        9    0.000    0.000    0.002    0.000 func_graph.py:167(__init__)
       13    0.000    0.000    0.002    0.000 docstring.py:61(<listcomp>)
      266    0.001    0.000    0.002    0.000 pyparsing.py:3260(__init__)
      722    0.000    0.000    0.002    0.000 op_def_library.py:597(<listcomp>)
        6    0.000    0.000    0.002    0.000 tf_inspect.py:339(getmembers)
     1069    0.001    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
        5    0.000    0.000    0.002    0.000 ops.py:1669(internal_convert_n_to_tensor)
        1    0.000    0.000    0.002    0.002 convolutional.py:15(<module>)
        2    0.000    0.000    0.002    0.001 pytables.py:1(<module>)
     3747    0.001    0.000    0.002    0.000 inspect.py:80(ismethod)
     2499    0.001    0.000    0.002    0.000 backprop.py:646(<genexpr>)
      256    0.001    0.000    0.002    0.000 __init__.py:410(_replace)
     1202    0.001    0.000    0.002    0.000 enum.py:417(__setattr__)
        1    0.000    0.000    0.002    0.002 gen_set_ops.py:1(<module>)
        1    0.000    0.000    0.002    0.002 minidom.py:1(<module>)
        1    0.000    0.000    0.002    0.002 cli_shared.py:15(<module>)
        1    0.000    0.000    0.002    0.002 matrix_t_linear_operator.py:15(<module>)
        1    0.000    0.000    0.002    0.002 ragged_tensor_value.py:15(<module>)
       63    0.000    0.000    0.002    0.000 colors.py:980(reversed)
        1    0.000    0.000    0.002    0.002 gen_logging_ops.py:1(<module>)
        1    0.000    0.000    0.002    0.002 stateless_random_ops.py:447(stateless_random_binomial)
        6    0.001    0.000    0.002    0.000 inspect.py:325(getmembers)
     4219    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
        1    0.000    0.000    0.002    0.002 tfprof_logger.py:15(<module>)
        1    0.000    0.000    0.002    0.002 zipp.py:3(<module>)
        1    0.000    0.000    0.002    0.002 ragged_where_op.py:15(<module>)
        1    0.000    0.000    0.002    0.002 tpu_embedding_v2_utils.py:15(<module>)
      202    0.000    0.000    0.002    0.000 __init__.py:2873(insert_on)
      653    0.002    0.000    0.002    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationOutputType}
        2    0.000    0.000    0.002    0.001 ec.py:5(<module>)
        6    0.000    0.000    0.002    0.000 prefer_static.py:86(_copy_docstring)
      371    0.000    0.000    0.002    0.000 op_def_library.py:105(_Flatten)
     3000    0.002    0.000    0.002    0.000 default_types.py:93(__init__)
    49/22    0.000    0.000    0.002    0.000 pyparsing.py:3547(parseImpl)
      234    0.000    0.000    0.002    0.000 np_export.py:24(np_export)
      103    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(amax)
        1    0.000    0.000    0.002    0.002 generic.py:15(<module>)
      357    0.000    0.000    0.002    0.000 composite_tensor_gradient.py:110(_get_tensors_for_gradient)
        1    0.000    0.000    0.002    0.002 monkey.py:63(patch_all)
        1    0.001    0.001    0.002    0.002 xla_data_pb2.py:5(<module>)
       10    0.001    0.000    0.002    0.000 ops.py:3056(__init__)
        1    0.000    0.000    0.002    0.002 _docscrape.py:112(NumpyDocString)
     4597    0.002    0.000    0.002    0.000 {built-in method _imp.is_frozen}
      876    0.000    0.000    0.002    0.000 colors.py:106(_is_nth_color)
        3    0.000    0.000    0.002    0.001 config.py:15(<module>)
       20    0.000    0.000    0.002    0.000 def_function.py:1285(function)
        2    0.000    0.000    0.002    0.001 gamma.py:15(<module>)
        2    0.000    0.000    0.002    0.001 worker_training_state.py:15(<module>)
        1    0.000    0.000    0.002    0.002 monkey.py:130(patch_for_msvc_specialized_compiler)
        1    0.000    0.000    0.002    0.002 inverse_registrations.py:34(<module>)
        5    0.002    0.000    0.002    0.000 functools.py:796(singledispatch)
      418    0.000    0.000    0.002    0.000 genericpath.py:16(exists)
       61    0.000    0.000    0.002    0.000 typing.py:586(__init__)
      750    0.000    0.000    0.002    0.000 ops.py:4105(_get_operation_by_tf_operation)
      364    0.001    0.000    0.002    0.000 context.py:2063(__exit__)
       55    0.000    0.000    0.002    0.000 core.py:3643(<listcomp>)
        1    0.000    0.000    0.002    0.002 pydoc.py:2(<module>)
        1    0.000    0.000    0.002    0.002 instructions.py:15(<module>)
        1    0.000    0.000    0.002    0.002 nest.py:15(<module>)
      168    0.000    0.000    0.002    0.000 pyparsing.py:3390(__init__)
       46    0.000    0.000    0.002    0.000 __init__.py:1916(get_metadata_lines)
        1    0.000    0.000    0.002    0.002 pool.py:10(<module>)
        1    0.000    0.000    0.002    0.002 fontconfig_pattern.py:62(__init__)
      357    0.001    0.000    0.002    0.000 tape.py:54(watch)
      212    0.000    0.000    0.002    0.000 numpy_vspaces.py:57(<lambda>)
        1    0.000    0.000    0.002    0.002 data_utils.py:17(<module>)
        1    0.000    0.000    0.002    0.002 _compressed.py:1(<module>)
       43    0.000    0.000    0.002    0.000 gen_math_ops.py:10781(sqrt)
  264/157    0.000    0.000    0.002    0.000 core.py:1857(name)
      611    0.001    0.000    0.002    0.000 auto_control_deps_utils.py:108(<genexpr>)
        1    0.000    0.000    0.002    0.002 gen_list_ops.py:1(<module>)
        1    0.000    0.000    0.002    0.002 cholesky_lkj.py:15(<module>)
        1    0.000    0.000    0.002    0.002 linecache.py:1(<module>)
        2    0.001    0.001    0.002    0.001 debug_pb2.py:5(<module>)
        1    0.000    0.000    0.002    0.002 op_def_library.py:16(<module>)
        2    0.000    0.000    0.002    0.001 multinomial.py:426(_replicate_along_left)
     1062    0.002    0.000    0.002    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewBuffer}
