Tue Dec  6 22:24:17 2022    profile.o

         146142480 function calls (141306574 primitive calls) in 213.205 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  4400/16    0.016    0.000    4.187    0.262 <frozen importlib._bootstrap>:650(_load_unlocked)
  4115/14    0.009    0.000    4.186    0.299 <frozen importlib._bootstrap_external>:842(exec_module)
  7188/15    0.003    0.000    4.184    0.279 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      134    0.013    0.000    4.113    0.031 quantiles.py:428(percentile)
  5578401    3.997    0.000    3.997    0.000 context.py:973(executing_eagerly)
        1    0.000    0.000    3.847    3.847 models_np.py:126(assert_equal_log_prob)
 2917/169    0.008    0.000    3.797    0.022 {built-in method builtins.__import__}
   592881    0.744    0.000    3.716    0.000 ops.py:1256(shape)
      294    0.018    0.000    3.689    0.013 langevin.py:98(compute_accept_prob)
      134    0.001    0.000    3.670    0.027 sort_ops.py:29(sort)
      134    0.002    0.000    3.668    0.027 sort_ops.py:153(_sort_or_argsort)
   255725    0.229    0.000    3.666    0.000 array_ops.py:376(expand_dims_v2)
      134    0.004    0.000    3.662    0.027 sort_ops.py:241(_ascending_sort)
      134    0.002    0.000    3.610    0.027 sort_ops.py:186(_descending_sort)
15315/717    0.014    0.000    3.607    0.005 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      140    0.001    0.000    3.565    0.025 array_ops.py:2815(matrix_set_diag)
      140    0.000    0.000    3.564    0.025 gen_array_ops.py:5929(matrix_set_diag_v3)
      134    0.001    0.000    3.555    0.027 nn_ops.py:5706(top_k)
      134    0.002    0.000    3.554    0.027 gen_nn_ops.py:11464(top_kv2)
  2584124    3.457    0.000    3.517    0.000 dtypes.py:175(__eq__)
   255725    0.368    0.000    3.437    0.000 gen_array_ops.py:2291(expand_dims)
   331107    0.273    0.000    3.387    0.000 tensor_conversion_registry.py:46(_default_conversion_function)
      134    0.003    0.000    3.062    0.023 kernel.py:156(grad_first)
   405075    1.038    0.000    2.886    0.000 tensor_shape.py:765(__init__)
     1498    0.004    0.000    2.800    0.002 distribution_util.py:1360(_fn)
     1498    0.015    0.000    2.796    0.002 binomial.py:439(_sample_n)
   846026    0.590    0.000    2.707    0.000 nest.py:355(flatten)
      294    0.027    0.000    2.545    0.009 langevin.py:200(proposal)
     1498    0.008    0.000    2.525    0.002 implementation_selection.py:75(f_wrapped)
     1498    0.022    0.000    2.511    0.002 def_function.py:887(__call__)
     2774    0.087    0.000    2.489    0.001 math_ops.py:3388(reduce_logsumexp)
     1498    0.008    0.000    2.452    0.002 def_function.py:934(_call)
      299    0.006    0.000    2.375    0.008 __init__.py:1(<module>)
     3890    0.018    0.000    2.318    0.001 math_ops.py:668(pow)
     1498    0.011    0.000    2.293    0.002 function.py:2448(__call__)
     3890    0.008    0.000    2.287    0.001 gen_math_ops.py:7071(_pow)
        2    0.000    0.000    2.277    1.138 ksdagg.py:128(ksdagg_wild_test)
        2    0.000    0.000    2.259    1.130 ksdagg.py:11(ksdagg_wild)
  3458783    1.661    0.000    2.251    0.000 ops.py:1129(dtype)
    10005    0.084    0.000    2.127    0.000 data.py:354(sigmoid)
