n,p_value,var_est,seed,type
500,0.634,0.0,40,target noiseless
500,0.002,16.0,41,off-target
500,0.424,0.0,41,off-target noiseless
500,0.019,4.0,41,target
500,0.192,0.0,41,target noiseless
500,0.01,16.0,42,off-target
500,0.718,0.0,42,off-target noiseless
500,0.05,16.0,42,target
500,0.984,0.0,42,target noiseless
500,0.014,16.0,43,off-target
500,0.41,0.0,43,off-target noiseless
500,0.498,16.0,43,target
500,0.255,0.0,43,target noiseless
500,0.004,16.0,44,off-target
500,0.244,0.0,44,off-target noiseless
500,0.112,1024.0,44,target
500,0.811,0.0,44,target noiseless
500,0.805,4.0,45,off-target
500,0.215,0.0,45,off-target noiseless
500,0.637,1.0,45,target
500,0.714,0.0,45,target noiseless
500,0.001,16.0,46,off-target
500,0.094,0.0,46,off-target noiseless
500,0.766,1024.0,46,target
500,0.867,0.0,46,target noiseless
500,0.0,16.0,47,off-target
500,0.101,0.0,47,off-target noiseless
500,0.652,0.25,47,target
500,0.867,0.0,47,target noiseless
500,0.153,16.0,48,off-target
500,0.898,0.0,48,off-target noiseless
500,0.76,16.0,48,target
500,0.839,0.0,48,target noiseless
500,0.0,16.0,49,off-target
500,0.792,0.0,49,off-target noiseless
500,0.38,1.0,49,target
500,0.363,0.0,49,target noiseless
500,0.203,16.0,50,off-target
500,0.259,0.0,50,off-target noiseless
500,0.099,0.25,50,target
500,0.085,0.0,50,target noiseless
500,0.001,16.0,51,off-target
500,0.33,0.0,51,off-target noiseless
500,0.483,262144.0,51,target
500,0.418,0.0,51,target noiseless
500,0.166,16.0,52,off-target
500,0.602,0.0,52,off-target noiseless
500,0.898,16.0,52,target
500,0.306,0.0,52,target noiseless
500,0.054,16.0,53,off-target
500,0.679,0.0,53,off-target noiseless
500,0.884,256.0,53,target
500,0.819,0.0,53,target noiseless
500,0.002,16.0,54,off-target
500,0.463,0.0,54,off-target noiseless
500,0.893,64.0,54,target
500,0.892,0.0,54,target noiseless
500,0.001,16.0,55,off-target
500,0.91,0.0,55,off-target noiseless
500,0.979,4.0,55,target
500,0.761,0.0,55,target noiseless
500,0.1,16.0,56,off-target
500,0.736,0.0,56,off-target noiseless
500,0.352,16.0,56,target
500,0.186,0.0,56,target noiseless
500,0.011,16.0,57,off-target
500,0.313,0.0,57,off-target noiseless
500,0.333,256.0,57,target
500,0.27,0.0,57,target noiseless
500,0.003,16.0,58,off-target
500,0.356,0.0,58,off-target noiseless
500,0.609,64.0,58,target
