n,p_value,seed,type
500,0.179,126,target
500,0.344,127,off-target
500,0.103,127,target
500,0.524,128,off-target
500,0.729,128,target
500,0.084,129,off-target
500,0.365,129,target
500,0.479,130,off-target
500,0.984,130,target
500,0.903,131,off-target
500,0.568,131,target
500,0.301,132,off-target
500,0.598,132,target
500,0.986,133,off-target
500,0.914,133,target
500,0.889,134,off-target
500,0.881,134,target
500,0.425,135,off-target
500,0.436,135,target
500,0.549,136,off-target
500,0.062,136,target
500,0.511,137,off-target
500,0.822,137,target
500,0.25,138,off-target
500,0.768,138,target
500,0.505,139,off-target
500,0.43,139,target
500,0.401,140,off-target
500,0.537,140,target
500,0.735,141,off-target
500,0.036,141,target
500,0.498,142,off-target
500,0.173,142,target
500,0.783,143,off-target
500,0.915,143,target
500,0.219,144,off-target
500,0.087,144,target
500,0.609,145,off-target
500,0.233,145,target
500,0.161,146,off-target
500,0.326,146,target
500,0.104,147,off-target
500,0.884,147,target
500,0.341,148,off-target
500,0.544,148,target
500,0.388,149,off-target
500,0.682,149,target
500,0.524,150,off-target
500,0.675,150,target
500,0.658,151,off-target
500,0.371,151,target
500,0.041,152,off-target
500,0.221,152,target
500,0.334,153,off-target
500,0.724,153,target
500,0.608,154,off-target
500,0.418,154,target
500,0.266,155,off-target
500,0.18,155,target
500,0.863,156,off-target
500,0.562,156,target
500,0.453,157,off-target
500,0.245,157,target
500,0.091,158,off-target
500,0.202,158,target
500,0.57,159,off-target
500,0.655,159,target
500,0.193,160,off-target
500,0.872,160,target
500,0.483,161,off-target
500,0.089,161,target
500,0.8,162,off-target
500,0.485,162,target
500,0.282,163,off-target
500,0.885,163,target
500,0.194,164,off-target
500,0.828,164,target
500,0.979,165,off-target
500,0.385,165,target
500,0.13,166,off-target
500,0.475,166,target
500,0.131,167,off-target
500,0.673,167,target
500,0.679,168,off-target
500,0.643,168,target
500,0.981,169,off-target
500,0.005,169,target
500,0.885,170,off-target
500,0.575,170,target
500,0.72,171,off-target
500,0.284,171,target
500,0.521,172,off-target
500,0.704,172,target
500,0.766,173,off-target
500,0.808,173,target
500,0.275,174,off-target
500,0.785,174,target
500,0.048,175,off-target
500,0.714,175,target
500,0.627,176,off-target
500,0.63,176,target
500,0.253,177,off-target
500,0.122,177,target
500,0.952,178,off-target
500,0.434,178,target
500,0.827,179,off-target
500,0.124,179,target
500,0.723,180,off-target
500,0.083,180,target
500,0.596,181,off-target
