n,p_value,seed,type
500,0.317,0,off-target
500,0.793,0,target
500,0.117,1,off-target
500,0.954,1,target
500,0.123,2,off-target
500,0.772,2,target
500,0.06,3,off-target
500,0.341,3,target
500,0.035,4,off-target
500,0.55,4,target
500,0.23,5,off-target
500,0.828,5,target
500,0.007,6,off-target
500,0.333,6,target
500,0.01,7,off-target
500,0.285,7,target
500,0.002,8,off-target
500,0.678,8,target
500,0.084,9,off-target
500,0.574,9,target
500,0.512,10,off-target
500,0.679,10,target
500,0.17,11,off-target
500,0.918,11,target
500,0.011,12,off-target
500,0.17,12,target
500,0.274,13,off-target
500,0.75,13,target
500,0.005,14,off-target
500,0.473,14,target
500,0.305,15,off-target
500,0.535,15,target
500,0.021,16,off-target
500,0.402,16,target
500,0.0,17,off-target
500,0.938,17,target
500,0.009,18,off-target
500,0.272,18,target
500,0.02,19,off-target
500,0.33,19,target
500,0.133,20,off-target
500,0.231,20,target
500,0.01,21,off-target
500,0.013,21,target
500,0.08,22,off-target
500,0.806,22,target
500,0.015,23,off-target
500,0.725,23,target
500,0.604,24,off-target
500,0.925,24,target
500,0.027,25,off-target
500,0.954,25,target
500,0.012,26,off-target
500,0.024,26,target
500,0.001,27,off-target
500,0.201,27,target
500,0.005,28,off-target
500,0.51,28,target
500,0.412,29,off-target
500,0.1,29,target
500,0.008,30,off-target
500,0.466,30,target
500,0.385,31,off-target
500,0.678,31,target
500,0.156,32,off-target
500,0.905,32,target
500,0.0,33,off-target
500,0.514,33,target
500,0.146,34,off-target
500,0.689,34,target
500,0.448,35,off-target
500,0.01,35,target
500,0.667,36,off-target
500,0.826,36,target
500,0.319,37,off-target
500,0.432,37,target
500,0.04,38,off-target
500,0.347,38,target
500,0.096,39,off-target
500,0.144,39,target
500,0.067,40,off-target
500,0.432,40,target
500,0.933,41,off-target
500,0.687,41,target
500,0.127,42,off-target
500,0.756,42,target
500,0.121,43,off-target
500,0.537,43,target
500,0.096,44,off-target
500,0.855,44,target
500,0.003,45,off-target
500,0.53,45,target
500,0.212,46,off-target
500,0.195,46,target
500,0.0,47,off-target
500,0.391,47,target
500,0.003,48,off-target
500,0.81,48,target
500,0.003,49,off-target
500,0.228,49,target
500,0.197,50,off-target
500,0.903,50,target
500,0.392,51,off-target
500,0.219,51,target
500,0.36,52,off-target
500,0.639,52,target
500,0.136,53,off-target
500,0.981,53,target
500,0.0,54,off-target
500,0.231,54,target
500,0.0,55,off-target
500,0.958,55,target
500,0.094,56,off-target
500,0.232,56,target
500,0.705,57,off-target
500,0.266,57,target
500,0.061,58,off-target
500,0.599,58,target
500,0.154,59,off-target
500,0.205,59,target
500,0.065,60,off-target
500,0.182,60,target
500,0.005,61,off-target
500,0.118,61,target
500,0.308,62,off-target
500,0.407,62,target
500,0.456,63,off-target
500,0.741,63,target
500,0.0,64,off-target
500,0.536,64,target
500,0.01,65,off-target
500,0.809,65,target
500,0.037,66,off-target
500,0.661,66,target
500,0.477,67,off-target
500,0.14,67,target
500,0.588,68,off-target
500,0.159,68,target
500,0.315,69,off-target
500,0.111,69,target
500,0.118,70,off-target
500,0.809,70,target
500,0.211,71,off-target
500,0.494,71,target
500,0.172,72,off-target
500,0.416,72,target
500,0.045,73,off-target
500,0.833,73,target
500,0.806,74,off-target
500,0.857,74,target
500,0.014,75,off-target
