n,t,p_value,seed,type
500,1200,0.913,14,target
500,0,0.804,15,off-target
500,0,0.717,15,target
500,200,0.24,15,off-target
500,200,0.255,15,target
500,400,0.536,15,off-target
500,400,0.336,15,target
500,600,0.975,15,off-target
500,600,0.114,15,target
500,800,0.067,15,off-target
500,800,0.268,15,target
500,1000,0.777,15,off-target
500,1000,0.456,15,target
500,1200,0.635,15,off-target
500,1200,0.659,15,target
500,0,0.169,16,off-target
500,0,0.882,16,target
500,200,0.383,16,off-target
500,200,0.765,16,target
500,400,0.421,16,off-target
500,400,0.248,16,target
500,600,0.393,16,off-target
500,600,0.971,16,target
500,800,0.817,16,off-target
500,800,0.515,16,target
500,1000,0.456,16,off-target
500,1000,0.289,16,target
500,1200,0.546,16,off-target
500,1200,0.287,16,target
500,0,0.631,17,off-target
500,0,0.175,17,target
500,200,0.321,17,off-target
500,200,0.09,17,target
500,400,0.159,17,off-target
500,400,0.4,17,target
500,600,0.372,17,off-target
500,600,0.176,17,target
500,800,0.503,17,off-target
500,800,0.849,17,target
500,1000,0.122,17,off-target
500,1000,0.718,17,target
500,1200,0.015,17,off-target
500,1200,0.144,17,target
500,0,0.255,18,off-target
500,0,0.436,18,target
500,200,0.368,18,off-target
500,200,0.459,18,target
500,400,0.155,18,off-target
500,400,0.1,18,target
500,600,0.758,18,off-target
500,600,0.805,18,target
500,800,0.652,18,off-target
500,800,0.034,18,target
500,1000,0.307,18,off-target
500,1000,0.111,18,target
500,1200,0.657,18,off-target
500,1200,0.934,18,target
500,0,0.796,19,off-target
500,0,0.855,19,target
500,200,0.612,19,off-target
500,200,0.506,19,target
500,400,0.631,19,off-target
500,400,0.259,19,target
500,600,0.228,19,off-target
500,600,0.597,19,target
500,800,0.816,19,off-target
500,800,0.188,19,target
500,1000,0.846,19,off-target
500,1000,0.305,19,target
500,1200,0.749,19,off-target
500,1200,0.692,19,target
500,0,0.649,20,off-target
500,0,0.754,20,target
500,200,0.591,20,off-target
500,200,0.421,20,target
500,400,0.085,20,off-target
500,400,0.607,20,target
500,600,0.455,20,off-target
500,600,0.554,20,target
500,800,0.53,20,off-target
500,800,0.314,20,target
500,1000,0.617,20,off-target
500,1000,0.356,20,target
500,1200,0.602,20,off-target
500,1200,0.466,20,target
500,0,0.205,21,off-target
500,0,0.421,21,target
500,200,0.49,21,off-target
500,200,0.734,21,target
500,400,0.605,21,off-target
500,400,0.615,21,target
500,600,0.21,21,off-target
500,600,0.97,21,target
500,800,0.129,21,off-target
500,800,0.61,21,target
500,1000,0.114,21,off-target
500,1000,0.323,21,target
500,1200,0.112,21,off-target
500,1200,0.504,21,target
500,0,0.675,22,off-target
500,0,0.244,22,target
500,200,0.074,22,off-target
500,200,0.965,22,target
500,400,0.859,22,off-target
500,400,0.363,22,target
500,600,0.017,22,off-target
500,600,0.468,22,target
500,800,0.459,22,off-target
500,800,0.731,22,target
500,1000,0.03,22,off-target
500,1000,0.819,22,target
500,1200,0.607,22,off-target
500,1200,0.576,22,target
500,0,0.363,23,off-target
500,0,0.906,23,target
500,200,0.758,23,off-target
500,200,0.735,23,target
500,400,0.726,23,off-target
500,400,0.891,23,target
500,600,0.751,23,off-target
500,600,0.438,23,target
500,800,0.363,23,off-target
500,800,0.682,23,target
500,1000,0.473,23,off-target
500,1000,0.355,23,target
500,1200,0.117,23,off-target
500,1200,0.594,23,target
500,0,0.766,24,off-target
500,0,0.853,24,target
500,200,0.517,24,off-target
500,200,0.599,24,target
500,400,0.464,24,off-target
500,400,0.816,24,target
500,600,0.381,24,off-target
500,600,0.403,24,target
500,800,0.58,24,off-target
500,800,0.383,24,target
500,1000,0.424,24,off-target
500,1000,0.426,24,target
500,1200,0.915,24,off-target
500,1200,0.599,24,target
500,0,0.762,25,off-target
500,0,0.114,25,target
500,200,0.389,25,off-target
500,200,0.552,25,target
500,400,0.417,25,off-target
