n,t,p_value,seed,type
500,10,0.0,21,off-target
500,10,0.967,21,target
500,15,0.001,21,off-target
500,15,0.985,21,target
500,20,0.0,21,off-target
500,20,0.995,21,target
500,0,0.437,22,off-target
500,0,0.839,22,target
500,5,0.003,22,off-target
500,5,0.805,22,target
500,10,0.0,22,off-target
500,10,0.541,22,target
500,15,0.0,22,off-target
500,15,0.421,22,target
500,20,0.0,22,off-target
500,20,0.665,22,target
500,0,0.09,23,off-target
500,0,0.607,23,target
500,5,0.0,23,off-target
500,5,0.669,23,target
500,10,0.0,23,off-target
500,10,0.356,23,target
500,15,0.0,23,off-target
500,15,0.396,23,target
500,20,0.0,23,off-target
500,20,0.197,23,target
500,0,0.793,24,off-target
500,0,0.978,24,target
500,5,0.001,24,off-target
500,5,0.99,24,target
500,10,0.0,24,off-target
500,10,0.956,24,target
500,15,0.0,24,off-target
500,15,0.878,24,target
500,20,0.0,24,off-target
500,20,0.844,24,target
500,0,0.836,25,off-target
500,0,0.397,25,target
500,5,0.0,25,off-target
500,5,0.346,25,target
500,10,0.0,25,off-target
500,10,0.74,25,target
500,15,0.0,25,off-target
500,15,0.489,25,target
500,20,0.0,25,off-target
500,20,0.506,25,target
500,0,0.333,26,off-target
500,0,0.507,26,target
500,5,0.0,26,off-target
500,5,0.165,26,target
500,10,0.0,26,off-target
500,10,0.294,26,target
500,15,0.0,26,off-target
500,15,0.589,26,target
500,20,0.002,26,off-target
500,20,0.471,26,target
500,0,0.515,27,off-target
500,0,0.948,27,target
500,5,0.0,27,off-target
500,5,0.338,27,target
500,10,0.0,27,off-target
500,10,0.978,27,target
500,15,0.0,27,off-target
500,15,0.961,27,target
500,20,0.0,27,off-target
500,20,0.96,27,target
500,0,0.256,28,off-target
500,0,0.89,28,target
500,5,0.0,28,off-target
500,5,0.894,28,target
500,10,0.005,28,off-target
500,10,0.312,28,target
500,15,0.0,28,off-target
500,15,0.293,28,target
500,20,0.002,28,off-target
500,20,0.755,28,target
500,0,0.04,29,off-target
500,0,0.578,29,target
500,5,0.0,29,off-target
500,5,0.48,29,target
500,10,0.0,29,off-target
500,10,0.544,29,target
500,15,0.0,29,off-target
500,15,0.504,29,target
500,20,0.0,29,off-target
500,20,0.483,29,target
500,0,0.991,30,off-target
500,0,0.724,30,target
500,5,0.0,30,off-target
500,5,0.406,30,target
500,10,0.0,30,off-target
500,10,0.177,30,target
500,15,0.0,30,off-target
500,15,0.812,30,target
500,20,0.002,30,off-target
500,20,0.518,30,target
500,0,0.163,31,off-target
500,0,0.266,31,target
500,5,0.0,31,off-target
500,5,0.339,31,target
500,10,0.0,31,off-target
500,10,0.268,31,target
500,15,0.0,31,off-target
500,15,0.345,31,target
500,20,0.0,31,off-target
500,20,0.34,31,target
500,0,0.817,32,off-target
500,0,0.937,32,target
500,5,0.0,32,off-target
500,5,0.782,32,target
500,10,0.0,32,off-target
500,10,0.925,32,target
500,15,0.0,32,off-target
500,15,0.874,32,target
500,20,0.0,32,off-target
500,20,0.871,32,target
500,0,0.614,33,off-target
500,0,0.58,33,target
500,5,0.0,33,off-target
500,5,0.343,33,target
500,10,0.0,33,off-target
500,10,0.528,33,target
500,15,0.0,33,off-target
500,15,0.422,33,target
500,20,0.0,33,off-target
500,20,0.638,33,target
500,0,0.563,34,off-target
500,0,0.14,34,target
500,5,0.004,34,off-target
500,5,0.114,34,target
500,10,0.0,34,off-target
500,10,0.166,34,target
500,15,0.001,34,off-target
500,15,0.116,34,target
500,20,0.011,34,off-target
500,20,0.087,34,target
500,0,0.074,35,off-target
500,0,0.226,35,target
500,5,0.0,35,off-target
500,5,0.16,35,target
500,10,0.0,35,off-target
500,10,0.381,35,target
500,15,0.0,35,off-target
500,15,0.057,35,target
500,20,0.0,35,off-target
500,20,0.268,35,target
500,0,0.625,36,off-target
500,0,0.147,36,target
500,5,0.006,36,off-target
500,5,0.292,36,target
500,10,0.0,36,off-target
500,10,0.384,36,target
500,15,0.0,36,off-target
500,15,0.355,36,target
500,20,0.0,36,off-target
500,20,0.149,36,target
500,0,0.201,37,off-target
500,0,0.369,37,target
500,5,0.0,37,off-target
500,5,0.463,37,target
500,10,0.0,37,off-target
500,10,0.456,37,target
500,15,0.0,37,off-target
500,15,0.669,37,target
500,20,0.0,37,off-target
500,20,0.327,37,target
500,0,0.544,38,off-target
500,0,0.753,38,target
500,5,0.0,38,off-target
500,5,0.698,38,target
500,10,0.0,38,off-target
500,10,0.676,38,target
500,15,0.0,38,off-target
500,15,0.458,38,target
500,20,0.0,38,off-target
500,20,0.756,38,target
500,0,0.995,39,off-target
500,0,0.317,39,target
500,5,0.003,39,off-target
500,5,0.252,39,target
500,10,0.0,39,off-target
500,10,0.294,39,target
500,15,0.0,39,off-target
500,15,0.3,39,target
500,20,0.0,39,off-target
500,20,0.225,39,target
500,0,0.421,40,off-target
500,0,0.336,40,target
500,5,0.0,40,off-target
500,5,0.135,40,target
500,10,0.0,40,off-target
500,10,0.498,40,target
500,15,0.0,40,off-target
500,15,0.682,40,target
500,20,0.0,40,off-target
500,20,0.747,40,target
500,0,0.02,41,off-target
500,0,0.615,41,target
500,5,0.0,41,off-target
500,5,0.862,41,target
500,10,0.0,41,off-target
500,10,0.662,41,target
500,15,0.0,41,off-target
500,15,0.626,41,target
500,20,0.0,41,off-target
500,20,0.638,41,target
500,0,0.167,42,off-target
500,0,0.402,42,target
500,5,0.004,42,off-target
500,5,0.047,42,target
500,10,0.0,42,off-target
500,10,0.44,42,target
500,15,0.0,42,off-target
500,15,0.708,42,target
500,20,0.0,42,off-target
500,20,0.394,42,target
500,0,0.0,43,off-target
500,0,0.411,43,target
500,5,0.0,43,off-target
500,5,0.361,43,target
500,10,0.0,43,off-target
500,10,0.528,43,target
500,15,0.0,43,off-target
500,15,0.331,43,target
500,20,0.0,43,off-target
500,20,0.459,43,target
500,0,0.761,44,off-target
500,0,0.286,44,target
500,5,0.001,44,off-target
500,5,0.386,44,target
500,10,0.0,44,off-target
500,10,0.36,44,target
500,15,0.0,44,off-target
500,15,0.284,44,target
500,20,0.0,44,off-target
500,20,0.37,44,target
500,0,0.407,45,off-target
500,0,0.746,45,target
500,5,0.015,45,off-target
500,5,0.832,45,target
500,10,0.0,45,off-target
500,10,0.89,45,target
500,15,0.007,45,off-target
500,15,0.837,45,target
500,20,0.033,45,off-target
500,20,0.867,45,target
500,0,0.675,46,off-target
500,0,0.283,46,target
500,5,0.0,46,off-target
500,5,0.062,46,target
500,10,0.0,46,off-target
500,10,0.136,46,target
500,15,0.0,46,off-target
500,15,0.475,46,target
500,20,0.0,46,off-target
500,20,0.279,46,target
500,0,0.469,47,off-target
500,0,0.998,47,target
500,5,0.0,47,off-target
500,5,0.999,47,target
500,10,0.0,47,off-target
500,10,0.997,47,target
500,15,0.0,47,off-target
500,15,0.983,47,target
500,20,0.0,47,off-target
500,20,0.983,47,target
500,0,0.187,48,off-target
500,0,0.178,48,target
500,5,0.0,48,off-target
500,5,0.251,48,target
500,10,0.0,48,off-target
500,10,0.21,48,target
500,15,0.0,48,off-target
500,15,0.129,48,target
500,20,0.001,48,off-target
500,20,0.346,48,target
500,0,0.874,49,off-target
500,0,0.72,49,target
500,5,0.022,49,off-target
500,5,0.59,49,target
500,10,0.0,49,off-target
500,10,0.894,49,target
500,15,0.0,49,off-target
500,15,0.97,49,target
500,20,0.0,49,off-target
500,20,0.814,49,target
500,0,0.814,50,off-target
500,0,0.442,50,target
500,5,0.0,50,off-target
500,5,0.782,50,target
500,10,0.0,50,off-target
500,10,0.833,50,target
500,15,0.0,50,off-target
500,15,0.608,50,target
500,20,0.0,50,off-target
500,20,0.866,50,target
500,0,0.462,51,off-target
500,0,0.172,51,target
500,5,0.0,51,off-target
500,5,0.157,51,target
500,10,0.0,51,off-target
500,10,0.119,51,target
500,15,0.0,51,off-target
500,15,0.14,51,target
500,20,0.0,51,off-target
500,20,0.197,51,target
500,0,0.237,52,off-target
500,0,0.557,52,target
500,5,0.0,52,off-target
500,5,0.566,52,target
500,10,0.0,52,off-target
500,10,0.646,52,target
500,15,0.0,52,off-target
500,15,0.75,52,target
500,20,0.0,52,off-target
500,20,0.698,52,target
500,0,0.049,53,off-target
500,0,0.716,53,target
500,5,0.0,53,off-target
500,5,0.492,53,target
500,10,0.0,53,off-target
500,10,0.747,53,target
500,15,0.0,53,off-target
500,15,0.522,53,target
500,20,0.0,53,off-target
500,20,0.459,53,target
500,0,0.286,54,off-target
500,0,0.505,54,target
500,5,0.0,54,off-target
500,5,0.18,54,target
500,10,0.0,54,off-target
500,10,0.218,54,target
500,15,0.0,54,off-target
500,15,0.464,54,target
500,20,0.0,54,off-target
500,20,0.206,54,target
