n,t,p_value,seed,type
500,0,0.278,0,off-target
500,0,0.692,0,target
500,100,0.114,0,off-target
500,100,0.756,0,target
500,500,0.064,0,off-target
500,500,0.073,0,target
500,1000,0.079,0,off-target
500,1000,0.643,0,target
500,0,0.336,1,off-target
500,0,0.857,1,target
500,100,0.099,1,off-target
500,100,0.536,1,target
500,500,0.228,1,off-target
500,500,0.086,1,target
500,1000,0.456,1,off-target
500,1000,0.647,1,target
500,0,0.018,2,off-target
500,0,0.381,2,target
500,100,0.025,2,off-target
500,100,0.095,2,target
500,500,0.129,2,off-target
500,500,0.01,2,target
500,1000,0.437,2,off-target
500,1000,0.339,2,target
500,0,0.832,3,off-target
500,0,0.924,3,target
500,100,0.946,3,off-target
500,100,0.83,3,target
500,500,0.718,3,off-target
500,500,0.838,3,target
500,1000,0.904,3,off-target
500,1000,0.266,3,target
500,0,0.911,4,off-target
500,0,0.331,4,target
500,100,0.939,4,off-target
500,100,0.22,4,target
500,500,0.86,4,off-target
500,500,0.172,4,target
500,1000,0.899,4,off-target
500,1000,0.109,4,target
500,0,0.38,5,off-target
500,0,0.951,5,target
500,100,0.266,5,off-target
500,100,0.986,5,target
500,500,0.644,5,off-target
500,500,0.561,5,target
500,1000,0.257,5,off-target
500,1000,0.349,5,target
500,0,0.863,6,off-target
500,0,0.894,6,target
500,100,0.891,6,off-target
500,100,0.802,6,target
500,500,0.953,6,off-target
500,500,0.876,6,target
500,1000,0.52,6,off-target
500,1000,0.605,6,target
500,0,0.333,7,off-target
500,0,0.286,7,target
500,100,0.169,7,off-target
500,100,0.072,7,target
500,500,0.345,7,off-target
500,500,0.296,7,target
500,1000,0.573,7,off-target
500,1000,0.002,7,target
500,0,0.209,8,off-target
500,0,0.837,8,target
500,100,0.155,8,off-target
500,100,0.951,8,target
500,500,0.428,8,off-target
500,500,0.413,8,target
500,1000,0.609,8,off-target
500,1000,0.768,8,target
500,0,0.387,9,off-target
500,0,0.912,9,target
500,100,0.5,9,off-target
500,100,0.74,9,target
500,500,0.814,9,off-target
500,500,0.894,9,target
500,1000,0.682,9,off-target
500,1000,0.963,9,target
500,0,0.86,10,off-target
500,0,0.794,10,target
500,100,0.888,10,off-target
500,100,0.75,10,target
500,500,0.736,10,off-target
500,500,0.848,10,target
500,1000,0.982,10,off-target
500,1000,0.942,10,target
500,0,0.077,11,off-target
500,0,0.674,11,target
500,100,0.14,11,off-target
500,100,0.89,11,target
500,500,0.095,11,off-target
500,500,0.888,11,target
500,1000,0.034,11,off-target
500,1000,0.811,11,target
500,0,0.795,12,off-target
500,0,0.158,12,target
500,100,0.62,12,off-target
500,100,0.034,12,target
500,500,0.602,12,off-target
500,500,0.216,12,target
500,1000,0.939,12,off-target
500,1000,0.383,12,target
500,0,0.604,13,off-target
500,0,0.05,13,target
500,100,0.462,13,off-target
500,100,0.028,13,target
500,500,0.181,13,off-target
500,500,0.348,13,target
500,1000,0.048,13,off-target
500,1000,0.227,13,target
500,0,0.545,14,off-target
500,0,0.555,14,target
500,100,0.767,14,off-target
500,100,0.538,14,target
500,500,0.017,14,off-target
500,500,0.705,14,target
500,1000,0.065,14,off-target
500,1000,0.424,14,target
500,0,0.213,15,off-target
500,0,0.307,15,target
500,100,0.388,15,off-target
500,100,0.041,15,target
500,500,0.475,15,off-target
500,500,0.056,15,target
500,1000,0.242,15,off-target
500,1000,0.105,15,target
500,0,0.292,16,off-target
500,0,0.441,16,target
500,100,0.251,16,off-target
500,100,0.491,16,target
500,500,0.486,16,off-target
500,500,0.059,16,target
500,1000,0.418,16,off-target
500,1000,0.193,16,target
500,0,0.769,17,off-target
500,0,0.051,17,target
500,100,0.473,17,off-target
500,100,0.038,17,target
500,500,0.679,17,off-target
500,500,0.225,17,target
500,1000,0.682,17,off-target
500,1000,0.812,17,target
500,0,0.824,18,off-target
500,0,0.347,18,target
500,100,0.772,18,off-target
500,100,0.116,18,target
500,500,0.631,18,off-target
500,500,0.074,18,target
500,1000,0.259,18,off-target
500,1000,0.55,18,target
500,0,0.821,19,off-target
500,0,0.803,19,target
500,100,0.909,19,off-target
500,100,0.838,19,target
500,500,0.907,19,off-target
500,500,0.981,19,target
500,1000,0.91,19,off-target
500,1000,0.824,19,target
500,0,0.935,20,off-target
500,0,0.297,20,target
500,100,0.818,20,off-target
500,100,0.34,20,target
500,500,0.249,20,off-target
500,500,0.563,20,target
500,1000,0.169,20,off-target
500,1000,0.62,20,target
500,0,0.596,21,off-target
500,0,0.301,21,target
500,100,0.496,21,off-target
500,100,0.403,21,target
500,500,0.544,21,off-target
500,500,0.311,21,target
500,1000,0.702,21,off-target
500,1000,0.853,21,target
500,0,0.06,22,off-target
500,0,0.71,22,target
500,100,0.021,22,off-target
500,100,0.787,22,target
500,500,0.006,22,off-target
500,500,0.927,22,target
500,1000,0.194,22,off-target
500,1000,0.288,22,target
500,0,0.653,23,off-target
500,0,0.992,23,target
500,100,0.177,23,off-target
500,100,0.981,23,target
500,500,0.675,23,off-target
500,500,0.051,23,target
500,1000,0.711,23,off-target
500,1000,0.027,23,target
500,0,0.107,24,off-target
500,0,0.59,24,target
500,100,0.421,24,off-target
500,100,0.306,24,target
500,500,0.649,24,off-target
500,500,0.294,24,target
500,1000,0.913,24,off-target
500,1000,0.622,24,target
500,0,0.33,25,off-target
500,0,0.925,25,target
500,100,0.256,25,off-target
500,100,0.988,25,target
500,500,0.407,25,off-target
500,500,0.669,25,target
500,1000,0.271,25,off-target
500,1000,0.569,25,target
500,0,0.562,26,off-target
500,0,0.358,26,target
500,100,0.705,26,off-target
500,100,0.164,26,target
500,500,0.751,26,off-target
500,500,0.569,26,target
500,1000,0.24,26,off-target
500,1000,0.711,26,target
500,0,0.264,27,off-target
500,0,0.578,27,target
500,100,0.036,27,off-target
500,100,0.511,27,target
500,500,0.348,27,off-target
500,500,0.159,27,target
500,1000,0.225,27,off-target
500,1000,0.663,27,target
500,0,0.919,28,off-target
500,0,0.512,28,target
500,100,0.679,28,off-target
500,100,0.395,28,target
500,500,0.862,28,off-target
500,500,0.124,28,target
500,1000,0.235,28,off-target
500,1000,0.348,28,target
500,0,0.404,29,off-target
500,0,0.027,29,target
500,100,0.305,29,off-target
500,100,0.41,29,target
500,500,0.294,29,off-target
500,500,0.504,29,target
500,1000,0.817,29,off-target
500,1000,0.718,29,target
500,0,0.05,30,off-target
500,0,0.439,30,target
500,100,0.065,30,off-target
500,100,0.493,30,target
500,500,0.409,30,off-target
500,500,0.89,30,target
500,1000,0.874,30,off-target
500,1000,0.937,30,target
500,0,0.771,31,off-target
500,0,0.566,31,target
500,100,0.826,31,off-target
500,100,0.291,31,target
500,500,0.891,31,off-target
500,500,0.183,31,target
500,1000,0.987,31,off-target
500,1000,0.236,31,target
