n,t,p_value,seed,type
500,0,0.643,0,off-target
500,0,0.888,0,target
500,5,0.0,0,off-target
500,5,0.653,0,target
500,10,0.0,0,off-target
500,10,0.777,0,target
500,15,0.0,0,off-target
500,15,0.443,0,target
500,20,0.0,0,off-target
500,20,0.425,0,target
500,0,0.716,1,off-target
500,0,0.453,1,target
500,5,0.0,1,off-target
500,5,0.31,1,target
500,10,0.0,1,off-target
500,10,0.132,1,target
500,15,0.0,1,off-target
500,15,0.207,1,target
500,20,0.0,1,off-target
500,20,0.207,1,target
500,0,0.938,2,off-target
500,0,0.468,2,target
500,5,0.0,2,off-target
500,5,0.596,2,target
500,10,0.0,2,off-target
500,10,0.63,2,target
500,15,0.0,2,off-target
500,15,0.558,2,target
500,20,0.0,2,off-target
500,20,0.451,2,target
500,0,0.921,3,off-target
500,0,0.315,3,target
500,5,0.0,3,off-target
500,5,0.527,3,target
500,10,0.0,3,off-target
500,10,0.464,3,target
500,15,0.0,3,off-target
500,15,0.381,3,target
500,20,0.0,3,off-target
500,20,0.484,3,target
500,0,0.028,4,off-target
500,0,0.972,4,target
500,5,0.0,4,off-target
500,5,0.957,4,target
500,10,0.0,4,off-target
500,10,0.862,4,target
500,15,0.0,4,off-target
500,15,0.837,4,target
500,20,0.0,4,off-target
500,20,0.815,4,target
500,0,0.767,5,off-target
500,0,0.586,5,target
500,5,0.0,5,off-target
500,5,0.783,5,target
500,10,0.0,5,off-target
500,10,0.596,5,target
500,15,0.0,5,off-target
500,15,0.666,5,target
500,20,0.0,5,off-target
500,20,0.404,5,target
500,0,0.469,6,off-target
500,0,0.676,6,target
500,5,0.0,6,off-target
500,5,0.616,6,target
500,10,0.0,6,off-target
500,10,0.739,6,target
500,15,0.0,6,off-target
500,15,0.541,6,target
500,20,0.0,6,off-target
500,20,0.728,6,target
500,0,0.66,7,off-target
500,0,0.107,7,target
500,5,0.0,7,off-target
500,5,0.24,7,target
500,10,0.0,7,off-target
500,10,0.236,7,target
500,15,0.0,7,off-target
500,15,0.07,7,target
500,20,0.0,7,off-target
500,20,0.227,7,target
500,0,0.962,8,off-target
500,0,0.16,8,target
500,5,0.0,8,off-target
500,5,0.183,8,target
500,10,0.0,8,off-target
500,10,0.266,8,target
500,15,0.0,8,off-target
500,15,0.244,8,target
500,20,0.0,8,off-target
500,20,0.225,8,target
500,0,0.179,9,off-target
500,0,0.399,9,target
500,5,0.0,9,off-target
500,5,0.198,9,target
500,10,0.0,9,off-target
500,10,0.335,9,target
500,15,0.0,9,off-target
500,15,0.509,9,target
500,20,0.0,9,off-target
500,20,0.599,9,target
500,0,0.114,10,off-target
500,0,0.469,10,target
500,5,0.0,10,off-target
500,5,0.583,10,target
500,10,0.0,10,off-target
500,10,0.539,10,target
500,15,0.0,10,off-target
500,15,0.527,10,target
500,20,0.0,10,off-target
500,20,0.534,10,target
500,0,0.911,11,off-target
500,0,0.577,11,target
500,5,0.0,11,off-target
500,5,0.479,11,target
500,10,0.0,11,off-target
500,10,0.518,11,target
500,15,0.0,11,off-target
500,15,0.675,11,target
500,20,0.0,11,off-target
500,20,0.516,11,target
500,0,0.896,12,off-target
500,0,0.834,12,target
500,5,0.0,12,off-target
500,5,0.899,12,target
500,10,0.0,12,off-target
500,10,0.806,12,target
500,15,0.0,12,off-target
500,15,0.427,12,target
500,20,0.0,12,off-target
500,20,0.858,12,target
500,0,0.802,13,off-target
500,0,0.243,13,target
500,5,0.0,13,off-target
500,5,0.653,13,target
500,10,0.0,13,off-target
500,10,0.546,13,target
500,15,0.0,13,off-target
500,15,0.226,13,target
500,20,0.0,13,off-target
500,20,0.736,13,target
500,0,0.709,14,off-target
500,0,0.06,14,target
500,5,0.0,14,off-target
500,5,0.276,14,target
500,10,0.0,14,off-target
500,10,0.122,14,target
500,15,0.0,14,off-target
500,15,0.043,14,target
500,20,0.0,14,off-target
500,20,0.206,14,target
500,0,0.933,15,off-target
500,0,0.582,15,target
500,5,0.0,15,off-target
500,5,0.344,15,target
500,10,0.0,15,off-target
500,10,0.749,15,target
500,15,0.0,15,off-target
500,15,0.734,15,target
500,20,0.0,15,off-target
500,20,0.419,15,target
500,0,0.208,16,off-target
500,0,0.256,16,target
500,5,0.0,16,off-target
500,5,0.356,16,target
500,10,0.0,16,off-target
500,10,0.209,16,target
