n,p_value,seed,type
500,0.158,0,off-target
500,0.604,0,target
500,0.487,1,off-target
500,0.58,1,target
500,0.101,2,off-target
500,0.046,2,target
500,0.102,3,off-target
500,0.686,3,target
500,0.599,4,off-target
500,0.565,4,target
500,0.064,5,off-target
500,0.706,5,target
500,0.141,6,off-target
500,0.04,6,target
500,0.773,7,off-target
500,0.52,7,target
500,0.491,8,off-target
500,0.741,8,target
500,0.388,9,off-target
500,0.343,9,target
500,0.18,10,off-target
500,0.222,10,target
500,0.254,11,off-target
500,0.615,11,target
500,0.952,12,off-target
500,0.879,12,target
500,0.053,13,off-target
500,0.053,13,target
500,0.585,14,off-target
500,0.761,14,target
500,0.668,15,off-target
500,0.191,15,target
500,0.2,16,off-target
500,0.052,16,target
500,0.887,17,off-target
500,0.841,17,target
500,0.276,18,off-target
500,0.359,18,target
500,0.337,19,off-target
500,0.255,19,target
500,0.034,20,off-target
500,0.47,20,target
500,0.732,21,off-target
500,0.716,21,target
500,0.35,22,off-target
500,0.101,22,target
500,0.867,23,off-target
500,0.327,23,target
500,0.852,24,off-target
500,0.842,24,target
500,0.144,25,off-target
500,0.066,25,target
500,0.201,26,off-target
500,0.668,26,target
500,0.201,27,off-target
500,0.041,27,target
500,0.298,28,off-target
500,0.316,28,target
500,0.921,29,off-target
500,0.819,29,target
500,0.384,30,off-target
500,0.269,30,target
500,0.315,31,off-target
500,0.204,31,target
500,0.209,32,off-target
500,0.842,32,target
500,0.437,33,off-target
500,0.389,33,target
500,0.356,34,off-target
500,0.711,34,target
500,0.278,35,off-target
500,0.905,35,target
500,0.307,36,off-target
500,0.767,36,target
500,0.424,37,off-target
500,0.183,37,target
500,0.015,38,off-target
500,0.157,38,target
500,0.567,39,off-target
500,0.725,39,target
500,0.636,40,off-target
500,0.526,40,target
500,0.337,41,off-target
500,0.952,41,target
500,0.698,42,off-target
500,0.136,42,target
500,0.667,43,off-target
500,0.001,43,target
500,0.118,44,off-target
500,0.719,44,target
500,0.752,45,off-target
500,0.504,45,target
500,0.216,46,off-target
500,0.635,46,target
500,0.407,47,off-target
500,0.027,47,target
500,0.849,48,off-target
500,0.439,48,target
500,0.747,49,off-target
500,0.83,49,target
500,0.641,50,off-target
500,0.916,50,target
500,0.382,51,off-target
500,0.521,51,target
500,0.441,52,off-target
500,0.846,52,target
500,0.465,53,off-target
500,0.922,53,target
500,0.204,54,off-target
500,0.052,54,target
500,0.616,55,off-target
500,0.551,55,target
500,0.363,56,off-target
500,0.224,56,target
500,0.798,57,off-target
500,0.749,57,target
500,0.216,58,off-target
500,0.189,58,target
500,0.499,59,off-target
500,0.763,59,target
500,0.871,60,off-target
500,0.956,60,target
500,0.275,61,off-target
500,0.53,61,target
500,0.013,62,off-target
500,0.794,62,target
500,0.971,63,off-target
500,0.752,63,target
500,0.884,64,off-target
500,0.023,64,target
500,0.731,65,off-target
500,0.195,65,target
500,0.644,66,off-target
500,0.74,66,target
500,0.611,67,off-target
500,0.462,67,target
500,0.658,68,off-target
500,0.236,68,target
500,0.436,69,off-target
500,0.259,69,target
500,0.041,70,off-target
500,0.567,70,target
500,0.96,71,off-target
500,0.181,71,target
500,0.469,72,off-target
500,0.05,72,target
500,0.004,73,off-target
500,0.04,73,target
500,0.271,74,off-target
500,0.81,74,target
500,0.902,75,off-target
500,0.936,75,target
500,0.119,76,off-target
500,0.635,76,target
500,0.185,77,off-target
500,0.379,77,target
500,0.659,78,off-target
500,0.493,78,target
500,0.788,79,off-target
500,0.316,79,target
500,0.768,80,off-target
500,0.418,80,target
500,0.066,81,off-target
500,0.779,81,target
500,0.101,82,off-target
500,0.921,82,target
500,0.932,83,off-target
500,0.379,83,target
500,0.053,84,off-target
500,0.925,84,target
500,0.342,85,off-target
500,0.987,85,target
500,0.924,86,off-target
500,0.606,86,target
500,0.574,87,off-target
500,0.386,87,target
500,0.386,88,off-target
500,0.137,88,target
500,0.779,89,off-target
500,0.293,89,target
500,0.561,90,off-target
500,0.905,90,target
500,0.948,91,off-target
500,0.882,91,target
500,0.614,92,off-target
500,0.062,92,target
500,0.225,93,off-target
500,0.326,93,target
500,0.012,94,off-target
500,0.441,94,target
500,0.328,95,off-target
500,0.45,95,target
500,0.687,96,off-target
500,0.598,96,target
500,0.091,97,off-target
500,0.983,97,target
500,0.893,98,off-target
500,0.654,98,target
500,0.904,99,off-target
500,0.904,99,target
500,0.945,100,off-target
500,0.906,100,target
500,0.79,101,off-target
500,0.099,101,target
500,0.155,102,off-target
500,0.027,102,target
500,0.554,103,off-target
500,0.297,103,target
500,0.825,104,off-target
500,0.899,104,target
500,0.686,105,off-target
500,0.962,105,target
500,0.791,106,off-target
500,0.952,106,target
500,0.136,107,off-target
500,0.19,107,target
500,0.113,108,off-target
500,0.636,108,target
500,0.196,109,off-target
500,0.194,109,target
500,0.487,110,off-target
500,0.749,110,target
500,0.389,111,off-target
500,0.353,111,target
500,0.214,112,off-target
500,0.253,112,target
500,0.527,113,off-target
500,0.979,113,target
500,0.412,114,off-target
500,0.863,114,target
500,0.018,115,off-target
500,0.027,115,target
500,0.656,116,off-target
500,0.568,116,target
500,0.064,117,off-target
500,0.425,117,target
500,0.431,118,off-target
500,0.369,118,target
500,0.996,119,off-target
500,0.328,119,target
500,0.327,120,off-target
500,0.948,120,target
500,0.057,121,off-target
500,0.439,121,target
500,0.659,122,off-target
500,0.36,122,target
500,0.842,123,off-target
500,0.393,123,target
500,0.987,124,off-target
500,0.328,124,target
500,0.926,125,off-target
500,0.328,125,target
500,0.418,126,off-target
500,0.086,126,target
500,0.499,127,off-target
500,0.48,127,target
500,0.531,128,off-target
500,0.491,128,target
500,0.351,129,off-target
500,0.866,129,target
500,0.753,130,off-target
500,0.323,130,target
500,0.862,131,off-target
500,0.847,131,target
500,0.193,132,off-target
500,0.329,132,target
500,0.129,133,off-target
500,0.444,133,target
500,0.254,134,off-target
500,0.197,134,target
500,0.671,135,off-target
500,0.424,135,target
500,0.088,136,off-target
500,0.307,136,target
500,0.257,137,off-target
500,0.076,137,target
500,0.413,138,off-target
500,0.635,138,target
500,0.926,139,off-target
500,0.458,139,target
500,0.942,140,off-target
500,0.669,140,target
500,0.154,141,off-target
500,0.235,141,target
500,0.56,142,off-target
500,0.696,142,target
500,0.461,143,off-target
500,0.804,143,target
500,0.359,144,off-target
500,0.505,144,target
500,0.361,145,off-target
500,0.921,145,target
500,0.656,146,off-target
500,0.64,146,target
500,0.754,147,off-target
500,0.837,147,target
500,0.06,148,off-target
500,0.106,148,target
500,0.142,149,off-target
500,0.319,149,target
500,0.67,150,off-target
500,0.932,150,target
500,0.126,151,off-target
500,0.068,151,target
500,0.119,152,off-target
500,0.246,152,target
500,0.242,153,off-target
500,0.746,153,target
500,0.516,154,off-target
500,0.331,154,target
500,0.185,155,off-target
500,0.506,155,target
500,0.151,156,off-target
500,0.408,156,target
500,0.922,157,off-target
500,0.475,157,target
500,0.858,158,off-target
500,0.544,158,target
500,0.114,159,off-target
500,0.366,159,target
500,0.84,160,off-target
500,0.035,160,target
500,0.423,161,off-target
500,0.628,161,target
500,0.285,162,off-target
500,0.974,162,target
500,0.907,163,off-target
500,0.798,163,target
500,0.677,164,off-target
500,0.274,164,target
500,0.166,165,off-target
500,0.278,165,target
500,0.407,166,off-target
500,0.253,166,target
500,0.926,167,off-target
500,0.105,167,target
500,0.241,168,off-target
500,0.739,168,target
500,0.335,169,off-target
500,0.2,169,target
500,0.848,170,off-target
500,0.902,170,target
500,0.571,171,off-target
500,0.504,171,target
500,0.709,172,off-target
500,0.503,172,target
500,0.776,173,off-target
500,0.184,173,target
500,0.209,174,off-target
500,0.767,174,target
500,0.311,175,off-target
500,0.379,175,target
500,0.895,176,off-target
500,0.178,176,target
500,0.73,177,off-target
500,0.906,177,target
500,0.563,178,off-target
500,0.862,178,target
500,0.62,179,off-target
500,0.288,179,target
500,0.569,180,off-target
500,0.429,180,target
500,0.719,181,off-target
500,0.727,181,target
500,0.538,182,off-target
500,0.375,182,target
500,0.563,183,off-target
500,0.055,183,target
500,0.117,184,off-target
500,0.025,184,target
500,0.912,185,off-target
500,0.65,185,target
500,0.672,186,off-target
500,0.691,186,target
500,0.576,187,off-target
500,0.131,187,target
500,0.823,188,off-target
500,0.936,188,target
500,0.724,189,off-target
500,0.265,189,target
500,0.765,190,off-target
500,0.875,190,target
500,0.162,191,off-target
500,0.499,191,target
500,0.498,192,off-target
500,0.14,192,target
500,0.42,193,off-target
500,0.168,193,target
500,0.915,194,off-target
500,0.893,194,target
500,0.484,195,off-target
500,0.289,195,target
500,0.046,196,off-target
500,0.172,196,target
500,0.999,197,off-target
500,0.388,197,target
500,0.423,198,off-target
500,0.094,198,target
500,0.016,199,off-target
500,0.421,199,target
500,0.868,200,off-target
500,0.453,200,target
500,0.931,201,off-target
500,0.351,201,target
500,0.259,202,off-target
500,0.43,202,target
500,0.127,203,off-target
500,0.872,203,target
500,0.834,204,off-target
500,0.896,204,target
500,0.956,205,off-target
500,0.702,205,target
500,0.251,206,off-target
500,0.508,206,target
500,0.47,207,off-target
500,0.094,207,target
500,0.769,208,off-target
500,0.56,208,target
500,0.423,209,off-target
500,0.831,209,target
500,0.531,210,off-target
500,0.179,210,target
500,0.126,211,off-target
500,0.538,211,target
500,0.391,212,off-target
500,0.836,212,target
500,0.241,213,off-target
500,0.155,213,target
500,0.087,214,off-target
500,0.9,214,target
500,0.577,215,off-target
500,0.798,215,target
500,0.442,216,off-target
500,0.168,216,target
500,0.993,217,off-target
500,0.75,217,target
500,0.099,218,off-target
500,0.472,218,target
500,0.862,219,off-target
500,0.336,219,target
500,0.448,220,off-target
500,0.855,220,target
500,0.427,221,off-target
500,0.054,221,target
500,0.067,222,off-target
500,0.232,222,target
500,0.004,223,off-target
500,0.02,223,target
500,0.119,224,off-target
500,0.548,224,target
500,0.632,225,off-target
500,0.068,225,target
500,0.865,226,off-target
500,0.379,226,target
500,0.373,227,off-target
500,0.371,227,target
500,0.627,228,off-target
500,0.93,228,target
500,0.65,229,off-target
500,0.2,229,target
500,0.41,230,off-target
500,0.309,230,target
500,0.084,231,off-target
500,0.046,231,target
500,0.482,232,off-target
500,0.447,232,target
500,0.032,233,off-target
500,0.421,233,target
500,0.437,234,off-target
500,0.569,234,target
500,0.666,235,off-target
500,0.364,235,target
500,0.12,236,off-target
500,0.585,236,target
500,0.796,237,off-target
500,0.703,237,target
500,0.315,238,off-target
500,0.076,238,target
500,0.507,239,off-target
500,0.979,239,target
500,0.419,240,off-target
500,0.167,240,target
500,0.917,241,off-target
500,0.764,241,target
500,0.819,242,off-target
500,0.578,242,target
500,0.613,243,off-target
500,0.273,243,target
500,0.21,244,off-target
500,0.452,244,target
500,0.978,245,off-target
500,0.804,245,target
500,0.184,246,off-target
500,0.906,246,target
500,0.182,247,off-target
500,0.594,247,target
500,0.449,248,off-target
500,0.541,248,target
500,0.409,249,off-target
500,0.303,249,target
500,0.461,250,off-target
500,0.246,250,target
500,0.927,251,off-target
500,0.715,251,target
500,0.298,252,off-target
500,0.292,252,target
500,0.88,253,off-target
500,0.14,253,target
500,0.604,254,off-target
500,0.454,254,target
500,0.633,255,off-target
500,0.577,255,target
500,0.113,256,off-target
500,0.545,256,target
500,0.786,257,off-target
500,0.256,257,target
500,0.5,258,off-target
500,0.665,258,target
500,0.842,259,off-target
500,0.528,259,target
500,0.781,260,off-target
500,0.834,260,target
500,0.754,261,off-target
500,0.431,261,target
500,0.467,262,off-target
500,0.775,262,target
500,0.875,263,off-target
500,0.359,263,target
500,0.17,264,off-target
500,0.56,264,target
500,0.306,265,off-target
500,0.751,265,target
500,0.314,266,off-target
500,0.197,266,target
500,0.234,267,off-target
500,0.104,267,target
500,0.119,268,off-target
500,0.647,268,target
500,0.769,269,off-target
500,0.569,269,target
500,0.447,270,off-target
500,0.35,270,target
500,0.936,271,off-target
500,0.701,271,target
500,0.284,272,off-target
500,0.36,272,target
500,0.967,273,off-target
500,0.387,273,target
500,0.333,274,off-target
500,0.054,274,target
500,0.059,275,off-target
500,0.18,275,target
500,0.138,276,off-target
500,0.16,276,target
500,0.848,277,off-target
500,0.279,277,target
500,0.071,278,off-target
500,0.497,278,target
500,0.991,279,off-target
500,0.053,279,target
500,0.884,280,off-target
500,0.478,280,target
500,0.061,281,off-target
500,0.681,281,target
500,0.807,282,off-target
500,0.242,282,target
500,0.016,283,off-target
500,0.087,283,target
500,0.105,284,off-target
500,0.344,284,target
500,0.158,285,off-target
500,0.28,285,target
500,0.329,286,off-target
500,0.102,286,target
500,0.943,287,off-target
500,0.346,287,target
500,0.408,288,off-target
500,0.753,288,target
500,0.376,289,off-target
500,0.449,289,target
500,0.529,290,off-target
500,0.484,290,target
500,0.262,291,off-target
500,0.937,291,target
500,0.856,292,off-target
500,0.103,292,target
500,0.144,293,off-target
500,0.41,293,target
500,0.228,294,off-target
500,0.732,294,target
500,0.472,295,off-target
500,0.667,295,target
500,0.791,296,off-target
500,0.989,296,target
500,0.128,297,off-target
500,0.572,297,target
500,0.612,298,off-target
500,0.026,298,target
500,0.859,299,off-target
500,0.639,299,target
500,0.78,300,off-target
500,0.601,300,target
500,0.753,301,off-target
500,0.906,301,target
500,0.089,302,off-target
500,0.058,302,target
500,0.634,303,off-target
500,0.755,303,target
500,0.066,304,off-target
500,0.886,304,target
500,0.058,305,off-target
500,0.178,305,target
500,0.084,306,off-target
500,0.449,306,target
500,0.25,307,off-target
500,0.147,307,target
500,0.365,308,off-target
500,0.296,308,target
500,0.708,309,off-target
500,0.452,309,target
500,0.417,310,off-target
500,0.359,310,target
500,0.699,311,off-target
500,0.65,311,target
500,0.081,312,off-target
500,0.286,312,target
500,0.877,313,off-target
500,0.225,313,target
500,0.493,314,off-target
500,0.15,314,target
500,0.424,315,off-target
500,0.591,315,target
500,0.451,316,off-target
500,0.59,316,target
500,0.915,317,off-target
500,0.939,317,target
500,0.102,318,off-target
500,0.047,318,target
500,0.04,319,off-target
500,0.3,319,target
500,0.078,320,off-target
500,0.525,320,target
500,0.738,321,off-target
500,0.228,321,target
500,0.238,322,off-target
500,0.208,322,target
500,0.785,323,off-target
500,0.415,323,target
500,0.961,324,off-target
500,0.936,324,target
500,0.244,325,off-target
500,0.161,325,target
500,0.522,326,off-target
500,0.259,326,target
500,0.6,327,off-target
500,0.188,327,target
500,0.75,328,off-target
500,0.101,328,target
500,0.463,329,off-target
500,0.137,329,target
500,0.145,330,off-target
500,0.274,330,target
500,0.602,331,off-target
500,0.009,331,target
500,0.121,332,off-target
500,0.237,332,target
500,0.045,333,off-target
500,0.108,333,target
500,0.246,334,off-target
500,0.126,334,target
500,0.574,335,off-target
500,0.399,335,target
500,0.861,336,off-target
500,0.661,336,target
500,0.133,337,off-target
500,0.416,337,target
500,0.222,338,off-target
500,0.597,338,target
500,0.602,339,off-target
500,0.854,339,target
500,0.442,340,off-target
500,0.767,340,target
500,0.531,341,off-target
500,0.611,341,target
500,0.05,342,off-target
500,0.322,342,target
500,0.18,343,off-target
500,0.953,343,target
500,0.344,344,off-target
500,0.088,344,target
500,0.588,345,off-target
500,0.262,345,target
500,0.442,346,off-target
500,0.063,346,target
500,0.571,347,off-target
500,0.228,347,target
500,0.318,348,off-target
500,0.769,348,target
500,0.358,349,off-target
500,0.957,349,target
500,0.361,350,off-target
500,0.549,350,target
500,0.723,351,off-target
500,0.314,351,target
500,0.534,352,off-target
500,0.135,352,target
500,0.326,353,off-target
500,0.994,353,target
500,0.42,354,off-target
500,0.524,354,target
500,0.97,355,off-target
500,0.49,355,target
500,0.621,356,off-target
500,0.479,356,target
500,0.559,357,off-target
500,0.43,357,target
500,0.275,358,off-target
500,0.918,358,target
500,0.37,359,off-target
500,0.311,359,target
500,0.966,360,off-target
500,0.672,360,target
500,0.787,361,off-target
500,0.644,361,target
500,0.121,362,off-target
500,0.874,362,target
500,0.486,363,off-target
500,0.359,363,target
500,0.462,364,off-target
500,0.235,364,target
500,0.319,365,off-target
500,0.599,365,target
500,0.244,366,off-target
500,0.382,366,target
500,0.678,367,off-target
500,0.443,367,target
500,0.926,368,off-target
500,0.268,368,target
500,0.316,369,off-target
500,0.209,369,target
500,0.705,370,off-target
500,0.82,370,target
500,0.469,371,off-target
500,0.821,371,target
500,0.151,372,off-target
500,0.66,372,target
500,0.597,373,off-target
500,0.745,373,target
500,0.798,374,off-target
500,0.977,374,target
500,0.755,375,off-target
500,0.167,375,target
500,0.663,376,off-target
500,0.63,376,target
500,0.577,377,off-target
500,0.208,377,target
500,0.854,378,off-target
500,0.716,378,target
500,0.723,379,off-target
500,0.389,379,target
500,0.264,380,off-target
500,0.08,380,target
500,0.543,381,off-target
500,0.495,381,target
500,0.095,382,off-target
500,0.288,382,target
500,0.482,383,off-target
500,0.795,383,target
500,0.333,384,off-target
500,0.172,384,target
500,0.64,385,off-target
500,0.48,385,target
500,0.146,386,off-target
500,0.068,386,target
500,0.173,387,off-target
500,0.831,387,target
500,0.1,388,off-target
500,0.841,388,target
500,0.708,389,off-target
500,0.222,389,target
500,0.105,390,off-target
500,0.285,390,target
500,0.612,391,off-target
500,0.383,391,target
500,0.385,392,off-target
500,0.455,392,target
500,0.844,393,off-target
500,0.948,393,target
500,0.393,394,off-target
500,0.551,394,target
500,0.142,395,off-target
500,0.151,395,target
500,0.152,396,off-target
500,0.23,396,target
500,0.409,397,off-target
500,0.865,397,target
500,0.19,398,off-target
500,0.089,398,target
500,0.909,399,off-target
500,0.082,399,target
500,0.445,400,off-target
500,0.59,400,target
500,0.527,401,off-target
500,0.299,401,target
500,0.669,402,off-target
500,0.297,402,target
500,0.634,403,off-target
500,0.828,403,target
500,0.586,404,off-target
500,0.394,404,target
500,0.558,405,off-target
500,0.505,405,target
500,0.038,406,off-target
500,0.374,406,target
500,0.993,407,off-target
500,0.683,407,target
500,0.76,408,off-target
500,0.532,408,target
500,0.111,409,off-target
500,0.462,409,target
500,0.03,410,off-target
500,0.092,410,target
500,0.513,411,off-target
500,0.972,411,target
500,0.071,412,off-target
500,0.013,412,target
500,0.313,413,off-target
500,0.335,413,target
500,0.214,414,off-target
500,0.375,414,target
500,0.769,415,off-target
500,0.034,415,target
500,0.593,416,off-target
500,0.676,416,target
500,0.325,417,off-target
500,0.532,417,target
500,0.003,418,off-target
500,0.063,418,target
500,0.966,419,off-target
500,0.461,419,target
500,0.99,420,off-target
500,0.353,420,target
500,0.071,421,off-target
500,0.906,421,target
500,0.595,422,off-target
500,0.656,422,target
500,0.268,423,off-target
500,0.457,423,target
500,0.475,424,off-target
500,0.923,424,target
500,0.463,425,off-target
500,0.931,425,target
500,0.571,426,off-target
500,0.617,426,target
500,0.325,427,off-target
500,0.656,427,target
500,0.863,428,off-target
500,0.323,428,target
500,0.097,429,off-target
500,0.243,429,target
500,0.281,430,off-target
500,0.327,430,target
500,0.405,431,off-target
500,0.269,431,target
500,0.9,432,off-target
500,0.465,432,target
500,0.884,433,off-target
500,0.562,433,target
500,0.964,434,off-target
500,0.862,434,target
500,0.869,435,off-target
500,0.285,435,target
500,0.963,436,off-target
500,0.607,436,target
500,0.846,437,off-target
500,0.489,437,target
500,0.124,438,off-target
500,0.462,438,target
500,0.93,439,off-target
500,0.948,439,target
500,0.987,440,off-target
500,0.22,440,target
500,0.797,441,off-target
500,0.632,441,target
500,0.236,442,off-target
500,0.119,442,target
500,0.39,443,off-target
500,0.375,443,target
500,0.477,444,off-target
500,0.977,444,target
500,0.818,445,off-target
500,0.505,445,target
500,0.266,446,off-target
500,0.22,446,target
500,0.565,447,off-target
500,0.575,447,target
500,0.355,448,off-target
500,0.476,448,target
500,0.42,449,off-target
500,0.972,449,target
500,0.651,450,off-target
500,0.642,450,target
500,0.49,451,off-target
500,0.246,451,target
500,0.872,452,off-target
500,0.585,452,target
500,0.81,453,off-target
500,0.977,453,target
500,0.112,454,off-target
500,0.901,454,target
500,0.304,455,off-target
500,0.576,455,target
500,0.742,456,off-target
500,0.854,456,target
500,0.379,457,off-target
500,0.324,457,target
500,0.764,458,off-target
500,0.678,458,target
500,0.439,459,off-target
500,0.181,459,target
500,0.494,460,off-target
500,0.09,460,target
500,0.861,461,off-target
500,0.789,461,target
500,0.37,462,off-target
500,0.336,462,target
500,0.77,463,off-target
500,0.527,463,target
500,0.454,464,off-target
500,0.123,464,target
500,0.491,465,off-target
500,0.042,465,target
500,0.99,466,off-target
500,0.905,466,target
500,0.823,467,off-target
500,0.095,467,target
500,0.153,468,off-target
500,0.106,468,target
500,0.402,469,off-target
500,0.591,469,target
500,0.87,470,off-target
500,0.582,470,target
500,0.293,471,off-target
500,0.995,471,target
500,0.588,472,off-target
500,0.928,472,target
500,0.343,473,off-target
500,0.472,473,target
500,0.627,474,off-target
500,0.825,474,target
500,0.489,475,off-target
500,0.883,475,target
500,0.436,476,off-target
500,0.901,476,target
500,0.212,477,off-target
500,0.325,477,target
500,0.026,478,off-target
500,0.2,478,target
