n,p_value,var_est,seed,type
500,0.539,0.0,40,target noiseless
500,0.06,16.0,41,off-target
500,0.024,0.0,41,off-target noiseless
500,0.819,1024.0,41,target
500,0.945,0.0,41,target noiseless
500,0.291,16.0,42,off-target
500,0.476,0.0,42,off-target noiseless
500,0.912,0.0625,42,target
500,0.642,0.0,42,target noiseless
500,0.124,4.0,43,off-target
500,0.643,0.0,43,off-target noiseless
500,0.041,256.0,43,target
500,0.803,0.0,43,target noiseless
500,0.389,1.0,44,off-target
500,0.732,0.0,44,off-target noiseless
500,0.36,0.25,44,target
500,0.952,0.0,44,target noiseless
500,0.019,16.0,45,off-target
500,0.415,0.0,45,off-target noiseless
500,0.398,16.0,45,target
500,0.171,0.0,45,target noiseless
500,0.048,16.0,46,off-target
500,0.612,0.0,46,off-target noiseless
500,0.656,64.0,46,target
500,0.488,0.0,46,target noiseless
500,0.738,1.0,47,off-target
500,0.5,0.0,47,off-target noiseless
500,0.328,4.0,47,target
500,0.459,0.0,47,target noiseless
500,0.01,16.0,48,off-target
500,0.673,0.0,48,off-target noiseless
500,0.866,4096.0,48,target
500,0.565,0.0,48,target noiseless
500,0.159,16.0,49,off-target
500,0.828,0.0,49,off-target noiseless
500,0.295,0.0625,49,target
500,0.154,0.0,49,target noiseless
500,0.0,16.0,50,off-target
500,0.093,0.0,50,off-target noiseless
500,0.021,64.0,50,target
500,0.682,0.0,50,target noiseless
500,0.705,64.0,51,off-target
500,0.608,0.0,51,off-target noiseless
500,0.598,256.0,51,target
500,0.063,0.0,51,target noiseless
500,0.188,16.0,52,off-target
500,0.272,0.0,52,off-target noiseless
500,0.94,16.0,52,target
500,0.04,0.0,52,target noiseless
500,0.871,4.0,53,off-target
500,0.495,0.0,53,off-target noiseless
500,0.496,1.0,53,target
500,0.125,0.0,53,target noiseless
500,0.002,16.0,54,off-target
500,0.278,0.0,54,off-target noiseless
500,0.306,16.0,54,target
500,0.763,0.0,54,target noiseless
500,0.002,16.0,55,off-target
500,0.361,0.0,55,off-target noiseless
500,0.922,256.0,55,target
500,0.468,0.0,55,target noiseless
500,0.234,1024.0,56,off-target
500,0.658,0.0,56,off-target noiseless
500,0.365,64.0,56,target
500,0.136,0.0,56,target noiseless
500,0.291,16.0,57,off-target
500,0.918,0.0,57,off-target noiseless
500,0.802,256.0,57,target
500,0.362,0.0,57,target noiseless
500,0.48,64.0,58,off-target
500,0.142,0.0,58,off-target noiseless
500,0.5,64.0,58,target
500,0.878,0.0,58,target noiseless
500,0.15,16.0,59,off-target
500,0.445,0.0,59,off-target noiseless
500,0.223,1024.0,59,target
500,0.978,0.0,59,target noiseless
500,0.286,4.0,60,off-target
500,0.747,0.0,60,off-target noiseless
500,0.962,64.0,60,target
500,0.804,0.0,60,target noiseless
500,0.006,16.0,61,off-target
500,0.75,0.0,61,off-target noiseless
500,0.893,64.0,61,target
500,0.193,0.0,61,target noiseless
500,0.298,4.0,62,off-target
500,0.837,0.0,62,off-target noiseless
500,0.058,4.0,62,target
500,0.701,0.0,62,target noiseless
500,0.276,4.0,63,off-target
500,0.88,0.0,63,off-target noiseless
500,0.08,256.0,63,target
500,0.873,0.0,63,target noiseless
500,0.032,16.0,64,off-target
500,0.972,0.0,64,off-target noiseless
500,0.168,4.0,64,target
500,0.94,0.0,64,target noiseless
500,0.762,4.0,65,off-target
500,0.063,0.0,65,off-target noiseless
500,0.254,256.0,65,target
500,0.036,0.0,65,target noiseless
500,0.736,4.0,66,off-target
500,0.135,0.0,66,off-target noiseless
500,0.88,1.0,66,target
