n,p_value,seed,type
500,0.49,0,off-target
500,0.517,0,target
500,0.517,1,off-target
500,0.425,1,target
500,0.511,2,off-target
500,0.438,2,target
500,0.162,3,off-target
500,0.566,3,target
500,0.073,4,off-target
500,0.795,4,target
500,0.709,5,off-target
500,0.933,5,target
500,0.615,6,off-target
500,0.678,6,target
500,0.141,7,off-target
500,0.947,7,target
500,0.073,8,off-target
500,0.989,8,target
500,0.039,9,off-target
500,0.235,9,target
500,0.305,10,off-target
500,0.98,10,target
500,0.067,11,off-target
500,0.165,11,target
500,0.558,12,off-target
500,0.65,12,target
500,0.987,13,off-target
500,0.842,13,target
500,0.988,14,off-target
500,0.156,14,target
500,0.609,15,off-target
500,0.728,15,target
500,0.225,16,off-target
500,0.936,16,target
500,0.717,17,off-target
500,0.204,17,target
500,0.184,18,off-target
500,0.48,18,target
500,0.557,19,off-target
500,0.997,19,target
500,0.123,20,off-target
500,0.922,20,target
500,0.061,21,off-target
500,0.774,21,target
500,0.43,22,off-target
500,0.644,22,target
500,0.649,23,off-target
500,0.73,23,target
500,0.458,24,off-target
500,0.143,24,target
500,0.81,25,off-target
500,0.002,25,target
500,0.64,26,off-target
500,0.364,26,target
500,0.741,27,off-target
500,0.165,27,target
500,0.425,28,off-target
500,0.146,28,target
500,0.732,29,off-target
500,0.954,29,target
500,0.099,30,off-target
500,0.249,30,target
500,0.558,31,off-target
500,0.212,31,target
500,0.102,32,off-target
500,0.848,32,target
500,0.689,33,off-target
500,0.139,33,target
500,0.676,34,off-target
500,0.274,34,target
500,0.584,35,off-target
500,0.177,35,target
500,0.063,36,off-target
500,0.041,36,target
500,0.292,37,off-target
500,0.759,37,target
500,0.927,38,off-target
500,0.972,38,target
500,0.933,39,off-target
500,0.715,39,target
500,0.2,40,off-target
500,0.656,40,target
500,0.192,41,off-target
500,0.243,41,target
500,0.562,42,off-target
500,0.75,42,target
500,0.661,43,off-target
500,0.49,43,target
500,0.031,44,off-target
500,0.947,44,target
500,0.103,45,off-target
500,0.946,45,target
500,0.704,46,off-target
500,0.888,46,target
500,0.892,47,off-target
500,0.902,47,target
500,0.973,48,off-target
500,0.61,48,target
500,0.306,49,off-target
500,0.662,49,target
500,0.784,50,off-target
500,0.893,50,target
500,0.567,51,off-target
500,0.471,51,target
500,0.336,52,off-target
500,0.328,52,target
500,0.859,53,off-target
500,0.46,53,target
500,0.647,54,off-target
500,0.233,54,target
500,0.806,55,off-target
500,0.713,55,target
500,0.564,56,off-target
500,0.276,56,target
500,0.859,57,off-target
500,0.622,57,target
500,0.62,58,off-target
500,0.342,58,target
500,0.675,59,off-target
500,0.303,59,target
500,0.157,60,off-target
500,0.554,60,target
500,0.296,61,off-target
500,0.486,61,target
500,0.25,62,off-target
500,0.347,62,target
500,0.136,63,off-target
500,0.845,63,target
500,0.757,64,off-target
500,0.88,64,target
500,0.29,65,off-target
500,0.303,65,target
500,0.778,66,off-target
500,0.489,66,target
500,0.466,67,off-target
500,0.616,67,target
500,0.33,68,off-target
500,0.059,68,target
500,0.542,69,off-target
500,0.515,69,target
500,0.772,70,off-target
500,0.037,70,target
500,0.601,71,off-target
500,0.148,71,target
500,0.926,72,off-target
500,0.947,72,target
500,0.227,73,off-target
