n,p_value,seed,type
500,0.662,0,off-target
500,0.302,0,target
500,0.135,1,off-target
500,0.296,1,target
500,0.904,2,off-target
500,0.674,2,target
500,0.793,3,off-target
500,0.949,3,target
500,0.092,4,off-target
500,0.812,4,target
500,0.985,5,off-target
500,0.667,5,target
500,0.973,6,off-target
500,0.55,6,target
500,0.005,7,off-target
500,0.152,7,target
500,0.342,8,off-target
500,0.304,8,target
500,0.66,9,off-target
500,0.524,9,target
500,0.991,10,off-target
500,0.993,10,target
500,0.77,11,off-target
500,0.763,11,target
500,0.546,12,off-target
500,0.568,12,target
500,0.946,13,off-target
500,0.452,13,target
500,0.28,14,off-target
500,0.445,14,target
500,0.532,15,off-target
500,0.41,15,target
500,0.051,16,off-target
500,0.921,16,target
500,0.15,17,off-target
500,0.12,17,target
500,0.014,18,off-target
500,0.775,18,target
500,0.828,19,off-target
500,0.655,19,target
500,0.175,20,off-target
500,0.392,20,target
500,0.744,21,off-target
500,0.427,21,target
500,0.752,22,off-target
500,0.655,22,target
500,0.051,23,off-target
500,0.85,23,target
500,0.677,24,off-target
500,0.454,24,target
500,0.672,25,off-target
500,0.476,25,target
500,0.249,26,off-target
500,0.008,26,target
500,0.559,27,off-target
500,0.716,27,target
500,0.215,28,off-target
500,0.833,28,target
500,1.0,29,off-target
500,0.121,29,target
500,0.909,30,off-target
500,0.773,30,target
500,0.989,31,off-target
500,0.9,31,target
500,0.546,32,off-target
500,0.228,32,target
500,0.218,33,off-target
500,0.039,33,target
500,0.312,34,off-target
500,0.434,34,target
500,0.008,35,off-target
500,0.333,35,target
500,0.494,36,off-target
500,0.974,36,target
500,0.305,37,off-target
500,0.791,37,target
500,0.662,38,off-target
500,0.578,38,target
500,0.861,39,off-target
500,0.254,39,target
500,0.142,40,off-target
500,0.868,40,target
500,0.339,41,off-target
500,0.153,41,target
500,0.014,42,off-target
500,0.632,42,target
500,0.491,43,off-target
500,0.795,43,target
500,0.516,44,off-target
500,0.153,44,target
500,0.163,45,off-target
500,0.863,45,target
500,0.325,46,off-target
500,0.553,46,target
500,0.992,47,off-target
500,0.995,47,target
500,0.805,48,off-target
500,0.555,48,target
500,0.119,49,off-target
500,0.841,49,target
500,0.698,50,off-target
500,0.513,50,target
500,0.729,51,off-target
500,0.389,51,target
500,0.393,52,off-target
500,0.152,52,target
500,0.42,53,off-target
500,0.872,53,target
500,0.656,54,off-target
500,0.022,54,target
500,0.782,55,off-target
500,0.451,55,target
500,0.824,56,off-target
500,0.904,56,target
500,0.641,57,off-target
500,0.521,57,target
500,0.042,58,off-target
500,0.328,58,target
500,0.723,59,off-target
500,0.164,59,target
500,0.163,60,off-target
500,0.802,60,target
500,0.113,61,off-target
500,0.219,61,target
500,0.763,62,off-target
500,0.78,62,target
500,0.191,63,off-target
500,0.748,63,target
500,0.028,64,off-target
500,0.968,64,target
500,0.571,65,off-target
