n,p_value,seed,type
500,0.307,0,off-target
500,0.604,0,target
500,0.302,1,off-target
500,0.58,1,target
500,0.676,2,off-target
500,0.046,2,target
500,0.868,3,off-target
500,0.686,3,target
500,0.639,4,off-target
500,0.565,4,target
500,0.643,5,off-target
500,0.706,5,target
500,0.249,6,off-target
500,0.04,6,target
500,0.652,7,off-target
500,0.52,7,target
500,0.165,8,off-target
500,0.741,8,target
500,0.688,9,off-target
500,0.343,9,target
500,0.557,10,off-target
500,0.222,10,target
500,0.307,11,off-target
500,0.615,11,target
500,0.569,12,off-target
500,0.879,12,target
500,0.349,13,off-target
500,0.053,13,target
500,0.842,14,off-target
500,0.761,14,target
500,0.368,15,off-target
500,0.191,15,target
500,0.139,16,off-target
500,0.052,16,target
500,0.848,17,off-target
500,0.841,17,target
500,0.581,18,off-target
500,0.359,18,target
500,0.302,19,off-target
500,0.255,19,target
500,0.18,20,off-target
500,0.47,20,target
500,0.385,21,off-target
500,0.716,21,target
500,0.45,22,off-target
500,0.101,22,target
500,0.845,23,off-target
500,0.327,23,target
500,0.564,24,off-target
500,0.842,24,target
500,0.163,25,off-target
500,0.066,25,target
500,0.113,26,off-target
500,0.668,26,target
500,0.362,27,off-target
500,0.041,27,target
500,0.018,28,off-target
500,0.316,28,target
500,0.629,29,off-target
500,0.819,29,target
500,0.184,30,off-target
500,0.269,30,target
500,0.354,31,off-target
500,0.204,31,target
500,0.391,32,off-target
500,0.842,32,target
500,0.04,33,off-target
500,0.389,33,target
500,0.294,34,off-target
500,0.711,34,target
500,0.518,35,off-target
500,0.905,35,target
500,0.958,36,off-target
500,0.767,36,target
500,0.068,37,off-target
500,0.183,37,target
500,0.799,38,off-target
500,0.157,38,target
500,0.082,39,off-target
500,0.725,39,target
500,0.511,40,off-target
500,0.526,40,target
500,0.192,41,off-target
500,0.952,41,target
500,0.049,42,off-target
500,0.136,42,target
500,0.01,43,off-target
500,0.001,43,target
500,0.2,44,off-target
500,0.719,44,target
500,0.343,45,off-target
500,0.504,45,target
500,0.177,46,off-target
500,0.635,46,target
500,0.676,47,off-target
500,0.027,47,target
500,0.637,48,off-target
500,0.439,48,target
500,0.027,49,off-target
500,0.83,49,target
500,0.467,50,off-target
500,0.916,50,target
500,0.603,51,off-target
500,0.521,51,target
500,0.682,52,off-target
500,0.846,52,target
500,0.158,53,off-target
500,0.922,53,target
500,0.256,54,off-target
500,0.052,54,target
500,0.687,55,off-target
500,0.551,55,target
500,0.695,56,off-target
500,0.224,56,target
500,0.801,57,off-target
500,0.749,57,target
500,0.328,58,off-target
500,0.189,58,target
500,0.281,59,off-target
500,0.763,59,target
500,0.484,60,off-target
500,0.956,60,target
500,0.49,61,off-target
500,0.53,61,target
500,0.865,62,off-target
500,0.794,62,target
500,0.889,63,off-target
500,0.752,63,target
500,0.138,64,off-target
500,0.023,64,target
500,0.758,65,off-target
500,0.195,65,target
500,0.995,66,off-target
500,0.74,66,target
500,0.016,67,off-target
500,0.462,67,target
500,0.106,68,off-target
500,0.236,68,target
500,0.572,69,off-target
500,0.259,69,target
500,0.166,70,off-target
500,0.567,70,target
500,0.517,71,off-target
500,0.181,71,target
500,0.157,72,off-target
500,0.05,72,target
500,0.037,73,off-target
500,0.04,73,target
500,0.696,74,off-target
500,0.81,74,target
500,0.137,75,off-target
500,0.936,75,target
500,0.278,76,off-target
500,0.635,76,target
500,0.403,77,off-target
500,0.379,77,target
500,0.316,78,off-target
500,0.493,78,target
500,0.122,79,off-target
500,0.316,79,target
500,0.49,80,off-target
500,0.418,80,target
500,0.291,81,off-target
500,0.779,81,target
500,0.24,82,off-target
500,0.921,82,target
500,0.931,83,off-target
500,0.379,83,target
500,0.205,84,off-target
500,0.925,84,target
500,0.662,85,off-target
500,0.987,85,target
500,0.862,86,off-target
500,0.606,86,target
500,0.478,87,off-target
500,0.386,87,target
500,0.785,88,off-target
500,0.137,88,target
500,0.117,89,off-target
500,0.293,89,target
500,0.18,90,off-target
500,0.905,90,target
500,0.731,91,off-target
500,0.882,91,target
500,0.113,92,off-target
500,0.062,92,target
500,0.013,93,off-target
500,0.326,93,target
500,0.654,94,off-target
500,0.441,94,target
500,0.743,95,off-target
500,0.45,95,target
500,0.091,96,off-target
500,0.598,96,target
500,0.134,97,off-target
500,0.983,97,target
500,0.218,98,off-target
500,0.654,98,target
500,0.343,99,off-target
500,0.904,99,target
500,0.282,100,off-target
500,0.906,100,target
500,0.068,101,off-target
500,0.099,101,target
500,0.427,102,off-target
500,0.027,102,target
500,0.185,103,off-target
500,0.297,103,target
500,0.551,104,off-target
500,0.899,104,target
