n,best_std,p_value,seed,type
500,0.5,0.583,0,off-target
500,0.5,0.531,0,target
500,0.5,0.347,0,off-target no pert
500,0.5,0.187,0,target no pert
500,0.5,0.178,1,off-target
500,0.5,0.557,1,target
500,0.5,0.152,1,off-target no pert
500,0.5,0.613,1,target no pert
500,0.5,0.617,2,off-target
500,0.5,0.218,2,target
500,0.5,0.301,2,off-target no pert
500,0.5,0.539,2,target no pert
500,0.5,0.28,3,off-target
500,0.5,0.952,3,target
500,0.5,0.695,3,off-target no pert
500,0.5,0.043,3,target no pert
500,0.5,0.713,4,off-target
500,0.5,0.325,4,target
500,0.5,0.158,4,off-target no pert
500,0.5,0.788,4,target no pert
500,0.5,0.226,5,off-target
500,0.5,0.141,5,target
500,0.5,0.879,5,off-target no pert
500,0.5,0.343,5,target no pert
500,0.5,0.269,6,off-target
500,0.5,0.2,6,target
500,0.5,0.788,6,off-target no pert
500,0.5,0.589,6,target no pert
500,0.5,0.982,7,off-target
500,0.5,0.7,7,target
500,0.5,0.368,7,off-target no pert
500,0.5,0.253,7,target no pert
500,0.5,0.346,8,off-target
500,0.5,0.365,8,target
500,0.5,0.365,8,off-target no pert
500,0.5,0.21,8,target no pert
500,0.5,0.709,9,off-target
500,0.5,0.16,9,target
500,0.5,0.464,9,off-target no pert
500,0.5,0.363,9,target no pert
500,0.5,0.329,10,off-target
500,0.5,0.02,10,target
500,0.5,0.402,10,off-target no pert
500,0.5,0.932,10,target no pert
500,0.5,0.153,11,off-target
500,0.5,0.848,11,target
500,0.5,0.438,11,off-target no pert
500,0.5,0.59,11,target no pert
500,0.5,0.523,12,off-target
500,0.5,0.467,12,target
500,0.5,0.436,12,off-target no pert
500,0.5,0.701,12,target no pert
500,0.5,0.751,13,off-target
500,0.5,0.606,13,target
500,0.5,0.106,13,off-target no pert
500,0.5,0.247,13,target no pert
500,0.5,0.708,14,off-target
500,0.5,0.084,14,target
500,0.5,0.667,14,off-target no pert
500,0.5,0.489,14,target no pert
500,0.5,0.059,15,off-target
500,0.5,0.962,15,target
500,0.5,0.554,15,off-target no pert
500,0.5,0.883,15,target no pert
500,0.5,0.311,16,off-target
500,0.5,0.314,16,target
500,0.5,0.479,16,off-target no pert
500,0.5,0.95,16,target no pert
500,0.5,0.706,17,off-target
500,0.5,0.653,17,target
500,0.5,0.667,17,off-target no pert
500,0.5,0.846,17,target no pert
500,0.5,0.649,18,off-target
500,0.5,0.955,18,target
500,0.5,0.793,18,off-target no pert
500,0.5,0.281,18,target no pert
500,0.5,0.364,19,off-target
500,0.5,0.941,19,target
500,0.5,0.942,19,off-target no pert
500,0.5,0.147,19,target no pert
500,0.5,0.453,20,off-target
500,0.5,0.804,20,target
500,0.5,0.833,20,off-target no pert
500,0.5,0.7,20,target no pert
500,0.5,0.194,21,off-target
500,0.5,0.385,21,target
500,0.5,0.1,21,off-target no pert
500,0.5,0.121,21,target no pert
500,0.5,0.054,22,off-target
500,0.5,0.15,22,target
500,0.5,0.077,22,off-target no pert
500,0.5,0.195,22,target no pert
500,0.5,0.382,23,off-target
500,0.5,0.975,23,target
500,0.5,0.389,23,off-target no pert
500,0.5,0.456,23,target no pert
500,0.5,0.489,24,off-target
500,0.5,0.006,24,target
500,0.5,0.074,24,off-target no pert
500,0.5,0.063,24,target no pert
500,0.5,0.943,25,off-target
500,0.5,0.127,25,target
500,0.5,0.894,25,off-target no pert
500,0.5,0.687,25,target no pert
500,0.5,0.349,26,off-target
500,0.5,0.475,26,target
500,0.5,0.432,26,off-target no pert
500,0.5,0.092,26,target no pert
500,0.5,0.071,27,off-target
500,0.5,0.519,27,target
500,0.5,0.269,27,off-target no pert
500,0.5,0.906,27,target no pert
500,0.5,0.365,28,off-target
500,0.5,0.25,28,target
500,0.5,0.79,28,off-target no pert
500,0.5,0.678,28,target no pert
500,0.5,0.053,29,off-target
500,0.5,0.61,29,target
500,0.5,0.674,29,off-target no pert
500,0.5,0.603,29,target no pert
500,0.5,0.982,30,off-target
500,0.5,0.238,30,target
500,0.5,0.907,30,off-target no pert
500,0.5,0.882,30,target no pert
500,0.5,0.15,31,off-target
500,0.5,0.26,31,target
500,0.5,0.965,31,off-target no pert
500,0.5,0.317,31,target no pert
500,0.5,0.473,32,off-target
500,0.5,0.409,32,target
500,0.5,0.117,32,off-target no pert
500,0.5,0.598,32,target no pert
500,0.5,0.64,33,off-target
500,0.5,0.051,33,target
