n,p_value,seed,type
500,0.903,0,off-target
500,0.157,0,target
500,0.314,1,off-target
500,0.178,1,target
500,0.124,2,off-target
500,0.633,2,target
500,0.786,3,off-target
500,0.63,3,target
500,0.994,4,off-target
500,0.732,4,target
500,0.963,5,off-target
500,0.751,5,target
500,0.521,6,off-target
500,0.346,6,target
500,0.148,7,off-target
500,0.577,7,target
500,0.391,8,off-target
500,0.224,8,target
500,0.38,9,off-target
500,0.841,9,target
500,0.553,10,off-target
500,0.018,10,target
500,0.89,11,off-target
500,0.86,11,target
500,0.22,12,off-target
500,0.258,12,target
500,0.678,13,off-target
500,0.378,13,target
500,0.943,14,off-target
500,0.621,14,target
500,0.506,15,off-target
500,0.142,15,target
500,0.534,16,off-target
500,0.817,16,target
500,0.18,17,off-target
500,0.136,17,target
500,0.14,18,off-target
500,0.698,18,target
500,0.193,19,off-target
500,0.223,19,target
500,0.571,20,off-target
500,0.991,20,target
500,0.616,21,off-target
500,0.594,21,target
500,0.27,22,off-target
500,0.317,22,target
500,0.991,23,off-target
500,0.004,23,target
500,0.704,24,off-target
500,0.004,24,target
500,0.214,25,off-target
500,0.949,25,target
500,0.772,26,off-target
500,0.049,26,target
500,0.927,27,off-target
500,0.242,27,target
500,0.51,28,off-target
500,0.695,28,target
500,0.122,29,off-target
500,0.978,29,target
500,0.801,30,off-target
500,0.782,30,target
500,0.48,31,off-target
500,0.027,31,target
500,0.886,32,off-target
500,0.315,32,target
500,0.649,33,off-target
500,0.39,33,target
500,0.731,34,off-target
500,0.349,34,target
500,0.43,35,off-target
500,0.825,35,target
500,0.123,36,off-target
500,0.624,36,target
500,0.603,37,off-target
500,0.298,37,target
500,0.242,38,off-target
500,0.268,38,target
500,0.704,39,off-target
500,0.422,39,target
500,0.729,40,off-target
500,0.136,40,target
500,0.914,41,off-target
500,0.02,41,target
500,0.504,42,off-target
500,0.177,42,target
500,0.967,43,off-target
500,0.772,43,target
500,0.331,44,off-target
500,0.633,44,target
500,0.278,45,off-target
500,0.962,45,target
500,0.35,46,off-target
500,0.453,46,target
500,0.321,47,off-target
500,0.096,47,target
500,0.261,48,off-target
500,0.822,48,target
500,0.838,49,off-target
500,0.046,49,target
500,0.423,50,off-target
500,0.38,50,target
500,0.933,51,off-target
500,0.776,51,target
500,0.025,52,off-target
500,0.831,52,target
500,0.422,53,off-target
500,0.745,53,target
500,0.195,54,off-target
500,0.985,54,target
500,0.947,55,off-target
500,0.469,55,target
500,0.307,56,off-target
500,0.069,56,target
500,0.616,57,off-target
500,0.85,57,target
500,0.197,58,off-target
500,0.32,58,target
500,0.212,59,off-target
500,0.512,59,target
500,0.995,60,off-target
500,0.976,60,target
500,0.63,61,off-target
500,0.723,61,target
500,0.941,62,off-target
500,0.097,62,target
500,0.075,63,off-target
500,0.966,63,target
500,0.964,64,off-target
500,0.489,64,target
500,0.801,65,off-target
500,0.48,65,target
500,0.423,66,off-target
500,0.143,66,target
500,0.325,67,off-target
500,0.12,67,target
500,0.707,68,off-target
500,0.492,68,target
500,0.237,69,off-target
500,0.165,69,target
500,0.461,70,off-target
500,0.602,70,target
500,0.46,71,off-target
500,0.613,71,target
500,0.592,72,off-target
500,0.014,72,target
500,0.872,73,off-target
500,0.041,73,target
500,0.402,74,off-target
500,0.65,74,target
500,0.21,75,off-target
500,0.344,75,target
500,0.322,76,off-target
500,0.267,76,target
500,0.024,77,off-target
500,0.074,77,target
500,0.777,78,off-target
500,0.112,78,target
500,0.611,79,off-target
500,0.364,79,target
500,0.764,80,off-target
500,0.508,80,target
500,0.44,81,off-target
500,0.179,81,target
500,0.25,82,off-target
500,0.385,82,target
