n,p_value,seed,type
500,0.821,0,off-target
500,0.222,0,target
500,0.29,1,off-target
500,0.365,1,target
500,0.328,2,off-target
500,0.264,2,target
500,0.872,3,off-target
500,0.841,3,target
500,0.867,4,off-target
500,0.594,4,target
500,0.515,5,off-target
500,0.092,5,target
500,0.56,6,off-target
500,0.952,6,target
500,0.247,7,off-target
500,0.242,7,target
500,0.088,8,off-target
500,0.941,8,target
500,0.451,9,off-target
500,0.644,9,target
500,0.982,10,off-target
500,0.446,10,target
500,0.79,11,off-target
500,0.324,11,target
500,0.606,12,off-target
500,0.23,12,target
500,0.149,13,off-target
500,0.887,13,target
500,0.037,14,off-target
500,0.339,14,target
500,0.15,15,off-target
500,0.841,15,target
500,0.755,16,off-target
500,0.524,16,target
500,0.829,17,off-target
500,0.646,17,target
500,0.807,18,off-target
500,0.72,18,target
500,0.163,19,off-target
500,0.723,19,target
500,0.99,20,off-target
500,0.982,20,target
500,0.793,21,off-target
500,0.891,21,target
500,0.645,22,off-target
500,0.596,22,target
500,0.224,23,off-target
500,0.651,23,target
500,0.275,24,off-target
500,0.222,24,target
500,0.343,25,off-target
500,0.379,25,target
500,0.744,26,off-target
500,0.663,26,target
500,0.374,27,off-target
500,0.814,27,target
500,0.397,28,off-target
500,0.429,28,target
500,0.378,29,off-target
500,0.881,29,target
500,0.477,30,off-target
500,0.697,30,target
500,0.812,31,off-target
500,0.646,31,target
500,0.109,32,off-target
500,0.807,32,target
500,0.455,33,off-target
500,0.735,33,target
500,0.118,34,off-target
500,0.104,34,target
500,0.561,35,off-target
500,0.632,35,target
500,0.052,36,off-target
500,0.794,36,target
500,0.76,37,off-target
500,0.324,37,target
500,0.842,38,off-target
500,0.572,38,target
500,0.431,39,off-target
500,0.782,39,target
500,0.211,40,off-target
500,0.616,40,target
500,0.047,41,off-target
500,0.646,41,target
500,0.57,42,off-target
500,0.222,42,target
500,0.028,43,off-target
500,0.033,43,target
500,0.69,44,off-target
500,0.501,44,target
500,0.353,45,off-target
500,0.652,45,target
500,0.034,46,off-target
500,0.892,46,target
500,0.854,47,off-target
500,0.599,47,target
500,0.828,48,off-target
500,0.324,48,target
500,0.639,49,off-target
500,0.591,49,target
500,0.604,50,off-target
500,0.426,50,target
500,0.205,51,off-target
500,0.296,51,target
500,0.22,52,off-target
500,0.024,52,target
500,0.847,53,off-target
500,0.209,53,target
500,0.657,54,off-target
500,0.826,54,target
500,0.943,55,off-target
500,0.592,55,target
500,0.31,56,off-target
500,0.915,56,target
500,0.335,57,off-target
500,0.935,57,target
500,0.973,58,off-target
500,0.14,58,target
500,0.801,59,off-target
500,0.765,59,target
500,0.746,60,off-target
500,0.901,60,target
500,0.428,61,off-target
500,0.004,61,target
500,0.989,62,off-target
500,0.72,62,target
500,0.486,63,off-target
500,0.916,63,target
500,0.337,64,off-target
500,0.372,64,target
500,0.966,65,off-target
500,0.64,65,target
500,0.315,66,off-target
500,0.089,66,target
500,0.767,67,off-target
500,0.479,67,target
500,0.412,68,off-target
500,0.456,68,target
500,0.588,69,off-target
500,0.246,69,target
500,0.057,70,off-target
500,0.357,70,target
500,0.651,71,off-target
500,0.534,71,target
500,0.256,72,off-target
500,0.992,72,target
500,0.464,73,off-target
500,0.358,73,target
500,0.368,74,off-target
500,0.929,74,target
500,0.022,75,off-target
500,0.189,75,target
500,0.575,76,off-target
500,0.519,76,target
500,0.212,77,off-target
500,0.332,77,target
500,0.653,78,off-target
500,0.174,78,target
500,0.909,79,off-target
500,0.245,79,target
500,0.177,80,off-target
500,0.979,80,target
500,0.672,81,off-target
500,0.241,81,target
500,0.647,82,off-target
500,0.192,82,target
500,0.5,83,off-target
500,0.851,83,target
500,0.02,84,off-target
500,0.743,84,target
500,0.629,85,off-target
500,0.869,85,target
500,0.467,86,off-target
500,0.89,86,target
500,0.124,87,off-target
500,0.171,87,target
500,0.514,88,off-target
500,0.091,88,target
500,0.862,89,off-target
500,0.065,89,target
500,0.174,90,off-target
500,0.86,90,target
500,0.163,91,off-target
500,0.356,91,target
500,0.197,92,off-target
500,0.369,92,target
500,0.275,93,off-target
500,0.446,93,target
500,0.983,94,off-target
500,0.97,94,target
500,0.216,95,off-target
500,0.304,95,target
500,0.507,96,off-target
500,0.667,96,target
500,0.091,97,off-target
500,0.666,97,target
500,0.176,98,off-target
500,0.59,98,target
500,0.43,99,off-target
500,0.062,99,target
500,0.727,100,off-target
500,0.588,100,target
500,0.007,101,off-target
500,0.265,101,target
500,0.957,102,off-target
500,0.301,102,target
500,0.423,103,off-target
500,0.443,103,target
500,0.401,104,off-target
500,0.239,104,target
500,0.216,105,off-target
500,0.273,105,target
500,0.672,106,off-target
500,0.723,106,target
500,0.884,107,off-target
500,0.529,107,target
500,0.664,108,off-target
500,0.031,108,target
500,0.606,109,off-target
500,0.629,109,target
500,0.779,110,off-target
500,0.485,110,target
500,0.758,111,off-target
500,0.771,111,target
500,0.726,112,off-target
500,0.596,112,target
500,0.704,113,off-target
500,0.57,113,target
