n,p_value,seed,type
500,0.153,126,target
500,0.123,127,off-target
500,0.453,127,target
500,0.633,128,off-target
500,0.637,128,target
500,0.021,129,off-target
500,0.378,129,target
500,0.14,130,off-target
500,0.894,130,target
500,0.242,131,off-target
500,0.148,131,target
500,0.007,132,off-target
500,0.855,132,target
500,0.0,133,off-target
500,0.894,133,target
500,0.051,134,off-target
500,0.469,134,target
500,0.0,135,off-target
500,0.308,135,target
500,0.0,136,off-target
500,0.788,136,target
500,0.095,137,off-target
500,0.505,137,target
500,0.053,138,off-target
500,0.111,138,target
500,0.0,139,off-target
500,0.866,139,target
500,0.065,140,off-target
500,0.333,140,target
500,0.019,141,off-target
500,0.267,141,target
500,0.027,142,off-target
500,0.015,142,target
500,0.0,143,off-target
500,0.558,143,target
500,0.06,144,off-target
500,0.667,144,target
500,0.006,145,off-target
500,0.262,145,target
500,0.0,146,off-target
500,0.278,146,target
500,0.0,147,off-target
500,0.288,147,target
500,0.085,148,off-target
500,0.723,148,target
500,0.0,149,off-target
500,0.24,149,target
500,0.005,150,off-target
500,0.392,150,target
500,0.002,151,off-target
500,0.154,151,target
500,0.018,152,off-target
500,0.114,152,target
500,0.002,153,off-target
500,0.678,153,target
500,0.025,154,off-target
500,0.315,154,target
500,0.005,155,off-target
500,0.942,155,target
500,0.013,156,off-target
500,0.708,156,target
500,0.236,157,off-target
500,0.785,157,target
500,0.004,158,off-target
500,0.282,158,target
500,0.026,159,off-target
500,0.485,159,target
500,0.002,160,off-target
500,0.394,160,target
500,0.083,161,off-target
500,0.365,161,target
500,0.02,162,off-target
500,0.27,162,target
500,0.059,163,off-target
500,0.204,163,target
500,0.003,164,off-target
500,0.223,164,target
500,0.001,165,off-target
500,0.909,165,target
500,0.006,166,off-target
500,0.499,166,target
500,0.028,167,off-target
500,0.322,167,target
500,0.058,168,off-target
500,0.98,168,target
500,0.145,169,off-target
500,0.534,169,target
500,0.006,170,off-target
500,0.362,170,target
500,0.008,171,off-target
500,0.135,171,target
500,0.0,172,off-target
500,0.288,172,target
500,0.435,173,off-target
500,0.975,173,target
500,0.0,174,off-target
500,0.696,174,target
500,0.01,175,off-target
500,0.673,175,target
500,0.39,176,off-target
500,0.51,176,target
500,0.24,177,off-target
500,0.974,177,target
500,0.0,178,off-target
500,0.793,178,target
500,0.04,179,off-target
500,0.92,179,target
500,0.003,180,off-target
500,0.067,180,target
500,0.016,181,off-target
500,0.918,181,target
500,0.0,182,off-target
500,0.54,182,target
500,0.013,183,off-target
500,0.473,183,target
500,0.034,184,off-target
500,0.516,184,target
500,0.5,185,off-target
500,0.064,185,target
500,0.002,186,off-target
500,0.266,186,target
500,0.262,187,off-target
500,0.583,187,target
500,0.001,188,off-target
500,0.374,188,target
500,0.006,189,off-target
500,0.274,189,target
500,0.0,190,off-target
500,0.155,190,target
500,0.0,191,off-target
500,0.558,191,target
500,0.002,192,off-target
500,0.162,192,target
500,0.123,193,off-target
500,0.067,193,target
500,0.0,194,off-target
500,0.275,194,target
500,0.001,195,off-target
500,0.579,195,target
500,0.025,196,off-target
500,0.328,196,target
500,0.0,197,off-target
500,0.155,197,target
500,0.011,198,off-target
500,0.202,198,target
500,0.0,199,off-target
500,0.827,199,target
500,0.144,200,off-target
500,0.581,200,target
500,0.0,201,off-target
500,0.462,201,target
500,0.057,202,off-target
500,0.686,202,target
500,0.062,203,off-target
500,0.603,203,target
500,0.0,204,off-target
500,0.859,204,target
500,0.003,205,off-target
500,0.823,205,target
500,0.15,206,off-target
500,0.2,206,target
500,0.074,207,off-target
500,0.15,207,target
500,0.033,208,off-target
500,0.863,208,target
500,0.184,209,off-target
500,0.259,209,target
500,0.402,210,off-target
500,0.09,210,target
500,0.009,211,off-target
500,0.958,211,target
500,0.031,212,off-target
500,0.139,212,target
500,0.036,213,off-target
500,0.687,213,target
500,0.034,214,off-target
500,0.054,214,target
500,0.035,215,off-target
500,0.685,215,target
500,0.023,216,off-target
500,0.72,216,target
500,0.058,217,off-target
500,0.521,217,target
500,0.001,218,off-target
500,0.209,218,target
500,0.03,219,off-target
500,0.788,219,target
500,0.025,220,off-target
500,0.196,220,target
500,0.011,221,off-target
500,0.831,221,target
500,0.002,222,off-target
500,0.546,222,target
500,0.003,223,off-target
500,0.179,223,target
500,0.072,224,off-target
500,0.043,224,target
500,0.0,225,off-target
500,0.413,225,target
500,0.0,226,off-target
500,0.511,226,target
500,0.152,227,off-target
500,0.997,227,target
500,0.001,228,off-target
500,0.199,228,target
500,0.032,229,off-target
500,0.202,229,target
500,0.0,230,off-target
500,0.913,230,target
500,0.017,231,off-target
500,0.391,231,target
500,0.011,232,off-target
500,0.207,232,target
500,0.081,233,off-target
500,0.675,233,target
500,0.022,234,off-target
500,0.597,234,target
500,0.06,235,off-target
500,0.145,235,target
500,0.014,236,off-target
500,0.384,236,target
500,0.003,237,off-target
500,0.005,237,target
500,0.137,238,off-target
500,0.074,238,target
500,0.019,239,off-target
500,0.378,239,target
500,0.228,240,off-target
500,0.808,240,target
500,0.028,241,off-target
500,0.38,241,target
500,0.031,242,off-target
500,0.844,242,target
500,0.002,243,off-target
500,0.501,243,target
500,0.014,244,off-target
500,0.883,244,target
500,0.024,245,off-target
500,0.174,245,target
500,0.0,246,off-target
500,0.786,246,target
500,0.001,247,off-target
500,0.838,247,target
500,0.001,248,off-target
500,0.606,248,target
500,0.056,249,off-target
500,0.118,249,target
500,0.002,250,off-target
500,0.009,250,target
500,0.06,251,off-target
500,0.368,251,target
500,0.001,252,off-target
500,0.91,252,target
500,0.034,253,off-target
