n,p_value,seed,type
500,0.333,0,off-target
500,0.26,0,target
500,0.428,1,off-target
500,0.118,1,target
500,0.039,2,off-target
500,0.666,2,target
500,0.777,3,off-target
500,0.64,3,target
500,0.186,4,off-target
500,0.69,4,target
500,0.04,5,off-target
500,0.725,5,target
500,0.472,6,off-target
500,0.391,6,target
500,0.913,7,off-target
500,0.598,7,target
500,0.489,8,off-target
500,0.22,8,target
500,0.506,9,off-target
500,0.827,9,target
500,0.113,10,off-target
500,0.017,10,target
500,0.499,11,off-target
500,0.884,11,target
500,0.841,12,off-target
500,0.242,12,target
500,0.724,13,off-target
500,0.349,13,target
500,0.712,14,off-target
500,0.621,14,target
500,0.583,15,off-target
500,0.105,15,target
500,0.955,16,off-target
500,0.835,16,target
500,0.219,17,off-target
500,0.137,17,target
500,0.145,18,off-target
500,0.638,18,target
500,0.301,19,off-target
500,0.18,19,target
500,0.668,20,off-target
500,0.99,20,target
500,0.371,21,off-target
500,0.621,21,target
500,0.388,22,off-target
500,0.318,22,target
500,0.735,23,off-target
500,0.004,23,target
500,0.982,24,off-target
500,0.004,24,target
500,0.762,25,off-target
500,0.942,25,target
500,0.241,26,off-target
500,0.049,26,target
500,0.847,27,off-target
500,0.288,27,target
500,0.106,28,off-target
500,0.66,28,target
500,0.002,29,off-target
500,0.977,29,target
500,0.941,30,off-target
500,0.804,30,target
500,0.384,31,off-target
500,0.016,31,target
500,0.076,32,off-target
500,0.35,32,target
500,0.827,33,off-target
500,0.359,33,target
500,0.437,34,off-target
500,0.447,34,target
500,0.124,35,off-target
500,0.782,35,target
500,0.603,36,off-target
500,0.624,36,target
500,0.169,37,off-target
500,0.231,37,target
500,0.835,38,off-target
500,0.288,38,target
500,0.663,39,off-target
500,0.389,39,target
500,0.977,40,off-target
500,0.122,40,target
500,0.403,41,off-target
500,0.023,41,target
500,0.868,42,off-target
500,0.221,42,target
500,0.133,43,off-target
500,0.766,43,target
500,0.012,44,off-target
500,0.548,44,target
500,0.218,45,off-target
500,0.964,45,target
500,0.042,46,off-target
500,0.426,46,target
500,0.978,47,off-target
500,0.086,47,target
500,0.832,48,off-target
500,0.832,48,target
500,0.915,49,off-target
500,0.042,49,target
500,0.446,50,off-target
500,0.401,50,target
500,0.566,51,off-target
500,0.835,51,target
500,0.758,52,off-target
500,0.868,52,target
500,0.922,53,off-target
500,0.768,53,target
500,0.432,54,off-target
500,0.972,54,target
500,0.428,55,off-target
500,0.496,55,target
500,0.089,56,off-target
500,0.046,56,target
500,0.205,57,off-target
500,0.775,57,target
500,0.922,58,off-target
500,0.316,58,target
500,0.705,59,off-target
500,0.516,59,target
500,0.52,60,off-target
500,0.984,60,target
500,0.84,61,off-target
500,0.727,61,target
500,0.907,62,off-target
500,0.097,62,target
500,0.673,63,off-target
500,0.956,63,target
500,0.141,64,off-target
500,0.505,64,target
500,0.192,65,off-target
500,0.532,65,target
500,0.034,66,off-target
500,0.193,66,target
500,0.642,67,off-target
500,0.144,67,target
500,0.413,68,off-target
500,0.568,68,target
500,0.248,69,off-target
500,0.195,69,target
500,0.499,70,off-target
500,0.574,70,target
500,0.211,71,off-target
500,0.552,71,target
500,0.614,72,off-target
500,0.016,72,target
500,0.742,73,off-target
500,0.039,73,target
500,0.852,74,off-target
500,0.619,74,target
500,0.127,75,off-target
500,0.362,75,target
500,0.338,76,off-target
500,0.223,76,target
500,0.409,77,off-target
500,0.085,77,target
500,0.185,78,off-target
500,0.113,78,target
500,0.997,79,off-target
500,0.39,79,target
500,0.712,80,off-target
500,0.459,80,target
500,0.175,81,off-target
500,0.19,81,target
500,0.255,82,off-target
500,0.474,82,target
500,0.711,83,off-target
500,0.081,83,target
500,0.164,84,off-target
500,0.68,84,target
500,0.505,85,off-target
500,0.49,85,target
500,0.448,86,off-target
500,0.684,86,target
500,0.404,87,off-target
500,0.195,87,target
500,0.412,88,off-target
500,0.144,88,target
500,0.56,89,off-target
500,0.062,89,target
500,0.07,90,off-target
500,0.032,90,target
500,0.823,91,off-target
500,0.763,91,target
500,0.728,92,off-target
500,0.822,92,target
500,0.297,93,off-target
500,0.984,93,target
500,0.436,94,off-target
500,0.985,94,target
500,0.061,95,off-target
500,0.341,95,target
500,0.555,96,off-target
500,0.662,96,target
500,0.645,97,off-target
500,0.904,97,target
500,0.754,98,off-target
500,0.082,98,target
500,0.002,99,off-target
500,0.353,99,target
500,0.052,100,off-target
500,0.086,100,target
500,0.53,101,off-target
500,0.319,101,target
500,0.326,102,off-target
500,0.121,102,target
500,0.314,103,off-target
500,0.22,103,target
500,0.042,104,off-target
500,0.478,104,target
500,0.885,105,off-target
500,0.648,105,target
500,0.0,106,off-target
500,0.204,106,target
500,0.429,107,off-target
500,0.587,107,target
500,0.797,108,off-target
500,0.994,108,target
500,0.694,109,off-target
500,0.793,109,target
500,0.873,110,off-target
500,0.631,110,target
500,0.996,111,off-target
500,0.343,111,target
500,0.908,112,off-target
500,0.021,112,target
500,0.889,113,off-target
500,0.144,113,target
500,0.876,114,off-target
500,0.256,114,target
500,0.764,115,off-target
500,0.028,115,target
500,0.114,116,off-target
500,0.353,116,target
500,0.464,117,off-target
500,0.586,117,target
500,0.521,118,off-target
500,0.61,118,target
500,0.087,119,off-target
500,0.666,119,target
500,0.483,120,off-target
500,0.38,120,target
500,0.563,121,off-target
500,0.599,121,target
500,0.205,122,off-target
500,0.253,122,target
500,0.565,123,off-target
500,0.173,123,target
500,0.725,124,off-target
500,0.042,124,target
500,0.364,125,off-target
500,0.086,125,target
500,0.516,126,off-target
500,0.81,126,target
500,0.907,127,off-target
500,0.073,127,target
500,0.257,128,off-target
500,0.973,128,target
500,0.674,129,off-target
500,0.605,129,target
500,0.975,130,off-target
500,0.67,130,target
500,0.363,131,off-target
500,0.848,131,target
500,0.475,132,off-target
500,0.49,132,target
500,0.877,133,off-target
500,0.218,133,target
500,0.802,134,off-target
500,0.692,134,target
500,0.021,135,off-target
500,0.119,135,target
500,0.967,136,off-target
500,0.773,136,target
500,0.493,137,off-target
500,0.52,137,target
500,0.189,138,off-target
500,0.325,138,target
500,0.115,139,off-target
500,0.312,139,target
500,0.563,140,off-target
500,0.537,140,target
500,0.341,141,off-target
500,0.862,141,target
500,0.045,142,off-target
500,0.751,142,target
500,0.426,143,off-target
500,0.085,143,target
500,0.827,144,off-target
500,0.94,144,target
500,0.996,145,off-target
500,0.419,145,target
500,0.288,146,off-target
500,0.498,146,target
500,0.007,147,off-target
500,0.472,147,target
500,0.588,148,off-target
500,0.468,148,target
500,0.121,149,off-target
500,0.369,149,target
500,0.457,150,off-target
500,0.332,150,target
500,0.015,151,off-target
500,0.841,151,target
500,0.038,152,off-target
500,0.4,152,target
500,0.482,153,off-target
500,0.576,153,target
500,0.595,154,off-target
500,0.254,154,target
500,0.509,155,off-target
500,0.786,155,target
500,0.36,156,off-target
500,0.026,156,target
500,0.003,157,off-target
500,0.537,157,target
500,0.433,158,off-target
500,0.875,158,target
500,0.943,159,off-target
500,0.744,159,target
500,0.04,160,off-target
500,0.021,160,target
500,0.086,161,off-target
500,0.557,161,target
500,0.222,162,off-target
500,0.759,162,target
500,0.937,163,off-target
500,0.138,163,target
500,0.323,164,off-target
500,0.768,164,target
500,0.82,165,off-target
500,0.848,165,target
500,0.531,166,off-target
500,0.921,166,target
500,0.682,167,off-target
500,0.023,167,target
500,0.372,168,off-target
500,0.557,168,target
500,0.247,169,off-target
500,0.348,169,target
500,0.213,170,off-target
500,0.927,170,target
500,0.03,171,off-target
500,0.746,171,target
500,0.559,172,off-target
500,0.868,172,target
500,0.279,173,off-target
500,0.82,173,target
500,0.628,174,off-target
500,0.749,174,target
500,0.792,175,off-target
500,0.766,175,target
500,0.215,176,off-target
500,0.848,176,target
500,0.429,177,off-target
500,0.405,177,target
500,0.666,178,off-target
500,0.299,178,target
500,0.507,179,off-target
500,0.259,179,target
500,0.044,180,off-target
500,0.928,180,target
500,0.612,181,off-target
500,0.813,181,target
500,0.045,182,off-target
500,0.742,182,target
500,0.139,183,off-target
500,0.426,183,target
500,0.449,184,off-target
500,0.61,184,target
500,0.762,185,off-target
500,0.779,185,target
500,0.239,186,off-target
500,0.98,186,target
500,0.094,187,off-target
500,0.273,187,target
500,0.866,188,off-target
500,0.871,188,target
500,0.203,189,off-target
500,0.234,189,target
500,0.481,190,off-target
500,0.283,190,target
500,0.233,191,off-target
500,0.887,191,target
500,0.878,192,off-target
500,0.654,192,target
500,0.043,193,off-target
500,0.24,193,target
500,0.368,194,off-target
500,0.443,194,target
500,0.403,195,off-target
500,0.119,195,target
500,0.374,196,off-target
500,0.971,196,target
500,0.091,197,off-target
500,0.767,197,target
500,0.468,198,off-target
500,0.59,198,target
500,0.273,199,off-target
500,0.228,199,target
500,0.585,200,off-target
500,0.333,200,target
500,0.873,201,off-target
500,0.811,201,target
500,0.89,202,off-target
500,0.081,202,target
500,0.797,203,off-target
500,0.647,203,target
500,0.378,204,off-target
500,0.643,204,target
500,0.214,205,off-target
500,0.694,205,target
500,0.718,206,off-target
500,0.291,206,target
500,0.712,207,off-target
500,0.356,207,target
500,0.588,208,off-target
500,0.529,208,target
500,0.363,209,off-target
500,0.343,209,target
500,0.867,210,off-target
500,0.257,210,target
500,0.373,211,off-target
500,0.804,211,target
500,0.508,212,off-target
500,0.098,212,target
500,0.72,213,off-target
500,0.942,213,target
500,0.273,214,off-target
500,0.573,214,target
500,0.864,215,off-target
500,0.935,215,target
500,0.385,216,off-target
500,0.888,216,target
500,0.326,217,off-target
500,0.34,217,target
500,0.632,218,off-target
500,0.206,218,target
500,0.973,219,off-target
500,0.603,219,target
500,0.194,220,off-target
500,0.855,220,target
500,0.441,221,off-target
500,0.701,221,target
500,0.954,222,off-target
500,0.585,222,target
500,0.654,223,off-target
500,0.88,223,target
500,0.058,224,off-target
500,0.677,224,target
500,0.717,225,off-target
500,0.978,225,target
500,0.958,226,off-target
500,0.9,226,target
500,0.421,227,off-target
500,0.586,227,target
500,0.314,228,off-target
500,0.359,228,target
500,0.741,229,off-target
500,0.159,229,target
500,0.256,230,off-target
500,0.815,230,target
500,0.86,231,off-target
500,0.649,231,target
500,0.365,232,off-target
500,0.199,232,target
500,0.883,233,off-target
500,0.706,233,target
500,0.412,234,off-target
500,0.223,234,target
500,0.273,235,off-target
500,0.22,235,target
500,0.403,236,off-target
500,0.762,236,target
500,0.116,237,off-target
500,0.687,237,target
500,0.484,238,off-target
500,0.616,238,target
500,0.179,239,off-target
500,0.085,239,target
500,0.926,240,off-target
500,0.125,240,target
500,0.767,241,off-target
500,0.237,241,target
500,0.804,242,off-target
500,0.083,242,target
500,0.749,243,off-target
500,0.344,243,target
500,0.996,244,off-target
500,0.837,244,target
500,0.001,245,off-target
500,0.695,245,target
500,0.463,246,off-target
500,0.136,246,target
500,0.657,247,off-target
500,0.876,247,target
500,0.171,248,off-target
500,0.935,248,target
500,0.952,249,off-target
500,0.612,249,target
500,0.511,250,off-target
500,0.884,250,target
500,0.726,251,off-target
500,0.687,251,target
500,0.762,252,off-target
500,0.438,252,target
500,0.577,253,off-target
500,0.312,253,target
500,0.189,254,off-target
500,0.479,254,target
500,0.669,255,off-target
500,0.828,255,target
500,0.982,256,off-target
500,0.833,256,target
500,0.062,257,off-target
500,0.07,257,target
500,0.878,258,off-target
500,0.241,258,target
500,0.566,259,off-target
500,0.998,259,target
500,0.862,260,off-target
500,0.051,260,target
500,0.279,261,off-target
500,0.091,261,target
500,0.617,262,off-target
500,0.183,262,target
500,0.496,263,off-target
500,0.566,263,target
500,0.863,264,off-target
500,0.891,264,target
500,0.964,265,off-target
500,0.784,265,target
500,0.315,266,off-target
500,0.132,266,target
500,0.336,267,off-target
500,0.228,267,target
500,0.124,268,off-target
500,0.108,268,target
500,0.348,269,off-target
500,0.204,269,target
500,0.805,270,off-target
500,0.23,270,target
500,0.018,271,off-target
500,0.762,271,target
500,0.396,272,off-target
500,0.998,272,target
500,0.433,273,off-target
500,0.088,273,target
500,0.057,274,off-target
500,0.914,274,target
500,0.001,275,off-target
500,0.413,275,target
500,0.475,276,off-target
500,0.72,276,target
500,0.919,277,off-target
500,0.336,277,target
500,0.158,278,off-target
500,1.0,278,target
500,0.649,279,off-target
500,0.11,279,target
500,0.407,280,off-target
500,0.284,280,target
500,0.078,281,off-target
500,0.856,281,target
500,0.798,282,off-target
500,0.808,282,target
500,0.063,283,off-target
500,0.82,283,target
500,0.428,284,off-target
500,0.618,284,target
500,0.668,285,off-target
500,0.075,285,target
500,0.388,286,off-target
500,0.732,286,target
500,0.791,287,off-target
500,0.285,287,target
500,0.418,288,off-target
500,0.732,288,target
500,0.618,289,off-target
500,0.013,289,target
500,0.663,290,off-target
500,0.694,290,target
500,0.726,291,off-target
500,0.658,291,target
500,0.067,292,off-target
500,0.158,292,target
500,0.59,293,off-target
500,0.633,293,target
500,0.972,294,off-target
500,0.239,294,target
500,0.642,295,off-target
500,0.56,295,target
500,0.078,296,off-target
500,0.667,296,target
500,0.596,297,off-target
500,0.101,297,target
500,0.133,298,off-target
500,0.683,298,target
500,0.223,299,off-target
500,0.97,299,target
500,0.561,300,off-target
500,0.506,300,target
500,0.425,301,off-target
500,0.805,301,target
500,0.857,302,off-target
500,0.974,302,target
500,0.797,303,off-target
500,0.248,303,target
500,0.754,304,off-target
500,0.859,304,target
500,0.852,305,off-target
500,0.678,305,target
500,0.719,306,off-target
500,0.019,306,target
500,0.797,307,off-target
500,0.557,307,target
500,0.287,308,off-target
500,0.516,308,target
500,0.461,309,off-target
500,0.405,309,target
500,0.902,310,off-target
500,0.429,310,target
500,0.346,311,off-target
500,0.594,311,target
500,0.795,312,off-target
500,0.334,312,target
500,0.005,313,off-target
500,0.714,313,target
500,0.386,314,off-target
500,0.986,314,target
500,0.732,315,off-target
500,0.976,315,target
500,0.639,316,off-target
500,0.632,316,target
500,0.371,317,off-target
500,0.353,317,target
500,0.46,318,off-target
500,0.119,318,target
500,0.34,319,off-target
500,0.873,319,target
500,0.97,320,off-target
500,0.966,320,target
500,0.382,321,off-target
500,0.086,321,target
500,0.456,322,off-target
500,0.645,322,target
500,0.867,323,off-target
500,0.912,323,target
500,0.152,324,off-target
500,0.334,324,target
500,0.371,325,off-target
500,0.567,325,target
500,0.667,326,off-target
500,0.957,326,target
500,0.644,327,off-target
500,0.31,327,target
500,0.52,328,off-target
500,0.85,328,target
500,0.292,329,off-target
500,0.453,329,target
500,0.219,330,off-target
500,0.732,330,target
500,0.567,331,off-target
500,0.09,331,target
500,0.523,332,off-target
500,0.604,332,target
500,0.827,333,off-target
500,0.702,333,target
500,0.445,334,off-target
500,0.291,334,target
500,0.759,335,off-target
500,0.251,335,target
500,0.714,336,off-target
500,0.645,336,target
500,0.11,337,off-target
500,0.548,337,target
500,0.592,338,off-target
500,0.47,338,target
500,0.595,339,off-target
500,0.074,339,target
500,0.838,340,off-target
500,0.205,340,target
500,0.612,341,off-target
500,0.93,341,target
500,0.867,342,off-target
500,0.851,342,target
500,0.455,343,off-target
500,0.043,343,target
500,0.213,344,off-target
500,0.103,344,target
500,0.93,345,off-target
500,0.193,345,target
500,0.839,346,off-target
500,0.422,346,target
500,0.442,347,off-target
500,0.881,347,target
500,0.726,348,off-target
500,0.133,348,target
500,0.376,349,off-target
500,0.503,349,target
500,0.648,350,off-target
500,0.967,350,target
500,0.687,351,off-target
500,0.26,351,target
500,0.33,352,off-target
500,0.755,352,target
500,0.156,353,off-target
500,0.769,353,target
500,0.12,354,off-target
500,0.612,354,target
500,0.086,355,off-target
500,0.829,355,target
500,0.547,356,off-target
500,0.785,356,target
500,0.467,357,off-target
500,0.674,357,target
500,0.811,358,off-target
500,0.801,358,target
500,0.568,359,off-target
500,0.776,359,target
500,0.528,360,off-target
500,0.762,360,target
500,0.136,361,off-target
500,0.689,361,target
500,0.116,362,off-target
500,0.732,362,target
500,0.839,363,off-target
500,0.45,363,target
500,0.881,364,off-target
500,0.376,364,target
500,0.642,365,off-target
500,0.031,365,target
500,0.991,366,off-target
500,0.241,366,target
500,0.372,367,off-target
500,0.008,367,target
500,0.154,368,off-target
500,0.461,368,target
500,0.107,369,off-target
500,0.385,369,target
500,0.053,370,off-target
500,0.215,370,target
500,0.301,371,off-target
500,0.884,371,target
500,0.025,372,off-target
500,0.466,372,target
500,0.18,373,off-target
500,0.266,373,target
500,0.42,374,off-target
500,0.37,374,target
500,0.591,375,off-target
500,0.02,375,target
500,0.945,376,off-target
500,0.85,376,target
500,0.856,377,off-target
500,0.928,377,target
500,0.925,378,off-target
500,0.3,378,target
500,0.935,379,off-target
500,0.466,379,target
500,0.945,380,off-target
500,0.488,380,target
500,0.129,381,off-target
500,0.957,381,target
500,0.27,382,off-target
500,0.183,382,target
500,0.569,383,off-target
500,0.361,383,target
500,0.663,384,off-target
500,0.543,384,target
500,0.372,385,off-target
500,0.412,385,target
500,0.335,386,off-target
500,0.919,386,target
500,0.227,387,off-target
500,0.969,387,target
500,0.49,388,off-target
500,0.389,388,target
500,0.248,389,off-target
500,0.312,389,target
500,0.127,390,off-target
500,0.71,390,target
500,0.721,391,off-target
500,0.864,391,target
500,0.723,392,off-target
500,0.762,392,target
500,0.438,393,off-target
500,0.239,393,target
500,0.062,394,off-target
500,0.725,394,target
500,0.781,395,off-target
500,0.353,395,target
500,0.172,396,off-target
500,0.375,396,target
500,0.09,397,off-target
500,0.471,397,target
500,0.529,398,off-target
500,0.339,398,target
500,0.502,399,off-target
500,0.251,399,target
500,0.208,400,off-target
500,0.542,400,target
500,0.688,401,off-target
500,0.555,401,target
500,0.065,402,off-target
500,0.929,402,target
500,0.962,403,off-target
500,0.052,403,target
500,0.403,404,off-target
500,0.981,404,target
500,0.427,405,off-target
500,0.35,405,target
500,0.085,406,off-target
500,0.921,406,target
500,0.371,407,off-target
500,0.715,407,target
500,0.763,408,off-target
500,0.139,408,target
500,0.74,409,off-target
500,0.058,409,target
500,0.033,410,off-target
500,0.019,410,target
500,0.592,411,off-target
500,0.269,411,target
500,0.023,412,off-target
500,0.132,412,target
500,0.899,413,off-target
500,0.101,413,target
500,0.76,414,off-target
500,0.381,414,target
500,0.479,415,off-target
500,0.624,415,target
500,0.812,416,off-target
500,0.086,416,target
500,0.302,417,off-target
500,0.703,417,target
500,0.24,418,off-target
500,0.661,418,target
500,0.339,419,off-target
500,0.101,419,target
500,0.474,420,off-target
500,0.562,420,target
500,0.08,421,off-target
500,0.45,421,target
500,0.957,422,off-target
500,0.662,422,target
500,0.597,423,off-target
500,0.775,423,target
500,0.575,424,off-target
500,0.714,424,target
500,0.054,425,off-target
500,0.794,425,target
500,0.828,426,off-target
500,0.442,426,target
500,0.335,427,off-target
500,0.617,427,target
500,0.862,428,off-target
500,0.617,428,target
500,0.889,429,off-target
500,0.626,429,target
500,0.336,430,off-target
500,0.421,430,target
500,0.83,431,off-target
500,0.001,431,target
500,0.78,432,off-target
500,0.199,432,target
500,0.631,433,off-target
500,0.434,433,target
500,0.898,434,off-target
500,0.938,434,target
500,0.478,435,off-target
500,0.524,435,target
500,0.057,436,off-target
500,0.959,436,target
500,0.482,437,off-target
500,0.056,437,target
500,0.543,438,off-target
500,0.269,438,target
500,0.75,439,off-target
500,0.054,439,target
500,0.89,440,off-target
500,0.48,440,target
500,0.924,441,off-target
500,0.221,441,target
500,0.543,442,off-target
500,0.543,442,target
500,0.383,443,off-target
500,0.467,443,target
500,0.457,444,off-target
500,0.616,444,target
500,0.972,445,off-target
500,0.2,445,target
500,0.205,446,off-target
500,0.94,446,target
500,0.364,447,off-target
500,0.034,447,target
500,0.653,448,off-target
500,0.183,448,target
500,0.454,449,off-target
500,0.2,449,target
500,0.464,450,off-target
500,0.153,450,target
500,0.975,451,off-target
500,0.053,451,target
500,0.165,452,off-target
500,0.896,452,target
