n,t,p_value,seed,type
500,0,0.181,0,off-target
500,0,0.881,0,target
500,5,0.0,0,off-target
500,5,0.78,0,target
500,10,0.0,0,off-target
500,10,0.818,0,target
500,15,0.0,0,off-target
500,15,0.82,0,target
500,20,0.0,0,off-target
500,20,0.809,0,target
500,0,0.261,1,off-target
500,0,0.434,1,target
500,5,0.0,1,off-target
500,5,0.412,1,target
500,10,0.0,1,off-target
500,10,0.346,1,target
500,15,0.0,1,off-target
500,15,0.337,1,target
500,20,0.0,1,off-target
500,20,0.249,1,target
500,0,0.738,2,off-target
500,0,0.468,2,target
500,5,0.0,2,off-target
500,5,0.512,2,target
500,10,0.001,2,off-target
500,10,0.664,2,target
500,15,0.002,2,off-target
500,15,0.607,2,target
500,20,0.012,2,off-target
500,20,0.601,2,target
500,0,0.533,3,off-target
500,0,0.324,3,target
500,5,0.056,3,off-target
500,5,0.316,3,target
500,10,0.0,3,off-target
500,10,0.357,3,target
500,15,0.032,3,off-target
500,15,0.278,3,target
500,20,0.032,3,off-target
500,20,0.354,3,target
500,0,0.003,4,off-target
500,0,0.978,4,target
500,5,0.097,4,off-target
500,5,0.876,4,target
500,10,0.011,4,off-target
500,10,0.875,4,target
500,15,0.082,4,off-target
500,15,0.794,4,target
500,20,0.149,4,off-target
500,20,0.857,4,target
500,0,0.384,5,off-target
500,0,0.583,5,target
500,5,0.004,5,off-target
500,5,0.256,5,target
500,10,0.0,5,off-target
500,10,0.465,5,target
500,15,0.013,5,off-target
500,15,0.622,5,target
500,20,0.0,5,off-target
500,20,0.702,5,target
500,0,0.379,6,off-target
500,0,0.657,6,target
500,5,0.0,6,off-target
500,5,0.293,6,target
500,10,0.0,6,off-target
500,10,0.462,6,target
500,15,0.0,6,off-target
500,15,0.315,6,target
500,20,0.0,6,off-target
500,20,0.7,6,target
500,0,0.344,7,off-target
500,0,0.102,7,target
500,5,0.0,7,off-target
500,5,0.215,7,target
500,10,0.002,7,off-target
500,10,0.171,7,target
500,15,0.0,7,off-target
500,15,0.143,7,target
500,20,0.012,7,off-target
500,20,0.181,7,target
500,0,0.849,8,off-target
500,0,0.146,8,target
500,5,0.0,8,off-target
500,5,0.131,8,target
500,10,0.015,8,off-target
500,10,0.188,8,target
500,15,0.0,8,off-target
500,15,0.137,8,target
500,20,0.0,8,off-target
500,20,0.197,8,target
500,0,0.622,9,off-target
500,0,0.372,9,target
500,5,0.003,9,off-target
500,5,0.218,9,target
500,10,0.0,9,off-target
500,10,0.281,9,target
500,15,0.001,9,off-target
500,15,0.343,9,target
500,20,0.0,9,off-target
500,20,0.276,9,target
500,0,0.379,10,off-target
500,0,0.509,10,target
500,5,0.0,10,off-target
500,5,0.569,10,target
500,10,0.0,10,off-target
500,10,0.381,10,target
500,15,0.0,10,off-target
500,15,0.697,10,target
500,20,0.0,10,off-target
500,20,0.194,10,target
500,0,0.826,11,off-target
500,0,0.606,11,target
500,5,0.03,11,off-target
500,5,0.131,11,target
500,10,0.0,11,off-target
500,10,0.346,11,target
500,15,0.018,11,off-target
500,15,0.345,11,target
500,20,0.0,11,off-target
500,20,0.322,11,target
500,0,0.661,12,off-target
500,0,0.859,12,target
500,5,0.001,12,off-target
500,5,0.856,12,target
500,10,0.024,12,off-target
500,10,0.777,12,target
500,15,0.008,12,off-target
500,15,0.79,12,target
500,20,0.0,12,off-target
500,20,0.869,12,target
500,0,0.718,13,off-target
500,0,0.224,13,target
500,5,0.0,13,off-target
500,5,0.814,13,target
500,10,0.001,13,off-target
500,10,0.61,13,target
500,15,0.0,13,off-target
500,15,0.801,13,target
500,20,0.026,13,off-target
500,20,0.891,13,target
500,0,0.084,14,off-target
500,0,0.055,14,target
500,5,0.0,14,off-target
500,5,0.025,14,target
500,10,0.0,14,off-target
500,10,0.332,14,target
500,15,0.0,14,off-target
500,15,0.174,14,target
500,20,0.0,14,off-target
500,20,0.252,14,target
500,0,0.946,15,off-target
500,0,0.594,15,target
500,5,0.001,15,off-target
500,5,0.814,15,target
500,10,0.0,15,off-target
500,10,0.796,15,target
500,15,0.002,15,off-target
500,15,0.673,15,target
500,20,0.018,15,off-target
500,20,0.782,15,target
500,0,0.314,16,off-target
500,0,0.248,16,target
500,5,0.0,16,off-target
500,5,0.374,16,target
500,10,0.009,16,off-target
500,10,0.445,16,target
500,15,0.011,16,off-target
