n,p_value,seed,type
500,0.59,0,off-target
500,0.96,0,target
500,0.193,1,off-target
500,0.214,1,target
500,0.922,2,off-target
500,0.726,2,target
500,0.525,3,off-target
500,0.897,3,target
500,0.321,4,off-target
500,0.257,4,target
500,0.671,5,off-target
500,0.657,5,target
500,0.168,6,off-target
500,0.781,6,target
500,0.068,7,off-target
500,0.927,7,target
500,0.097,8,off-target
500,0.296,8,target
500,0.34,9,off-target
500,0.729,9,target
500,0.605,10,off-target
500,0.969,10,target
500,0.051,11,off-target
500,0.409,11,target
500,0.132,12,off-target
500,0.22,12,target
500,0.417,13,off-target
500,0.16,13,target
500,0.826,14,off-target
500,0.441,14,target
500,0.056,15,off-target
500,0.783,15,target
500,0.533,16,off-target
500,0.264,16,target
500,0.83,17,off-target
500,0.016,17,target
500,0.164,18,off-target
500,0.623,18,target
500,0.145,19,off-target
500,0.369,19,target
500,0.62,20,off-target
500,0.624,20,target
500,0.304,21,off-target
500,0.92,21,target
500,0.303,22,off-target
500,0.079,22,target
500,0.382,23,off-target
500,0.592,23,target
500,0.022,24,off-target
500,0.395,24,target
500,0.673,25,off-target
500,0.841,25,target
500,0.308,26,off-target
500,0.341,26,target
500,0.283,27,off-target
500,0.273,27,target
500,0.003,28,off-target
500,0.759,28,target
500,0.477,29,off-target
500,0.883,29,target
500,0.014,30,off-target
500,0.566,30,target
500,0.043,31,off-target
500,0.896,31,target
500,0.63,32,off-target
500,0.194,32,target
500,0.185,33,off-target
500,0.989,33,target
500,0.829,34,off-target
500,0.993,34,target
500,0.05,35,off-target
500,0.781,35,target
500,0.33,36,off-target
500,0.199,36,target
500,0.012,37,off-target
500,0.692,37,target
500,0.689,38,off-target
500,0.156,38,target
500,0.451,39,off-target
500,0.529,39,target
500,0.261,40,off-target
500,0.76,40,target
500,0.313,41,off-target
500,0.204,41,target
500,0.875,42,off-target
500,0.193,42,target
500,0.111,43,off-target
500,0.314,43,target
500,0.516,44,off-target
500,0.961,44,target
500,0.006,45,off-target
500,0.348,45,target
500,0.338,46,off-target
500,0.426,46,target
500,0.255,47,off-target
500,0.057,47,target
500,0.713,48,off-target
500,0.407,48,target
500,0.217,49,off-target
500,0.969,49,target
500,0.405,50,off-target
500,0.227,50,target
