n,p_value,var_est,seed,type
500,0.204,0.0,40,target noiseless
500,0.0,1.0,41,off-target
500,0.088,0.0,41,off-target noiseless
500,0.982,16.0,41,target
500,0.928,0.0,41,target noiseless
500,0.0,1.0,42,off-target
500,0.748,0.0,42,off-target noiseless
500,0.522,16.0,42,target
500,0.348,0.0,42,target noiseless
500,0.084,0.25,43,off-target
500,0.02,0.0,43,off-target noiseless
500,0.129,4.0,43,target
500,0.116,0.0,43,target noiseless
500,0.019,0.0625,44,off-target
500,0.302,0.0,44,off-target noiseless
500,0.413,16.0,44,target
500,0.778,0.0,44,target noiseless
500,0.027,4.0,45,off-target
500,0.181,0.0,45,off-target noiseless
500,0.344,4.0,45,target
500,0.454,0.0,45,target noiseless
500,0.0,1.0,46,off-target
500,0.06,0.0,46,off-target noiseless
500,0.097,0.0625,46,target
500,0.269,0.0,46,target noiseless
500,0.0,1.0,47,off-target
500,0.025,0.0,47,off-target noiseless
500,0.268,4.0,47,target
500,0.033,0.0,47,target noiseless
500,0.0,1.0,48,off-target
500,0.429,0.0,48,off-target noiseless
500,0.118,262144.0,48,target
500,0.759,0.0,48,target noiseless
500,0.0,1.0,49,off-target
500,0.893,0.0,49,off-target noiseless
500,0.405,64.0,49,target
500,0.103,0.0,49,target noiseless
500,0.0,1.0,50,off-target
500,0.039,0.0,50,off-target noiseless
500,0.121,16.0,50,target
500,0.929,0.0,50,target noiseless
500,0.0,1.0,51,off-target
500,0.561,0.0,51,off-target noiseless
500,0.224,16.0,51,target
500,0.358,0.0,51,target noiseless
500,0.002,1.0,52,off-target
500,0.45,0.0,52,off-target noiseless
500,0.168,4.0,52,target
500,0.94,0.0,52,target noiseless
500,0.002,1.0,53,off-target
500,0.557,0.0,53,off-target noiseless
500,0.469,1.0,53,target
500,0.172,0.0,53,target noiseless
500,0.0,1.0,54,off-target
500,0.005,0.0,54,off-target noiseless
500,0.185,16.0,54,target
500,0.306,0.0,54,target noiseless
500,0.0,1.0,55,off-target
500,0.137,0.0,55,off-target noiseless
500,0.901,16.0,55,target
500,0.096,0.0,55,target noiseless
500,0.0,1.0,56,off-target
500,0.014,0.0,56,off-target noiseless
500,0.181,4.0,56,target
500,0.112,0.0,56,target noiseless
500,0.0,1.0,57,off-target
500,0.021,0.0,57,off-target noiseless
500,0.079,4.0,57,target
500,0.783,0.0,57,target noiseless
500,0.0,1.0,58,off-target
500,0.03,0.0,58,off-target noiseless
500,0.02,4.0,58,target
500,0.69,0.0,58,target noiseless
500,0.0,1.0,59,off-target
500,0.182,0.0,59,off-target noiseless
500,0.272,64.0,59,target
500,0.252,0.0,59,target noiseless
500,0.0,1.0,60,off-target
500,0.295,0.0,60,off-target noiseless
500,0.275,16384.0,60,target
500,0.869,0.0,60,target noiseless
500,0.0,1.0,61,off-target
500,0.001,0.0,61,off-target noiseless
500,0.699,16.0,61,target
500,0.021,0.0,61,target noiseless
500,0.0,1.0,62,off-target
500,0.022,0.0,62,off-target noiseless
500,0.824,16.0,62,target
500,0.375,0.0,62,target noiseless
500,0.0,1.0,63,off-target
500,0.004,0.0,63,off-target noiseless
500,0.591,16.0,63,target
500,0.142,0.0,63,target noiseless
500,0.001,1.0,64,off-target
500,0.067,0.0,64,off-target noiseless
500,0.228,0.0625,64,target
500,0.673,0.0,64,target noiseless
500,0.007,1.0,65,off-target
500,0.216,0.0,65,off-target noiseless
500,0.608,4.0,65,target
500,0.478,0.0,65,target noiseless
500,0.002,4.0,66,off-target
500,0.28,0.0,66,off-target noiseless
500,0.151,4.0,66,target
500,0.763,0.0,66,target noiseless
500,0.0,1.0,67,off-target
500,0.016,0.0,67,off-target noiseless
500,0.122,1.0,67,target
500,0.381,0.0,67,target noiseless
500,0.006,1.0,68,off-target
500,0.128,0.0,68,off-target noiseless
500,0.628,1.0,68,target
500,0.56,0.0,68,target noiseless
500,0.0,1.0,69,off-target
500,0.059,0.0,69,off-target noiseless
500,0.116,4.0,69,target
500,0.688,0.0,69,target noiseless
500,0.0,1.0,70,off-target
500,0.59,0.0,70,off-target noiseless
500,0.84,256.0,70,target
500,0.9,0.0,70,target noiseless
500,0.0,1.0,71,off-target
500,0.544,0.0,71,off-target noiseless
500,0.496,4.0,71,target
500,0.007,0.0,71,target noiseless
500,0.0,1.0,72,off-target
500,0.132,0.0,72,off-target noiseless
500,0.748,16.0,72,target
500,0.582,0.0,72,target noiseless
500,0.001,1.0,73,off-target
500,0.23,0.0,73,off-target noiseless
500,0.317,1.0,73,target
500,0.927,0.0,73,target noiseless
500,0.072,4.0,74,off-target
500,0.003,0.0,74,off-target noiseless
500,0.034,16.0,74,target
500,0.035,0.0,74,target noiseless
500,0.0,1.0,75,off-target
500,0.225,0.0,75,off-target noiseless
500,0.603,0.25,75,target
500,0.933,0.0,75,target noiseless
500,0.0,1.0,76,off-target
500,0.304,0.0,76,off-target noiseless
500,0.734,4.0,76,target
500,0.202,0.0,76,target noiseless
500,0.059,0.0625,77,off-target
500,0.774,0.0,77,off-target noiseless
500,0.08,4.0,77,target
500,0.301,0.0,77,target noiseless
500,0.001,1.0,78,off-target
500,0.075,0.0,78,off-target noiseless
500,0.878,16.0,78,target
500,0.745,0.0,78,target noiseless
500,0.0,1.0,79,off-target
500,0.004,0.0,79,off-target noiseless
500,0.632,1.0,79,target
500,0.547,0.0,79,target noiseless
500,0.0,1.0,80,off-target
500,0.124,0.0,80,off-target noiseless
500,0.112,16.0,80,target
500,0.141,0.0,80,target noiseless
500,0.001,1.0,81,off-target
500,0.887,0.0,81,off-target noiseless
500,0.439,64.0,81,target
500,0.695,0.0,81,target noiseless
500,0.0,4.0,82,off-target
500,0.049,0.0,82,off-target noiseless
500,0.156,0.0625,82,target
500,0.588,0.0,82,target noiseless
500,0.0,1.0,83,off-target
500,0.391,0.0,83,off-target noiseless
500,0.471,4.0,83,target
500,0.041,0.0,83,target noiseless
500,0.0,1.0,84,off-target
500,0.014,0.0,84,off-target noiseless
500,0.601,0.0625,84,target
500,0.218,0.0,84,target noiseless
500,0.0,1.0,85,off-target
500,0.627,0.0,85,off-target noiseless
500,0.306,4.0,85,target
500,0.692,0.0,85,target noiseless
500,0.001,1.0,86,off-target
500,0.246,0.0,86,off-target noiseless
500,0.528,1.0,86,target
500,0.655,0.0,86,target noiseless
500,0.0,1.0,87,off-target
500,0.077,0.0,87,off-target noiseless
500,0.6,1.0,87,target
500,0.652,0.0,87,target noiseless
500,0.0,1.0,88,off-target
500,0.135,0.0,88,off-target noiseless
500,0.947,1.0,88,target
500,0.598,0.0,88,target noiseless
500,0.0,1.0,89,off-target
500,0.006,0.0,89,off-target noiseless
500,0.458,1.0,89,target
500,0.289,0.0,89,target noiseless
500,0.0,1.0,90,off-target
500,0.062,0.0,90,off-target noiseless
500,0.056,4.0,90,target
500,0.805,0.0,90,target noiseless
500,0.053,0.0625,91,off-target
500,0.019,0.0,91,off-target noiseless
500,0.807,16.0,91,target
500,0.815,0.0,91,target noiseless
500,0.0,1.0,92,off-target
500,0.197,0.0,92,off-target noiseless
