n,p_value,seed,type
500,0.824,126,target
500,0.0,127,off-target
500,0.033,127,target
500,0.0,128,off-target
500,0.638,128,target
500,0.0,129,off-target
500,0.29,129,target
500,0.0,130,off-target
500,0.527,130,target
500,0.0,131,off-target
500,0.8,131,target
500,0.0,132,off-target
500,0.382,132,target
500,0.0,133,off-target
500,0.383,133,target
500,0.0,134,off-target
500,0.037,134,target
500,0.0,135,off-target
500,0.86,135,target
500,0.0,136,off-target
500,0.141,136,target
500,0.0,137,off-target
500,0.256,137,target
500,0.0,138,off-target
500,0.631,138,target
500,0.0,139,off-target
500,0.955,139,target
500,0.0,140,off-target
500,0.059,140,target
500,0.0,141,off-target
500,0.574,141,target
500,0.0,142,off-target
500,0.85,142,target
500,0.0,143,off-target
500,0.321,143,target
500,0.0,144,off-target
500,0.815,144,target
500,0.0,145,off-target
500,0.587,145,target
500,0.0,146,off-target
500,0.936,146,target
500,0.0,147,off-target
500,0.132,147,target
500,0.0,148,off-target
500,0.555,148,target
500,0.0,149,off-target
500,0.98,149,target
500,0.0,150,off-target
500,0.747,150,target
500,0.0,151,off-target
500,0.172,151,target
500,0.0,152,off-target
500,0.921,152,target
500,0.0,153,off-target
500,0.611,153,target
500,0.0,154,off-target
500,0.667,154,target
500,0.0,155,off-target
500,0.973,155,target
500,0.0,156,off-target
500,0.055,156,target
500,0.0,157,off-target
500,0.313,157,target
500,0.0,158,off-target
500,0.071,158,target
500,0.0,159,off-target
500,0.782,159,target
500,0.0,160,off-target
500,0.614,160,target
500,0.0,161,off-target
500,0.206,161,target
500,0.0,162,off-target
500,0.406,162,target
500,0.0,163,off-target
500,0.741,163,target
500,0.0,164,off-target
500,0.612,164,target
500,0.0,165,off-target
500,0.741,165,target
500,0.0,166,off-target
500,0.726,166,target
500,0.0,167,off-target
500,0.147,167,target
500,0.0,168,off-target
500,0.549,168,target
500,0.0,169,off-target
500,0.756,169,target
500,0.0,170,off-target
500,0.541,170,target
500,0.0,171,off-target
500,0.208,171,target
500,0.0,172,off-target
500,0.529,172,target
500,0.0,173,off-target
500,0.782,173,target
500,0.001,174,off-target
500,0.989,174,target
500,0.0,175,off-target
500,0.833,175,target
500,0.0,176,off-target
500,0.349,176,target
500,0.0,177,off-target
500,0.093,177,target
500,0.0,178,off-target
500,0.291,178,target
500,0.0,179,off-target
500,0.889,179,target
500,0.0,180,off-target
500,0.854,180,target
500,0.0,181,off-target
500,0.2,181,target
500,0.0,182,off-target
500,0.587,182,target
500,0.0,183,off-target
500,0.188,183,target
500,0.0,184,off-target
500,0.769,184,target
500,0.0,185,off-target
500,0.988,185,target
500,0.0,186,off-target
500,0.026,186,target
500,0.0,187,off-target
500,0.984,187,target
500,0.0,188,off-target
500,0.774,188,target
500,0.0,189,off-target
500,0.21,189,target
500,0.0,190,off-target
500,0.648,190,target
500,0.0,191,off-target
500,0.275,191,target
500,0.0,192,off-target
500,0.482,192,target
500,0.0,193,off-target
500,0.427,193,target
500,0.0,194,off-target
500,0.672,194,target
500,0.0,195,off-target
500,0.429,195,target
500,0.0,196,off-target
500,0.929,196,target
500,0.0,197,off-target
500,0.33,197,target
500,0.0,198,off-target
500,0.891,198,target
500,0.0,199,off-target
500,0.73,199,target
500,0.0,200,off-target
500,0.482,200,target
500,0.0,201,off-target
500,0.969,201,target
500,0.0,202,off-target
500,0.923,202,target
500,0.0,203,off-target
500,0.815,203,target
500,0.0,204,off-target
500,0.984,204,target
500,0.0,205,off-target
500,0.588,205,target
500,0.0,206,off-target
500,0.217,206,target
500,0.0,207,off-target
500,0.087,207,target
500,0.0,208,off-target
500,0.418,208,target
500,0.0,209,off-target
500,0.06,209,target
500,0.0,210,off-target
500,0.132,210,target
500,0.0,211,off-target
500,0.172,211,target
500,0.0,212,off-target
500,0.311,212,target
500,0.0,213,off-target
500,0.329,213,target
500,0.0,214,off-target
500,0.052,214,target
500,0.001,215,off-target
500,0.524,215,target
500,0.0,216,off-target
500,0.183,216,target
500,0.0,217,off-target
500,0.765,217,target
500,0.0,218,off-target
500,0.43,218,target
500,0.0,219,off-target
500,0.667,219,target
500,0.0,220,off-target
500,0.948,220,target
500,0.0,221,off-target
500,0.225,221,target
500,0.0,222,off-target
500,0.816,222,target
500,0.0,223,off-target
500,0.961,223,target
500,0.0,224,off-target
500,0.37,224,target
500,0.0,225,off-target
500,0.93,225,target
500,0.0,226,off-target
500,0.311,226,target
500,0.0,227,off-target
500,0.827,227,target
500,0.0,228,off-target
500,0.958,228,target
500,0.0,229,off-target
500,0.295,229,target
500,0.0,230,off-target
500,0.857,230,target
500,0.0,231,off-target
500,0.036,231,target
500,0.001,232,off-target
500,0.42,232,target
500,0.0,233,off-target
500,0.486,233,target
500,0.0,234,off-target
500,0.741,234,target
500,0.0,235,off-target
500,0.363,235,target
500,0.0,236,off-target
500,0.747,236,target
500,0.0,237,off-target
500,0.035,237,target
500,0.002,238,off-target
500,0.997,238,target
500,0.0,239,off-target
500,0.496,239,target
500,0.0,240,off-target
500,0.083,240,target
500,0.0,241,off-target
500,0.817,241,target
500,0.0,242,off-target
500,0.684,242,target
500,0.0,243,off-target
500,0.484,243,target
500,0.0,244,off-target
500,0.404,244,target
500,0.001,245,off-target
500,0.593,245,target
500,0.0,246,off-target
500,0.281,246,target
500,0.0,247,off-target
500,0.068,247,target
500,0.0,248,off-target
500,0.261,248,target
500,0.0,249,off-target
500,0.493,249,target
500,0.0,250,off-target
500,0.675,250,target
500,0.0,251,off-target
500,0.961,251,target
500,0.0,252,off-target
500,0.504,252,target
500,0.0,253,off-target
500,0.181,253,target
500,0.0,254,off-target
500,0.557,254,target
500,0.0,255,off-target
500,0.076,255,target
500,0.0,256,off-target
500,0.482,256,target
500,0.0,257,off-target
500,0.059,257,target
500,0.0,258,off-target
500,0.081,258,target
500,0.0,259,off-target
500,0.822,259,target
500,0.0,260,off-target
500,0.96,260,target
500,0.0,261,off-target
500,0.566,261,target
500,0.0,262,off-target
500,0.606,262,target
500,0.001,263,off-target
500,0.043,263,target
500,0.0,264,off-target
500,0.767,264,target
500,0.0,265,off-target
500,0.066,265,target
500,0.0,266,off-target
500,0.854,266,target
500,0.0,267,off-target
500,0.129,267,target
500,0.0,268,off-target
500,0.667,268,target
500,0.0,269,off-target
500,0.823,269,target
500,0.0,270,off-target
500,0.037,270,target
500,0.0,271,off-target
500,0.883,271,target
500,0.0,272,off-target
500,0.285,272,target
500,0.0,273,off-target
500,0.856,273,target
500,0.0,274,off-target
500,0.087,274,target
500,0.0,275,off-target
500,0.501,275,target
500,0.0,276,off-target
500,0.949,276,target
500,0.0,277,off-target
500,0.345,277,target
500,0.0,278,off-target
500,0.129,278,target
500,0.0,279,off-target
500,0.837,279,target
500,0.0,280,off-target
500,0.294,280,target
500,0.0,281,off-target
500,0.202,281,target
500,0.0,282,off-target
500,0.027,282,target
500,0.0,283,off-target
500,0.783,283,target
500,0.0,284,off-target
500,0.799,284,target
500,0.0,285,off-target
500,0.927,285,target
500,0.0,286,off-target
500,0.426,286,target
500,0.0,287,off-target
500,0.739,287,target
500,0.0,288,off-target
500,0.088,288,target
500,0.0,289,off-target
500,0.21,289,target
500,0.0,290,off-target
500,0.982,290,target
500,0.0,291,off-target
500,0.128,291,target
500,0.0,292,off-target
500,0.466,292,target
500,0.0,293,off-target
500,0.68,293,target
500,0.0,294,off-target
500,0.023,294,target
500,0.0,295,off-target
500,0.553,295,target
500,0.0,296,off-target
500,0.783,296,target
500,0.0,297,off-target
500,0.994,297,target
500,0.0,298,off-target
500,0.829,298,target
500,0.0,299,off-target
500,0.89,299,target
500,0.0,300,off-target
500,0.557,300,target
500,0.0,301,off-target
500,0.914,301,target
500,0.0,302,off-target
500,0.704,302,target
500,0.0,303,off-target
500,0.021,303,target
500,0.0,304,off-target
500,0.532,304,target
500,0.0,305,off-target
500,0.937,305,target
500,0.0,306,off-target
500,0.042,306,target
500,0.0,307,off-target
500,0.51,307,target
500,0.0,308,off-target
500,0.788,308,target
500,0.003,309,off-target
500,0.027,309,target
500,0.0,310,off-target
500,0.738,310,target
500,0.0,311,off-target
500,0.674,311,target
500,0.0,312,off-target
500,0.045,312,target
500,0.0,313,off-target
500,0.659,313,target
500,0.0,314,off-target
500,0.623,314,target
500,0.0,315,off-target
500,0.451,315,target
500,0.0,316,off-target
500,0.353,316,target
500,0.0,317,off-target
500,0.771,317,target
500,0.0,318,off-target
500,0.734,318,target
500,0.0,319,off-target
500,0.702,319,target
500,0.0,320,off-target
500,0.028,320,target
500,0.0,321,off-target
500,0.995,321,target
500,0.0,322,off-target
500,0.077,322,target
500,0.0,323,off-target
500,0.187,323,target
500,0.0,324,off-target
500,0.415,324,target
500,0.0,325,off-target
500,0.331,325,target
500,0.0,326,off-target
500,0.309,326,target
500,0.001,327,off-target
500,0.194,327,target
500,0.0,328,off-target
500,0.78,328,target
500,0.0,329,off-target
500,0.017,329,target
500,0.0,330,off-target
500,0.574,330,target
500,0.0,331,off-target
500,0.516,331,target
500,0.0,332,off-target
500,0.806,332,target
500,0.0,333,off-target
500,0.415,333,target
500,0.0,334,off-target
500,0.433,334,target
500,0.0,335,off-target
500,0.206,335,target
500,0.0,336,off-target
500,0.373,336,target
500,0.0,337,off-target
500,0.043,337,target
500,0.0,338,off-target
500,0.692,338,target
500,0.0,339,off-target
500,0.659,339,target
500,0.0,340,off-target
500,0.57,340,target
500,0.0,341,off-target
500,0.359,341,target
500,0.0,342,off-target
500,0.319,342,target
500,0.001,343,off-target
500,0.097,343,target
500,0.005,344,off-target
500,0.6,344,target
500,0.0,345,off-target
500,0.938,345,target
500,0.0,346,off-target
500,0.567,346,target
500,0.0,347,off-target
500,0.625,347,target
500,0.0,348,off-target
500,0.231,348,target
500,0.004,349,off-target
500,0.07,349,target
500,0.0,350,off-target
500,0.233,350,target
500,0.0,351,off-target
500,0.599,351,target
500,0.0,352,off-target
500,0.376,352,target
500,0.0,353,off-target
500,0.644,353,target
500,0.0,354,off-target
500,0.732,354,target
500,0.0,355,off-target
500,0.833,355,target
500,0.0,356,off-target
500,0.293,356,target
500,0.0,357,off-target
500,0.202,357,target
500,0.0,358,off-target
500,0.636,358,target
500,0.0,359,off-target
500,0.891,359,target
500,0.0,360,off-target
500,0.083,360,target
500,0.0,361,off-target
500,0.334,361,target
500,0.0,362,off-target
500,0.439,362,target
500,0.0,363,off-target
500,0.893,363,target
500,0.002,364,off-target
500,0.007,364,target
500,0.0,365,off-target
500,0.225,365,target
500,0.0,366,off-target
500,0.021,366,target
500,0.0,367,off-target
500,0.219,367,target
500,0.0,368,off-target
500,0.687,368,target
500,0.0,369,off-target
500,0.439,369,target
500,0.0,370,off-target
500,0.267,370,target
500,0.0,371,off-target
500,0.048,371,target
500,0.0,372,off-target
500,0.178,372,target
500,0.0,373,off-target
500,0.82,373,target
500,0.0,374,off-target
500,0.331,374,target
500,0.0,375,off-target
500,0.931,375,target
500,0.002,376,off-target
500,0.629,376,target
500,0.0,377,off-target
500,0.5,377,target
500,0.0,378,off-target
500,0.109,378,target
500,0.0,379,off-target
500,0.875,379,target
500,0.0,380,off-target
500,0.564,380,target
500,0.0,381,off-target
500,0.021,381,target
500,0.0,382,off-target
500,0.549,382,target
500,0.001,383,off-target
500,0.828,383,target
500,0.0,384,off-target
500,0.606,384,target
500,0.0,385,off-target
500,0.754,385,target
500,0.0,386,off-target
500,0.311,386,target
500,0.0,387,off-target
500,0.26,387,target
500,0.0,388,off-target
500,0.586,388,target
500,0.0,389,off-target
500,0.525,389,target
500,0.0,390,off-target
500,0.278,390,target
500,0.002,391,off-target
500,0.915,391,target
500,0.0,392,off-target
500,0.775,392,target
500,0.0,393,off-target
500,0.333,393,target
500,0.0,394,off-target
500,0.939,394,target
500,0.0,395,off-target
500,0.791,395,target
500,0.0,396,off-target
500,0.113,396,target
500,0.0,397,off-target
500,0.573,397,target
500,0.0,398,off-target
500,0.878,398,target
500,0.0,399,off-target
500,0.458,399,target
500,0.001,400,off-target
500,0.675,400,target
500,0.0,401,off-target
500,0.612,401,target
500,0.0,402,off-target
500,0.794,402,target
500,0.003,403,off-target
500,0.747,403,target
500,0.0,404,off-target
500,0.591,404,target
500,0.0,405,off-target
500,0.15,405,target
500,0.0,406,off-target
500,0.85,406,target
500,0.0,407,off-target
500,0.628,407,target
500,0.0,408,off-target
500,0.467,408,target
500,0.0,409,off-target
500,0.126,409,target
500,0.0,410,off-target
500,0.581,410,target
500,0.0,411,off-target
500,0.764,411,target
500,0.0,412,off-target
500,0.2,412,target
500,0.0,413,off-target
500,0.434,413,target
500,0.0,414,off-target
500,0.394,414,target
500,0.0,415,off-target
500,0.572,415,target
500,0.0,416,off-target
500,0.404,416,target
500,0.0,417,off-target
500,0.729,417,target
500,0.0,418,off-target
500,0.401,418,target
500,0.0,419,off-target
500,0.895,419,target
500,0.003,420,off-target
500,0.966,420,target
500,0.0,421,off-target
500,0.104,421,target
500,0.0,422,off-target
500,0.193,422,target
500,0.0,423,off-target
500,0.307,423,target
500,0.0,424,off-target
500,0.526,424,target
500,0.0,425,off-target
500,0.908,425,target
500,0.0,426,off-target
500,0.898,426,target
500,0.0,427,off-target
500,0.457,427,target
500,0.0,428,off-target
500,0.083,428,target
500,0.0,429,off-target
500,0.215,429,target
500,0.0,430,off-target
500,0.732,430,target
500,0.0,431,off-target
500,0.855,431,target
500,0.0,432,off-target
500,0.994,432,target
500,0.0,433,off-target
500,0.198,433,target
500,0.0,434,off-target
500,0.159,434,target
500,0.0,435,off-target
500,0.838,435,target
500,0.0,436,off-target
500,0.556,436,target
500,0.0,437,off-target
500,0.715,437,target
500,0.0,438,off-target
500,0.206,438,target
500,0.0,439,off-target
500,0.384,439,target
500,0.0,440,off-target
500,0.969,440,target
500,0.0,441,off-target
500,0.226,441,target
500,0.0,442,off-target
500,0.69,442,target
500,0.0,443,off-target
500,0.821,443,target
500,0.0,444,off-target
500,0.077,444,target
500,0.0,445,off-target
500,0.353,445,target
500,0.0,446,off-target
500,0.486,446,target
500,0.0,447,off-target
500,0.873,447,target
500,0.0,448,off-target
500,0.202,448,target
500,0.0,449,off-target
500,0.143,449,target
500,0.0,450,off-target
500,0.349,450,target
500,0.0,451,off-target
500,0.31,451,target
500,0.0,452,off-target
500,0.697,452,target
500,0.0,453,off-target
500,0.666,453,target
500,0.0,454,off-target
500,0.261,454,target
500,0.0,455,off-target
500,0.871,455,target
500,0.0,456,off-target
500,0.302,456,target
500,0.0,457,off-target
500,0.827,457,target
500,0.0,458,off-target
500,0.788,458,target
500,0.0,459,off-target
500,0.868,459,target
500,0.0,460,off-target
500,0.186,460,target
500,0.0,461,off-target
500,0.248,461,target
500,0.0,462,off-target
500,0.018,462,target
500,0.0,463,off-target
500,0.944,463,target
500,0.0,464,off-target
500,0.198,464,target
500,0.0,465,off-target
500,0.544,465,target
500,0.0,466,off-target
500,0.157,466,target
500,0.0,467,off-target
500,0.716,467,target
500,0.0,468,off-target
500,0.499,468,target
500,0.0,469,off-target
500,0.31,469,target
500,0.0,470,off-target
500,0.643,470,target
500,0.0,471,off-target
500,0.828,471,target
500,0.0,472,off-target
500,0.275,472,target
500,0.0,473,off-target
500,0.873,473,target
500,0.0,474,off-target
500,0.569,474,target
500,0.0,475,off-target
500,0.585,475,target
500,0.0,476,off-target
500,0.502,476,target
500,0.0,477,off-target
500,0.731,477,target
500,0.0,478,off-target
500,0.773,478,target
500,0.0,479,off-target
500,0.964,479,target
500,0.0,480,off-target
500,0.475,480,target
500,0.0,481,off-target
500,0.753,481,target
500,0.002,482,off-target
500,0.504,482,target
500,0.0,483,off-target
500,0.786,483,target
500,0.0,484,off-target
500,0.198,484,target
500,0.0,485,off-target
500,0.145,485,target
500,0.0,486,off-target
500,0.671,486,target
500,0.0,487,off-target
500,0.608,487,target
500,0.0,488,off-target
500,0.212,488,target
500,0.0,489,off-target
500,0.198,489,target
500,0.0,490,off-target
500,0.191,490,target
500,0.0,491,off-target
500,0.421,491,target
500,0.0,492,off-target
500,0.194,492,target
500,0.008,493,off-target
