n,t,p_value,seed,type
500,50,0.012,26,off-target
500,50,0.124,26,target
500,0,0.264,27,off-target
500,0,0.578,27,target
500,10,0.041,27,off-target
500,10,0.46,27,target
500,25,0.027,27,off-target
500,25,0.088,27,target
500,50,0.016,27,off-target
500,50,0.085,27,target
500,0,0.919,28,off-target
500,0,0.512,28,target
500,10,0.18,28,off-target
500,10,0.188,28,target
500,25,0.004,28,off-target
500,25,0.059,28,target
500,50,0.179,28,off-target
500,50,0.121,28,target
500,0,0.404,29,off-target
500,0,0.027,29,target
500,10,0.059,29,off-target
500,10,0.176,29,target
500,25,0.052,29,off-target
500,25,0.15,29,target
500,50,0.045,29,off-target
500,50,0.289,29,target
500,0,0.05,30,off-target
500,0,0.439,30,target
500,10,0.005,30,off-target
500,10,0.068,30,target
500,25,0.064,30,off-target
500,25,0.458,30,target
500,50,0.089,30,off-target
500,50,0.29,30,target
500,0,0.771,31,off-target
500,0,0.566,31,target
500,10,0.042,31,off-target
500,10,0.42,31,target
500,25,0.036,31,off-target
500,25,0.284,31,target
500,50,0.091,31,off-target
500,50,0.229,31,target
500,0,0.506,32,off-target
500,0,0.388,32,target
500,10,0.087,32,off-target
500,10,0.267,32,target
500,25,0.03,32,off-target
500,25,0.41,32,target
500,50,0.055,32,off-target
500,50,0.248,32,target
500,0,0.287,33,off-target
500,0,0.035,33,target
500,10,0.022,33,off-target
500,10,0.131,33,target
500,25,0.077,33,off-target
500,25,0.567,33,target
500,50,0.067,33,off-target
500,50,0.202,33,target
500,0,0.081,34,off-target
500,0,0.865,34,target
500,10,0.03,34,off-target
500,10,0.042,34,target
500,25,0.076,34,off-target
500,25,0.048,34,target
500,50,0.173,34,off-target
500,50,0.055,34,target
500,0,0.369,35,off-target
500,0,0.519,35,target
500,10,0.009,35,off-target
500,10,0.506,35,target
500,25,0.18,35,off-target
500,25,0.064,35,target
500,50,0.022,35,off-target
500,50,0.555,35,target
500,0,0.112,36,off-target
500,0,0.45,36,target
500,10,0.011,36,off-target
500,10,0.07,36,target
500,25,0.001,36,off-target
500,25,0.52,36,target
500,50,0.096,36,off-target
500,50,0.287,36,target
500,0,0.426,37,off-target
500,0,0.6,37,target
500,10,0.135,37,off-target
500,10,0.504,37,target
500,25,0.108,37,off-target
500,25,0.137,37,target
500,50,0.017,37,off-target
500,50,0.472,37,target
500,0,0.072,38,off-target
500,0,0.105,38,target
500,10,0.04,38,off-target
500,10,0.508,38,target
500,25,0.069,38,off-target
500,25,0.239,38,target
500,50,0.09,38,off-target
500,50,0.171,38,target
500,0,0.705,39,off-target
500,0,0.525,39,target
500,10,0.034,39,off-target
500,10,0.176,39,target
500,25,0.009,39,off-target
500,25,0.254,39,target
500,50,0.087,39,off-target
500,50,0.036,39,target
500,0,0.558,40,off-target
500,0,0.873,40,target
500,10,0.026,40,off-target
500,10,0.041,40,target
500,25,0.0,40,off-target
500,25,0.328,40,target
500,50,0.132,40,off-target
500,50,0.069,40,target
500,0,0.091,41,off-target
500,0,0.968,41,target
500,10,0.019,41,off-target
500,10,0.202,41,target
500,25,0.017,41,off-target
500,25,0.141,41,target
500,50,0.061,41,off-target
500,50,0.251,41,target
500,0,0.217,42,off-target
500,0,0.386,42,target
500,10,0.011,42,off-target
500,10,0.258,42,target
500,25,0.043,42,off-target
500,25,0.792,42,target
500,50,0.098,42,off-target
500,50,0.133,42,target
500,0,0.808,43,off-target
500,0,0.92,43,target
500,10,0.008,43,off-target
500,10,0.05,43,target
500,25,0.134,43,off-target
500,25,0.1,43,target
500,50,0.018,43,off-target
500,50,0.315,43,target
500,0,0.368,44,off-target
500,0,0.61,44,target
500,10,0.027,44,off-target
500,10,0.222,44,target
500,25,0.021,44,off-target
500,25,0.056,44,target
500,50,0.064,44,off-target
500,50,0.14,44,target
500,0,0.73,45,off-target
500,0,0.914,45,target
500,10,0.056,45,off-target
500,10,0.343,45,target
500,25,0.021,45,off-target
500,25,0.053,45,target
500,50,0.036,45,off-target
500,50,0.434,45,target
500,0,0.76,46,off-target
500,0,0.844,46,target
500,10,0.042,46,off-target
500,10,0.042,46,target
500,25,0.033,46,off-target
500,25,0.023,46,target
500,50,0.0,46,off-target
500,50,0.474,46,target
500,0,0.329,47,off-target
500,0,0.716,47,target
500,10,0.061,47,off-target
500,10,0.349,47,target
500,25,0.062,47,off-target
500,25,0.273,47,target
500,50,0.014,47,off-target
500,50,0.011,47,target
500,0,0.343,48,off-target
500,0,0.286,48,target
500,10,0.095,48,off-target
500,10,0.106,48,target
500,25,0.156,48,off-target
500,25,0.398,48,target
500,50,0.003,48,off-target
500,50,0.301,48,target
500,0,0.572,49,off-target
500,0,0.984,49,target
500,10,0.013,49,off-target
500,10,0.506,49,target
500,25,0.244,49,off-target
500,25,0.112,49,target
500,50,0.049,49,off-target
500,50,0.116,49,target
500,0,0.401,50,off-target
500,0,0.915,50,target
500,10,0.239,50,off-target
500,10,0.312,50,target
500,25,0.11,50,off-target
500,25,0.621,50,target
500,50,0.035,50,off-target
500,50,0.078,50,target
500,0,0.072,51,off-target
500,0,0.91,51,target
500,10,0.066,51,off-target
500,10,0.007,51,target
500,25,0.043,51,off-target
500,25,0.326,51,target
500,50,0.142,51,off-target
500,50,0.445,51,target
500,0,0.021,52,off-target
500,0,0.188,52,target
500,10,0.0,52,off-target
500,10,0.191,52,target
500,25,0.024,52,off-target
500,25,0.436,52,target
500,50,0.013,52,off-target
500,50,0.068,52,target
500,0,0.423,53,off-target
500,0,0.08,53,target
500,10,0.096,53,off-target
500,10,0.036,53,target
500,25,0.009,53,off-target
500,25,0.006,53,target
500,50,0.031,53,off-target
500,50,0.099,53,target
500,0,0.376,54,off-target
500,0,0.494,54,target
500,10,0.04,54,off-target
500,10,0.193,54,target
500,25,0.026,54,off-target
500,25,0.116,54,target
500,50,0.004,54,off-target
500,50,0.026,54,target
500,0,0.404,55,off-target
500,0,0.801,55,target
500,10,0.033,55,off-target
500,10,0.475,55,target
500,25,0.05,55,off-target
500,25,0.093,55,target
500,50,0.033,55,off-target
500,50,0.04,55,target
500,0,0.765,56,off-target
500,0,0.31,56,target
500,10,0.001,56,off-target
500,10,0.0,56,target
500,25,0.015,56,off-target
500,25,0.345,56,target
500,50,0.035,56,off-target
500,50,0.202,56,target
500,0,0.715,57,off-target
500,0,0.808,57,target
500,10,0.01,57,off-target
500,10,0.374,57,target
500,25,0.007,57,off-target
500,25,0.134,57,target
500,50,0.023,57,off-target
500,50,0.044,57,target
