n,p_value,seed,type
500,0.68,126,target
500,0.0,127,off-target
500,0.32,127,target
500,0.0,128,off-target
500,0.842,128,target
500,0.0,129,off-target
500,0.464,129,target
500,0.0,130,off-target
500,0.735,130,target
500,0.0,131,off-target
500,0.869,131,target
500,0.0,132,off-target
500,0.391,132,target
500,0.0,133,off-target
500,0.858,133,target
500,0.0,134,off-target
500,0.896,134,target
500,0.0,135,off-target
500,0.62,135,target
500,0.0,136,off-target
500,0.735,136,target
500,0.0,137,off-target
500,0.774,137,target
500,0.0,138,off-target
500,0.984,138,target
500,0.0,139,off-target
500,0.41,139,target
500,0.0,140,off-target
500,0.274,140,target
500,0.0,141,off-target
500,0.059,141,target
500,0.0,142,off-target
500,0.619,142,target
500,0.0,143,off-target
500,0.613,143,target
500,0.0,144,off-target
500,0.322,144,target
500,0.0,145,off-target
500,0.176,145,target
500,0.0,146,off-target
500,0.906,146,target
500,0.0,147,off-target
500,0.409,147,target
500,0.0,148,off-target
500,0.403,148,target
500,0.0,149,off-target
500,0.334,149,target
500,0.0,150,off-target
500,0.198,150,target
500,0.0,151,off-target
500,0.215,151,target
500,0.0,152,off-target
500,0.423,152,target
500,0.0,153,off-target
500,0.542,153,target
500,0.0,154,off-target
500,0.286,154,target
500,0.0,155,off-target
500,0.808,155,target
500,0.0,156,off-target
500,0.52,156,target
500,0.0,157,off-target
500,0.374,157,target
500,0.0,158,off-target
500,0.75,158,target
500,0.0,159,off-target
500,0.961,159,target
500,0.0,160,off-target
500,0.538,160,target
500,0.0,161,off-target
500,0.702,161,target
500,0.0,162,off-target
500,0.499,162,target
500,0.0,163,off-target
500,0.402,163,target
500,0.0,164,off-target
500,0.588,164,target
500,0.0,165,off-target
500,0.335,165,target
500,0.0,166,off-target
500,0.965,166,target
500,0.0,167,off-target
500,0.272,167,target
500,0.0,168,off-target
500,0.638,168,target
500,0.0,169,off-target
500,0.689,169,target
500,0.0,170,off-target
500,0.936,170,target
500,0.0,171,off-target
500,0.053,171,target
500,0.0,172,off-target
500,0.499,172,target
500,0.0,173,off-target
500,0.659,173,target
500,0.0,174,off-target
500,0.651,174,target
500,0.0,175,off-target
500,0.82,175,target
500,0.0,176,off-target
500,0.529,176,target
500,0.0,177,off-target
500,0.536,177,target
500,0.0,178,off-target
500,0.716,178,target
500,0.0,179,off-target
500,0.288,179,target
500,0.0,180,off-target
500,0.238,180,target
500,0.0,181,off-target
500,0.057,181,target
