n,t,p_value,seed,type
500,1200,0.241,25,off-target
500,1200,0.06,25,target
500,0,0.493,26,off-target
500,0,0.459,26,target
500,800,0.525,26,off-target
500,800,0.628,26,target
500,1000,0.516,26,off-target
500,1000,0.591,26,target
500,1200,0.772,26,off-target
500,1200,0.228,26,target
500,0,0.077,27,off-target
500,0,0.173,27,target
500,800,0.569,27,off-target
500,800,0.845,27,target
500,1000,0.783,27,off-target
500,1000,0.038,27,target
500,1200,0.784,27,off-target
500,1200,0.211,27,target
500,0,0.793,28,off-target
500,0,0.243,28,target
500,800,0.682,28,off-target
500,800,0.538,28,target
500,1000,0.862,28,off-target
500,1000,0.296,28,target
500,1200,0.787,28,off-target
500,1200,0.452,28,target
500,0,0.237,29,off-target
500,0,0.834,29,target
500,800,0.781,29,off-target
500,800,0.658,29,target
500,1000,0.108,29,off-target
500,1000,0.517,29,target
500,1200,0.845,29,off-target
500,1200,0.954,29,target
500,0,0.421,30,off-target
500,0,0.978,30,target
500,800,0.171,30,off-target
500,800,0.626,30,target
500,1000,0.899,30,off-target
500,1000,0.402,30,target
500,1200,0.213,30,off-target
500,1200,0.736,30,target
500,0,0.586,31,off-target
500,0,0.3,31,target
500,800,0.144,31,off-target
500,800,0.662,31,target
500,1000,0.551,31,off-target
500,1000,0.579,31,target
500,1200,0.062,31,off-target
500,1200,0.736,31,target
500,0,0.408,32,off-target
500,0,0.868,32,target
500,800,0.209,32,off-target
500,800,0.012,32,target
500,1000,0.657,32,off-target
500,1000,0.782,32,target
500,1200,0.646,32,off-target
500,1200,0.71,32,target
500,0,0.543,33,off-target
500,0,0.47,33,target
500,800,0.844,33,off-target
500,800,0.721,33,target
500,1000,0.408,33,off-target
500,1000,0.001,33,target
500,1200,0.737,33,off-target
500,1200,0.663,33,target
500,0,0.857,34,off-target
500,0,0.607,34,target
500,800,0.205,34,off-target
500,800,0.237,34,target
500,1000,0.233,34,off-target
500,1000,0.912,34,target
500,1200,0.146,34,off-target
500,1200,0.608,34,target
500,0,0.172,35,off-target
500,0,0.552,35,target
500,800,0.769,35,off-target
500,800,0.453,35,target
500,1000,0.624,35,off-target
500,1000,0.529,35,target
500,1200,0.968,35,off-target
500,1200,0.123,35,target
500,0,0.635,36,off-target
500,0,0.219,36,target
500,800,0.961,36,off-target
500,800,0.166,36,target
500,1000,0.043,36,off-target
500,1000,0.447,36,target
500,1200,0.81,36,off-target
500,1200,0.615,36,target
500,0,0.412,37,off-target
500,0,0.966,37,target
500,800,0.102,37,off-target
500,800,0.986,37,target
500,1000,0.372,37,off-target
500,1000,0.016,37,target
500,1200,0.737,37,off-target
500,1200,0.763,37,target
500,0,0.371,38,off-target
500,0,0.676,38,target
500,800,0.433,38,off-target
500,800,0.604,38,target
500,1000,0.454,38,off-target
500,1000,0.559,38,target
500,1200,0.778,38,off-target
500,1200,0.09,38,target
500,0,0.217,39,off-target
500,0,0.704,39,target
500,800,0.875,39,off-target
500,800,0.065,39,target
500,1000,0.553,39,off-target
500,1000,0.38,39,target
500,1200,0.382,39,off-target
500,1200,0.341,39,target
500,0,0.357,40,off-target
500,0,0.553,40,target
500,800,0.982,40,off-target
500,800,0.909,40,target
500,1000,0.268,40,off-target
500,1000,0.352,40,target
500,1200,0.367,40,off-target
500,1200,0.457,40,target
500,0,0.577,41,off-target
500,0,0.45,41,target
500,800,0.649,41,off-target
500,800,0.77,41,target
500,1000,0.082,41,off-target
500,1000,0.914,41,target
500,1200,0.718,41,off-target
500,1200,0.352,41,target
500,0,0.132,42,off-target
500,0,0.567,42,target
500,800,0.238,42,off-target
500,800,0.344,42,target
