n,ksd,var_est,seed,type
100,0.039224878,2.167860391668686e-06,8,target
100,0.079151995,0.0001344591122819658,9,off-target
100,0.04171009,0.0001344591122819658,9,target
200,0.01716051,6.070982085447336e-07,0,off-target
200,0.02523646,6.070982085447336e-07,0,target
200,0.051356163,4.0095873981343665e-07,1,off-target
200,0.033543065,4.0095873981343665e-07,1,target
200,0.09677937,0.0033744028119331443,2,off-target
200,0.024860702,0.0033744028119331443,2,target
200,0.02566082,1.968748162825746e-05,3,off-target
200,0.05388349,1.968748162825746e-05,3,target
200,0.044135265,1.437382591239992e-05,4,off-target
200,0.031669565,1.437382591239992e-05,4,target
200,0.041838493,4.19871683628696e-06,5,off-target
200,0.04247036,4.19871683628696e-06,5,target
200,0.030964488,7.685495171717328e-08,6,off-target
200,0.021565923,7.685495171717328e-08,6,target
200,0.035404876,2452432.8477699906,7,off-target
200,0.037563287,2452432.8477699906,7,target
200,0.028654575,5.993462151003429e-06,8,off-target
200,0.032617502,5.993462151003429e-06,8,target
200,0.03432524,9.41167266659953e-08,9,off-target
200,0.06152829,9.41167266659953e-08,9,target
300,0.022366146,9.22216599913043e-06,0,off-target
300,0.020141076,9.22216599913043e-06,0,target
300,0.017663507,9.295746077792955e-06,1,off-target
300,0.018712794,9.295746077792955e-06,1,target
300,0.015681373,6.807769789812877e-05,2,off-target
300,0.027605738,6.807769789812877e-05,2,target
300,0.010263932,27.18266081647016,3,off-target
300,0.006003016,27.18266081647016,3,target
300,0.017671712,7458993.090540171,4,off-target
300,0.02648203,7458993.090540171,4,target
300,0.021205919,6.936378918560729e-06,5,off-target
300,0.017919058,6.936378918560729e-06,5,target
300,0.008821149,15.706011975151398,6,off-target
300,0.006124815,15.706011975151398,6,target
300,0.014463942,5.402322858860503e-07,7,off-target
300,0.022383995,5.402322858860503e-07,7,target
300,0.005795091,5.048971404923805,8,off-target
300,0.0044721966,5.048971404923805,8,target
300,0.022905646,4.048843949670093e-08,9,off-target
300,0.018700663,4.048843949670093e-08,9,target
400,0.018058445,2669089.6035006046,0,off-target
400,0.006395716,2669089.6035006046,0,target
400,0.01052047,2090994.3728047013,1,off-target
400,0.017113343,2090994.3728047013,1,target
400,0.012260774,6.6105429323911835,2,off-target
400,0.004528748,6.6105429323911835,2,target
400,0.009951237,7.9915483132836584,3,off-target
400,0.0019273078,7.9915483132836584,3,target
400,0.020441743,5.264550613743126e-07,4,off-target
400,0.03047636,5.264550613743126e-07,4,target
400,0.014630538,7656683.518754005,5,off-target
400,0.018478232,7656683.518754005,5,target
400,0.02161273,3.465801640254938e-07,6,off-target
400,0.014459038,3.465801640254938e-07,6,target
400,0.016487045,5.020650701269074e-06,7,off-target
400,0.011623869,5.020650701269074e-06,7,target
400,0.015591743,242.61989324208935,8,off-target
400,0.026298052,242.61989324208935,8,target
400,0.009489021,3.404191002631522e-05,9,off-target
400,0.014989743,3.404191002631522e-05,9,target
500,0.014293121,10.849032818256092,0,off-target
500,0.0033724213,10.849032818256092,0,target
500,0.0144870635,6.742163461151222,1,off-target
500,0.0010753799,6.742163461151222,1,target
500,0.017030412,8.705655727317207,2,off-target
500,0.0015812287,8.705655727317207,2,target
500,0.008463321,577167.2002459913,3,off-target
500,0.009602566,577167.2002459913,3,target
500,0.007473413,0.3810148856501314,4,off-target
500,0.00772247,0.3810148856501314,4,target
500,0.011532036,8.161041060966966,5,off-target
500,0.0023216782,8.161041060966966,5,target
500,0.01358711,7.254750305404099e-07,6,off-target
500,0.005235846,7.254750305404099e-07,6,target
500,0.0125052,0.3641450688770078,7,off-target
500,0.009131482,0.3641450688770078,7,target
500,0.011366213,7.968266695136265,8,off-target
500,0.0009320801,7.968266695136265,8,target
500,0.0067143952,12.388221311602138,9,off-target
500,0.0012457795,12.388221311602138,9,target
600,0.013699347,7.774618428040924,0,off-target
600,0.0042122756,7.774618428040924,0,target
600,0.0064673647,10672550.428304732,1,off-target
600,0.010952029,10672550.428304732,1,target
600,0.012090471,6.833430182956457e-05,2,off-target
600,0.018592475,6.833430182956457e-05,2,target
600,0.016101532,9.966276902085083e-05,3,off-target
600,0.011468854,9.966276902085083e-05,3,target
600,0.008014123,2202861.0903859735,4,off-target
600,0.01627318,2202861.0903859735,4,target
600,0.007850808,0.11488248158829961,5,off-target
600,0.01592851,0.11488248158829961,5,target
600,0.005879542,3.700476204572624,6,off-target
600,0.0023604457,3.700476204572624,6,target
600,0.007715735,10.574479636867181,7,off-target
600,0.0008330133,10.574479636867181,7,target
600,0.007768441,22.625696265224406,8,off-target
600,0.0018756988,22.625696265224406,8,target
600,0.011250649,6.620569239407814,9,off-target
600,0.0007832877,6.620569239407814,9,target
700,0.009766237,8.308466371292752,0,off-target
700,0.0025404163,8.308466371292752,0,target
700,0.013343239,6.103405553140192,1,off-target
700,0.0012127545,6.103405553140192,1,target
700,0.0074991654,0.00022802311974801093,2,off-target
700,0.009162298,0.00022802311974801093,2,target
700,0.010306802,10.327573829491087,3,off-target
700,0.00067518896,10.327573829491087,3,target
700,0.010136312,2397686.6661887765,4,off-target
700,0.008832043,2397686.6661887765,4,target
700,0.00867372,5.197933476043545,5,off-target
700,0.00058014225,5.197933476043545,5,target
700,0.008411331,7.841154675080361,6,off-target
700,0.0010022596,7.841154675080361,6,target
700,0.01275905,1.4961439105417278e-06,7,off-target
700,0.010390563,1.4961439105417278e-06,7,target
700,0.007894671,5.257066084898781,8,off-target
700,0.0012798371,5.257066084898781,8,target
700,0.0057270783,1.1537533954017904e-06,9,off-target
700,0.0067015416,1.1537533954017904e-06,9,target
800,0.007215246,22.3039234376929,0,off-target
800,0.00096193195,22.3039234376929,0,target
800,0.009203369,12.592512593919537,1,off-target
800,0.00080038427,12.592512593919537,1,target
800,0.01950973,44506.229679846205,2,off-target
800,0.0043400144,44506.229679846205,2,target
800,0.0110931825,11.562325632702596,3,off-target
800,0.0018677473,11.562325632702596,3,target
800,0.009751362,11.06360808188498,4,off-target
800,0.0017720973,11.06360808188498,4,target
800,0.009340496,12.023554398155284,5,off-target
800,0.0011772716,12.023554398155284,5,target
800,0.018573191,1164112.1874010712,6,off-target
800,0.017730074,1164112.1874010712,6,target
800,0.021168571,4362.528323069215,7,off-target
800,0.010614631,4362.528323069215,7,target
800,0.0068871593,0.06927222407640343,8,off-target
800,0.012925,0.06927222407640343,8,target
800,0.006498809,13.936791687499465,9,off-target
800,0.0012815446,13.936791687499465,9,target
900,0.008686782,8.093466252528799,0,off-target
900,0.0013371937,8.093466252528799,0,target
900,0.0061100153,18.950030214460867,1,off-target
900,0.0012998256,18.950030214460867,1,target
