n,ksd,var_est,seed,type
10,0.17831056,21.342676241011077,0,off-target
10,0.24928054,21.342676241011077,0,target
10,0.123761296,6.877808575519339,1,off-target
10,0.09857984,6.877808575519339,1,target
10,0.8218105,4.050827882204886e-05,2,off-target
10,1.3554891,4.050827882204886e-05,2,target
10,0.9821763,0.001331561210187196,3,off-target
10,0.9372221,0.001331561210187196,3,target
10,0.7335284,1.3608579529028088e-05,4,off-target
10,0.23552093,1.3608579529028088e-05,4,target
10,0.48395404,9.308489027694267e-05,5,off-target
10,0.66303945,9.308489027694267e-05,5,target
10,0.77859354,0.00010843916897631482,6,off-target
10,0.29062483,0.00010843916897631482,6,target
10,0.9245236,9.409678104428752e-05,7,off-target
10,0.7028111,9.409678104428752e-05,7,target
10,0.51912117,8.765824036965301e-05,8,off-target
10,0.5609381,8.765824036965301e-05,8,target
10,0.55601627,3.148338501985878e-05,9,off-target
10,0.973151,3.148338501985878e-05,9,target
20,0.24036954,0.2012718764346113,0,off-target
20,0.37801933,0.2012718764346113,0,target
20,0.47534558,1.0431254044270194e-05,1,off-target
20,0.1667876,1.0431254044270194e-05,1,target
20,0.17911361,89195.02703745011,2,off-target
20,0.24038112,89195.02703745011,2,target
20,0.26367092,1.3980008316191945e-05,3,off-target
20,0.3516396,1.3980008316191945e-05,3,target
20,0.4168554,9.594332646390932e-07,4,off-target
20,0.36240685,9.594332646390932e-07,4,target
20,0.2396465,0.0013120462144867867,5,off-target
20,0.37645376,0.0013120462144867867,5,target
20,0.3313649,5.291752170000832e-07,6,off-target
20,0.2211401,5.291752170000832e-07,6,target
20,0.41751984,0.00017573070597250943,7,off-target
20,0.5140578,0.00017573070597250943,7,target
20,0.2778924,0.21085196289745056,8,off-target
20,0.09804152,0.21085196289745056,8,target
20,0.19638337,26585.08455641591,9,off-target
20,0.2142727,26585.08455641591,9,target
40,0.17455876,1.0747126800259932e-05,0,off-target
40,0.22321017,1.0747126800259932e-05,0,target
40,0.088330984,3.0405342032482907e-05,1,off-target
40,0.10680613,3.0405342032482907e-05,1,target
40,0.10867785,6.923352262229008e-08,2,off-target
40,0.13961034,6.923352262229008e-08,2,target
40,0.086505264,1.2026733991527384e-05,3,off-target
40,0.36410254,1.2026733991527384e-05,3,target
40,0.17428032,1.1133178190969687e-06,4,off-target
40,0.09178551,1.1133178190969687e-06,4,target
40,0.18262759,0.00030376081314995376,5,off-target
40,0.081251875,0.00030376081314995376,5,target
40,0.23046668,2.2260217260023554e-07,6,off-target
40,0.08410124,2.2260217260023554e-07,6,target
40,0.19021472,0.00013927918019263075,7,off-target
40,0.15670967,0.00013927918019263075,7,target
40,0.10093774,1.5583709552262218e-05,8,off-target
40,0.100841716,1.5583709552262218e-05,8,target
40,0.12427832,3.418456713754855e-07,9,off-target
40,0.108911134,3.418456713754855e-07,9,target
60,0.15921944,0.14750910793040717,0,off-target
60,0.08221774,0.14750910793040717,0,target
60,0.07270563,3.986596237215423e-05,1,off-target
60,0.045013998,3.986596237215423e-05,1,target
60,0.090989314,1.914086259710362e-06,2,off-target
60,0.09726919,1.914086259710362e-06,2,target
60,0.13594611,0.0003973823449449389,3,off-target
60,0.08063161,0.0003973823449449389,3,target
60,0.19013257,1.772259575921368e-07,4,off-target
60,0.054373875,1.772259575921368e-07,4,target
60,0.10958913,6903.927205801941,5,off-target
60,0.13537192,6903.927205801941,5,target
60,0.14389294,153104.67055593524,6,off-target
60,0.06474379,153104.67055593524,6,target
60,0.073501505,0.0004601387737231989,7,off-target
60,0.12261181,0.0004601387737231989,7,target
60,0.108711354,1.042621929374036,8,off-target
60,0.03619332,1.042621929374036,8,target
60,0.1755998,2.439213841557236e-06,9,off-target
60,0.13340293,2.439213841557236e-06,9,target
80,0.04521703,0.3568291603883722,0,off-target
80,0.063369796,0.3568291603883722,0,target
80,0.05309406,1.232947474412232e-06,1,off-target
80,0.17019953,1.232947474412232e-06,1,target
80,0.1177862,5.729720706781904e-07,2,off-target
80,0.044148482,5.729720706781904e-07,2,target
80,0.094413266,0.5143535840974813,3,off-target
80,0.01975409,0.5143535840974813,3,target
80,0.06333211,3.2880169314935206e-08,4,off-target
80,0.043789968,3.2880169314935206e-08,4,target
80,0.05543369,5.8962325948175645e-06,5,off-target
80,0.079773225,5.8962325948175645e-06,5,target
80,0.11993961,3.846431597232837e-06,6,off-target
80,0.06303308,3.846431597232837e-06,6,target
80,0.064810604,1.2790685194075677e-07,7,off-target
80,0.06153363,1.2790685194075677e-07,7,target
80,0.08843963,0.0005974865919752305,8,off-target
80,0.11974273,0.0005974865919752305,8,target
80,0.055953562,1.3415107713596417e-06,9,off-target
80,0.14183396,1.3415107713596417e-06,9,target
100,0.07416027,3.453052412027459e-06,0,off-target
100,0.08103678,3.453052412027459e-06,0,target
100,0.10081618,0.00017382256589927592,1,off-target
100,0.065658234,0.00017382256589927592,1,target
100,0.04626444,1.3268966667367242e-07,2,off-target
100,0.04268464,1.3268966667367242e-07,2,target
100,0.06772338,2.9498307783931027e-06,3,off-target
100,0.07422881,2.9498307783931027e-06,3,target
100,0.10395836,8.330328073350824e-07,4,off-target
100,0.16319294,8.330328073350824e-07,4,target
100,0.016938608,9.771948586049405,5,off-target
100,0.0057097995,9.771948586049405,5,target
100,0.03631461,2.1085887036442243e-07,6,off-target
100,0.0776474,2.1085887036442243e-07,6,target
100,0.04120927,1.2856714804192345e-05,7,off-target
100,0.106834434,1.2856714804192345e-05,7,target
100,0.055044357,5.2655223176537157e-08,8,off-target
100,0.06104127,5.2655223176537157e-08,8,target
100,0.12056984,1.0063991725843335e-06,9,off-target
100,0.07037128,1.0063991725843335e-06,9,target
200,0.04183628,1.0639724288948402e-06,0,off-target
200,0.02517706,1.0639724288948402e-06,0,target
200,0.0458959,1.231084620406882e-07,1,off-target
200,0.024573917,1.231084620406882e-07,1,target
200,0.033099327,0.49750749774208103,2,off-target
200,0.013287754,0.49750749774208103,2,target
200,0.07482102,0.0023169417612201176,3,off-target
200,0.051200524,0.0023169417612201176,3,target
200,0.03612955,1.0779308194196915,4,off-target
200,0.025897598,1.0779308194196915,4,target
200,0.05935074,1.2926687675207188e-06,5,off-target
200,0.03479369,1.2926687675207188e-06,5,target
200,0.055020943,6.95830511341237e-07,6,off-target
200,0.037642784,6.95830511341237e-07,6,target
200,0.0241327,1.1972328519170973e-05,7,off-target
200,0.0353333,1.1972328519170973e-05,7,target
200,0.023883915,9.556573170166338e-05,8,off-target
200,0.02382927,9.556573170166338e-05,8,target
200,0.026163874,1.5067604735977992e-07,9,off-target
200,0.02791854,1.5067604735977992e-07,9,target
300,0.063715346,0.09047952579017338,0,off-target
300,0.014982682,0.09047952579017338,0,target
300,0.03755656,0.7034683752755342,1,off-target
300,0.0076146275,0.7034683752755342,1,target
300,0.02946318,0.40871415440193815,2,off-target
300,0.019099103,0.40871415440193815,2,target
300,0.038127035,9.210605648956078e-08,3,off-target
300,0.018361766,9.210605648956078e-08,3,target
300,0.025622321,6.880131718664615e-05,4,off-target
300,0.013386306,6.880131718664615e-05,4,target
300,0.026476711,7.792690039856404e-08,5,off-target
300,0.014357944,7.792690039856404e-08,5,target
300,0.053873647,0.9105371675626692,6,off-target
300,0.01232697,0.9105371675626692,6,target
300,0.03123431,0.5924016494300446,7,off-target
300,0.0065002274,0.5924016494300446,7,target
300,0.012298313,5.340683958077674e-08,8,off-target
300,0.030249633,5.340683958077674e-08,8,target
300,0.053572543,1.486581811133206,9,off-target
300,0.017940711,1.486581811133206,9,target
400,0.034923542,1.0231617264633373e-06,0,off-target
400,0.015887814,1.0231617264633373e-06,0,target
400,0.039983913,0.15715004665572962,1,off-target
400,0.00795949,0.15715004665572962,1,target
400,0.032357357,5.799110736329086e-06,2,off-target
400,0.024616413,5.799110736329086e-06,2,target
400,0.021395655,0.0002906985588585799,3,off-target
400,0.007918844,0.0002906985588585799,3,target
400,0.045019656,0.13863034646394468,4,off-target
400,0.013051109,0.13863034646394468,4,target
400,0.06753824,1.9860695742419422e-05,5,off-target
400,0.009451809,1.9860695742419422e-05,5,target
