n,ksd,var_est,seed,type
10,0.5075502,0.15859231,0,off-target
10,0.48907867,0.19345921,0,target
10,0.3213327,6414.898,1,off-target
10,1.1001822,8973.215,1,target
10,0.61501634,1.8744294e-06,2,off-target
10,0.7606336,0.18503492,2,target
10,0.40819645,0.124341615,3,off-target
10,0.7666763,0.17963459,3,target
10,0.79649466,1.20500845e-05,4,off-target
10,0.21648015,24.788359,4,target
10,0.32969427,0.18744615,5,off-target
10,0.80766225,1.9087533e-07,5,target
10,0.6239787,0.00021681725,6,off-target
10,0.444969,3.6549775e-06,6,target
10,1.352249,0.10428184,7,off-target
10,0.53455484,2.6328944e-05,7,target
10,0.54137117,13755.025,8,off-target
10,0.33716196,2.4071514e-07,8,target
10,0.2677283,53.176617,9,off-target
10,0.4709836,7.1096714e-08,9,target
10,0.39609253,4.914268e-06,10,off-target
10,1.603329,83659.15,10,target
10,0.6710174,0.0012306544,11,off-target
10,0.78810406,0.19274727,11,target
10,0.6635958,5.345711e-07,12,off-target
10,0.4018166,1.4523503e-06,12,target
10,0.47511417,0.10079406,13,off-target
10,0.8533183,1.4216218e-07,13,target
10,0.9650761,1.3266917e-07,14,off-target
10,0.64216226,0.14210214,14,target
10,0.5439278,1.0350092e-06,15,off-target
10,0.44885385,3.7989334e-08,15,target
10,1.2676996,109947.01,16,off-target
10,0.13692226,26.935757,16,target
10,0.5062393,342773.9,17,off-target
10,0.8360415,1.5012155e-07,17,target
10,0.6589319,1.2625381e-07,18,off-target
10,0.27758357,1.8403558e-05,18,target
10,0.14532745,21.671936,19,off-target
10,0.17065968,0.109418385,19,target
20,0.3531345,1.8405376e-06,0,off-target
20,0.45230937,5.6351957e-05,0,target
20,0.107185386,102493.12,1,off-target
20,0.39520016,8.822207e-07,1,target
20,0.30995113,5.823035e-06,2,off-target
20,0.2775386,9.387779e-07,2,target
20,0.61813635,126530.85,3,off-target
20,0.22359197,77021.85,3,target
20,0.30531633,2.0601153e-06,4,off-target
20,0.6130224,1583734.5,4,target
20,0.5667432,43964.773,5,off-target
20,0.38445362,227855.7,5,target
20,0.13476335,0.08685824,6,off-target
20,0.23579362,0.6225463,6,target
20,0.3764847,0.16996902,7,off-target
20,0.3023349,25992448.0,7,target
20,0.2343878,51336.246,8,off-target
20,0.23860636,2.6885462e-07,8,target
20,0.4205429,2882733.5,9,off-target
20,0.16244684,4022011.0,9,target
20,0.029167742,11.304013,10,off-target
20,0.39270592,1.5902471e-07,10,target
20,0.28409976,2.083506e-05,11,off-target
20,0.10412822,0.105870664,11,target
20,0.36962205,2.774559e-07,12,off-target
20,0.07012506,29.164375,12,target
20,0.43550992,7.5849516e-07,13,off-target
20,0.2285665,82868.34,13,target
20,0.17911717,3.6681001e-06,14,off-target
20,0.44139463,3.613274e-08,14,target
20,0.22060795,1.9053343e-05,15,off-target
20,0.13595167,1.0111171e-06,15,target
20,0.6351742,6.7564233e-06,16,off-target
20,0.15075287,2897448.8,16,target
20,0.38716835,2.5076874e-06,17,off-target
20,0.013284855,11.35022,17,target
20,0.27428508,5.122986e-06,18,off-target
20,0.5373676,3.184435e-07,18,target
20,0.35318547,4.817481e-06,19,off-target
20,0.23138422,0.20698664,19,target
40,0.18687247,6.053973e-07,0,off-target
40,0.1478213,0.20069861,0,target
40,0.18577537,2.0568034e-06,1,off-target
