n,ksd,var_est,seed,type
10,0.18994434,18.775213,0,off-target
10,0.8490013,0.000650253,0,target
10,0.73333746,0.16760272,1,off-target
10,0.38327962,1.649314e-06,1,target
10,0.9721824,3.547952e-06,2,off-target
10,0.28629646,0.07150589,2,target
10,0.83964103,0.0014547465,3,off-target
10,0.41887602,0.000496068,3,target
10,0.30166817,30.00254,4,off-target
10,0.55476123,7.602491e-07,4,target
10,0.9432047,1.876344e-05,5,off-target
10,0.29680514,1.4611756e-07,5,target
10,0.6379875,0.00021608958,6,off-target
10,0.62831724,9.717672e-05,6,target
10,0.5690357,0.3016293,7,off-target
10,0.37459648,0.3005831,7,target
10,0.4093534,0.0017065802,8,off-target
10,1.0788894,4.3460528e-07,8,target
10,0.48016834,1.069342e-07,9,off-target
10,0.89814025,2.0359996e-06,9,target
10,0.46377355,58567.03,10,off-target
10,0.17929628,0.35873652,10,target
10,1.2183647,1.208625e-08,11,off-target
10,0.18865034,7.5870603e-06,11,target
10,0.53724223,2.173522e-06,12,off-target
10,0.28350794,0.37916857,12,target
10,0.7980859,2.204653e-06,13,off-target
10,0.9374331,2.6230756e-08,13,target
10,0.89485645,1.112023e-06,14,off-target
10,0.57912517,6.278019e-07,14,target
10,0.7248037,1.0414148e-05,15,off-target
10,0.32913864,4.885954e-08,15,target
10,0.7467512,7.92743e-09,16,off-target
10,0.24282503,2.0085888e-06,16,target
10,0.2033548,0.83945817,17,off-target
10,0.6024511,8.409927e-09,17,target
10,0.6703279,4.3052317e-08,18,off-target
10,0.3192488,1.4822653e-08,18,target
10,0.90820074,2.2823695e-08,19,off-target
10,0.45200878,3.9538765e-08,19,target
20,0.44182146,1.2354539e-07,0,off-target
20,0.1028613,4.540445e-08,0,target
20,0.3790822,965839.7,1,off-target
20,0.15021771,9.3619144e-07,1,target
20,0.33642495,1.040959e-05,2,off-target
20,0.7326368,1.8439098e-07,2,target
20,0.49914786,1.4298152e-07,3,off-target
20,0.30891454,8.322781e-06,3,target
20,0.36575842,1.299954e-08,4,off-target
20,0.4783005,4.1860226e-06,4,target
20,0.33643726,9.967503e-07,5,off-target
20,0.59338593,0.091523916,5,target
20,0.36405265,3.5884086e-06,6,off-target
20,0.25088334,2.584046e-07,6,target
20,0.29869822,0.28294852,7,off-target
20,0.23588991,59833.445,7,target
20,0.34488785,3.0564603e-05,8,off-target
20,0.18693396,6.418035e-07,8,target
20,0.4072565,8.769971e-07,9,off-target
20,0.33727205,3.5056124e-07,9,target
20,0.44472083,2.450821e-08,10,off-target
20,0.26140857,0.00021307792,10,target
20,0.48839292,4.5258158e-08,11,off-target
20,0.38361958,4.6038718e-07,11,target
20,0.7302148,6.5343755e-08,12,off-target
20,0.19803102,3.921312e-08,12,target
20,0.38039765,7.9361143e-07,13,off-target
20,0.39490843,1.699147e-08,13,target
20,0.2911679,8.204628e-07,14,off-target
20,0.213678,1880768.9,14,target
20,0.49018532,4.2684522e-07,15,off-target
20,0.17116378,7.72179e-08,15,target
20,0.5228663,3.3845578e-07,16,off-target
20,0.16680944,1.4921048e-07,16,target
20,0.38902968,0.4499005,17,off-target
20,0.036281355,13.223818,17,target
20,0.56665146,1888081.4,18,off-target
20,0.40817434,0.40669438,18,target
20,0.5230947,2407132.8,19,off-target
20,0.15482487,2.9015303e-07,19,target
40,0.2448512,1.8238672e-05,0,off-target
40,0.20800282,1.17837374e-07,0,target
40,0.3158598,0.16056539,1,off-target
40,0.12238577,1.2695548e-08,1,target
40,0.41011304,3.3852422e-07,2,off-target
40,0.15843685,7.853308e-06,2,target
40,0.16103117,1.4585561e-06,3,off-target
40,0.07054438,5.2956267e-08,3,target
40,0.16095334,6.606775e-08,4,off-target
40,0.108525515,4657971.5,4,target
40,0.46459293,1.6266434e-06,5,off-target
40,0.19349723,8.903063e-08,5,target
40,0.28888926,6.6286776e-07,6,off-target
40,0.17137851,2.9022968e-07,6,target
40,0.20631766,0.23274317,7,off-target
40,0.07149984,2.568272e-06,7,target
40,0.29086214,1.8262177e-06,8,off-target
40,0.25190163,1.689055e-07,8,target
40,0.24863027,2.8562466e-05,9,off-target
40,0.34024477,1.5617042e-08,9,target
40,0.2650488,0.2702454,10,off-target
40,0.08812466,1.3696952e-08,10,target
40,0.34272397,7.584875e-06,11,off-target
40,0.19083464,1.968448e-07,11,target
40,0.55221707,1.0264807e-06,12,off-target
40,0.083288446,1.5953016e-06,12,target
40,0.28686005,4.2838184e-07,13,off-target
40,0.100977376,1.3376385e-06,13,target
40,0.21265507,8.020391e-08,14,off-target
40,0.15320237,6.766989e-05,14,target
40,0.32432872,2.6338284e-05,15,off-target
40,0.21377525,5.2972837e-08,15,target
40,0.21055633,119628.375,16,off-target
40,0.2001949,5.3363465e-08,16,target
40,0.19020906,7.397727e-06,17,off-target
40,0.24125458,0.00021210981,17,target
40,0.2506922,5.744096e-08,18,off-target
40,0.11532906,2.5762506e-07,18,target
40,0.29727167,1.0983079e-08,19,off-target
40,0.18482745,1.640856e-08,19,target
60,0.2799673,0.00044141995,0,off-target
60,0.14720675,1.0043814e-07,0,target
60,0.26072073,863881.06,1,off-target
60,0.12413793,600641.6,1,target
60,0.21194191,1.1000554e-06,2,off-target
60,0.08268699,5.752275e-08,2,target
60,0.29610494,619793.1,3,off-target
60,0.049005423,352819.94,3,target
60,0.18388984,0.22591281,4,off-target
60,0.091270834,0.17608629,4,target
60,0.32781672,2.825556e-07,5,off-target
60,0.026772397,44.53864,5,target
60,0.30432653,1.9265467e-06,6,off-target
60,0.082104035,5.2334816e-08,6,target
60,0.17229462,4.4595545e-05,7,off-target
60,0.14846353,1.0135733e-06,7,target
60,0.22472276,4.0293385e-06,8,off-target
60,0.17797212,2.3453651e-07,8,target
60,0.22797507,78073.1,9,off-target
60,0.06913248,1.3152924e-08,9,target
60,0.27605453,2426419.2,10,off-target
60,0.048108418,2.4746302e-07,10,target
60,0.16782197,7.869944e-08,11,off-target
60,0.043000102,0.16918021,11,target
60,0.17118296,1073444.4,12,off-target
60,0.0674121,6.572732e-06,12,target
60,0.3145301,1.09950946e-07,13,off-target
60,0.06896614,1306830.8,13,target
60,0.20808335,4.681593e-07,14,off-target
60,0.07086623,5.796763e-07,14,target
60,0.14927344,5.5381324e-06,15,off-target
60,0.13933975,5.081376e-07,15,target
60,0.19557114,3.6566928e-06,16,off-target
60,0.15507078,2.2768171e-08,16,target
60,0.22906211,56547.746,17,off-target
60,0.058374498,0.092923716,17,target
60,0.24730042,0.0005336853,18,off-target
60,0.09813215,1.6106137e-07,18,target
60,0.12748092,481710.8,19,off-target
60,0.05662659,254.50658,19,target
80,0.20096496,0.2764936,0,off-target
80,0.048829332,8.320058e-08,0,target
80,0.15535212,0.119799435,1,off-target
80,0.11310299,0.00024880987,1,target
80,0.26766908,9.246838e-05,2,off-target
80,0.10955466,2.0840473e-06,2,target
80,0.18247047,2.2515258e-06,3,off-target
80,0.019506583,12.640621,3,target
80,0.2846274,0.2493958,4,off-target
80,0.061110377,3.0814853e-08,4,target
80,0.19159013,4.827813e-07,5,off-target
80,0.061398074,6.8083983e-07,5,target
80,0.16913086,2.6123845e-07,6,off-target
80,0.11589743,1.902605e-07,6,target
80,0.25301743,0.16772775,7,off-target
80,0.07333875,1.7164925e-08,7,target
80,0.23293307,3.257537e-07,8,off-target
80,0.042458117,2.7855458e-07,8,target
80,0.31700134,2.0477923e-08,9,off-target
80,0.119659126,6.768809e-07,9,target
80,0.26775837,6.50649e-07,10,off-target
80,0.04947765,3.777851e-05,10,target
80,0.25673985,1.8887209e-05,11,off-target
80,0.064291045,0.021275558,11,target
80,0.13508436,0.1960764,12,off-target
80,0.07405276,0.2347639,12,target
80,0.17145035,1.2382012e-05,13,off-target
80,0.10939201,1.123081e-07,13,target
80,0.16670889,0.22591957,14,off-target
80,0.08342016,7.9964514e-07,14,target
80,0.26866135,2.2413849e-07,15,off-target
80,0.07932216,16934396.0,15,target
80,0.25402445,9.1072425e-06,16,off-target
80,0.062212363,8.698139e-07,16,target
80,0.35725486,8.243919e-08,17,off-target
80,0.036214337,1.2152362e-06,17,target
80,0.024298929,12.621092,18,off-target
80,0.11007212,2.0980226e-06,18,target
80,0.14852256,8.2466596e-07,19,off-target
80,0.061523832,0.24142854,19,target
100,0.25185898,9.621602e-05,0,off-target
100,0.058654126,0.26800865,0,target
100,0.17748614,1.13759896e-07,1,off-target
100,0.107240684,0.003988709,1,target
100,0.2797717,1.3616147e-07,2,off-target
100,0.03307681,1.2667726e-07,2,target
100,0.28830212,3346894.2,3,off-target
100,0.13539588,0.00090132054,3,target
