method,rej,seed
KSDAGG,1,93
KSD,0,94
pKSD mc,1,94
KSDAGG,0,94
KSD,0,95
pKSD mc,1,95
KSDAGG,0,95
KSD,0,96
pKSD mc,1,96
KSDAGG,0,96
KSD,1,97
pKSD mc,1,97
KSDAGG,1,97
KSD,0,98
pKSD mc,1,98
KSDAGG,0,98
KSD,0,99
pKSD mc,1,99
KSDAGG,0,99
